,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.005,0.1628128217129893,-84.28839878591472,-133.97940008672037,49.69100130080565,0.005,0.6602140985455599,-100.20371231859882,-128.29037019784448,28.086657879245664,0.005,0.13962474195370098,-96.31223916714268,-126.28560087080231,29.973361703659634,0.005,0.05793855752206224,-91.96206406645967,-120.85652533757631,28.89446127111664
2.0,0.005,0.04802744557435325,-80.76657360480111,-90.30899869919435,9.542425094393238,0.005,0.2864149623511356,-98.8753018980593,-110.90757887666085,12.032276978601544,0.005,0.2001488892850138,-94.26706009889413,-104.83347814767505,10.566418048780918,0.005,0.028595217169347948,-85.94717352172252,-92.22930993622509,6.282136414502574
3.0,0.005,0.9907654688744988,-52.13929832162136,-80.76657360480111,28.62727528317975,0.005,0.9882468197719146,-65.87315710257114,-65.87315710257114,0.0,0.005,0.9948611377738119,-58.40427828507803,-60.174683024786106,1.770404739708077,0.005,0.9336519789533858,-66.93418944833475,-73.35238261090763,6.4181931625728765
4.0,0.005,0.9984707519562205,-32.279832271272106,-42.7410406802316,10.461208408959493,0.005,0.9835180203003622,-52.707542315894464,-64.14962573168128,11.442083415786819,0.005,0.9989527968051348,-32.748854658788666,-38.51738855603784,5.768533897249171,0.005,0.9927308050439877,-42.96026021416657,-55.3765781227215,12.41631790855493
5.0,0.04,0.9992709824007004,-6.068977548948559,-12.084780836443294,6.015803287494735,0.005,0.9854102905901224,-55.32362598726844,-66.83113602127568,11.50751003400724,0.0275,0.9997123741041892,-11.146315396694021,-16.950740504342196,5.804425107648175,0.035,0.9988326913115169,-9.1664404403364,-27.53473715411587,18.368296713779472
6.0,0.04,0.9959379075551809,-7.169539861268413,-30.01858792403588,22.849048062767466,0.005,0.9958479870774009,-34.40214089010552,-35.0818985382563,0.6797576481507761,0.025,0.9971862320878921,-12.015361550954925,-25.4090983419414,13.393736790986477,0.03,0.9932021566134086,-9.228101152671345,-52.342579670146485,43.11447851747514
7.0,0.0125,0.9556066310192474,-16.59595501688387,-29.293672474533512,12.697717457649642,0.0075,0.9962237517973918,-24.784077113000432,-36.4774050615918,11.69332794859137,0.01,0.9226192326995774,-20.82142648181484,-41.33482949910669,20.51340301729185,0.005,0.383966516278248,-35.63664805667378,-50.70394188391711,15.067293827243333
8.0,0.03,0.9938171522039785,-10.25272311470089,-10.729875394842527,0.47715228014163635,0.01,0.9968839011546976,-22.892236036483023,-56.31444047093594,33.42220443445292,0.03,0.9942413751550112,-10.40768748801515,-25.58320472178528,15.17551723377013,0.015,0.9815711797589898,-16.92518851479696,-36.604258056886394,19.679069542089433
9.0,0.035,0.9955858431985043,-9.819285345211018,-40.12494825257229,30.30566290736127,0.005,0.8584630653325361,-38.54521912832101,-40.53755216277841,1.9923330344574026,0.03,0.9961280599216187,-9.499218962475993,-19.86176870919367,10.362549746717676,0.0275,0.9945105040390408,-11.972078371839,-30.409870664380833,18.437792292541832
10.0,0.0225,0.9839814902236388,-12.334495067404488,-45.10757093949286,32.77307587208837,0.005,0.9969869612727772,-26.22683815069329,-35.6650306390376,9.438192488344313,0.0225,0.9871136376845351,-13.033867665099208,-35.983205556084464,22.949337890985255,0.01,0.9229648771186251,-22.72773084029934,-68.22566924540922,45.49793840510988
11.0,0.0375,0.9952304107693728,-6.491724036619457,-12.065620778001819,5.573896741382361,0.005,0.9876703063689742,-30.217082258803952,-51.58328481132324,21.366202552519287,0.0275,0.9939763391240586,-11.025377290353092,-13.35564027367521,2.3302629833221182,0.0325,0.9980516241620891,-9.908988499502797,-14.90142485825773,4.992436358754933
12.0,0.04,0.9960184001989064,-7.225999101563399,-28.63894630258901,21.41294720102561,0.005,0.7317850597090667,-47.28976186569311,-49.11173236267234,1.8219704969792332,0.025,0.9970397384448574,-11.87917822940511,-23.21588758981406,11.33670936040895,0.03,0.9925559723203973,-9.709381218596208,-41.43342176386775,31.724040545271542
13.0,0.02,0.9710309876517969,-13.196193081391453,-31.023806095257378,17.827613013865925,0.0075,0.9961665254484706,-25.227896862470924,-36.366100629876485,11.13820376740556,0.0175,0.9646675606452567,-14.709668984561368,-24.98835208492459,10.27868310036322,0.0075,0.7489240048396966,-24.902843194689176,-46.063720086224656,21.16087689153548
14.0,0.035,0.9961010751818792,-8.648985307663693,-22.93582445134982,14.286839143686127,0.01,0.9968930311987204,-22.299589449248,-56.693709484210814,34.39412003496281,0.03,0.997337027412977,-9.405254601909668,-18.832517430773535,9.427262828863867,0.02,0.9862372792993395,-14.070588158453091,-32.512563501237224,18.441975342784133
15.0,0.0375,0.9941639556581761,-8.525738711895718,-26.09727820109122,17.5715394891955,0.005,0.7163224147232006,-47.90644392781243,-56.41676037773866,8.51031644992623,0.0275,0.9945289150513724,-10.131808771725531,-36.73689539702735,26.605086625301816,0.0325,0.9939447615875235,-10.070234173303064,-36.59752085472148,26.527286681418417
16.0,0.0075,0.6518202297731331,-26.006827078132492,-43.989591790056004,17.98276471192351,0.005,0.8673316460354912,-43.36850625551609,-47.41731097183237,4.048804716316283,0.005,0.6542916640280727,-29.913984701493543,-58.07014467299189,28.156159971498344,0.005,0.7336350265997055,-27.204869054708677,-61.11871943814242,33.91385038343374
17.0,0.04,0.9967695523987864,-6.226056194937405,-18.819113333487806,12.593057138550401,0.005,0.9102187662193848,-38.247334111389726,-52.235187184657676,13.98785307326795,0.0225,0.9969676548301587,-12.722378734558985,-21.934781305603384,9.212402571044398,0.035,0.9965470884131389,-9.288471012827864,-21.047322668993896,11.758851656166032
18.0,0.035,0.9949507736319517,-7.338796486974383,-31.91697822351214,24.578181736537758,0.005,0.8954856813553397,-45.53243598380774,-46.5543571917258,1.0219212079180622,0.025,0.9963581888902578,-11.031102058119934,-38.86358542286301,27.832483364743076,0.0225,0.9829389957317274,-13.30506155022686,-42.74633239458102,29.441270844354158
19.0,0.0125,0.9595032473063032,-18.293895706401994,-30.422655645801623,12.128759939399629,0.005,0.9977578468241799,-29.24873299245342,-34.09698730217714,4.848254309723721,0.0125,0.9477878052682194,-17.17954666164306,-21.75027647271429,4.5707298110712316,0.005,0.5100465887210602,-33.82471927760427,-53.592196328441375,19.76747705083711
20.0,0.0375,0.9956041854197385,-8.32436639757672,-16.97489597679638,8.65052957921966,0.005,0.9664991374675994,-33.21035825440554,-51.56748195241263,18.357123698007086,0.03,0.9965566560312266,-9.102311727298835,-13.982794168485187,4.880482441186352,0.0225,0.9880030555949736,-13.686801110795948,-35.27147499445175,21.584673883655803
21.0,0.0325,0.9906469429236622,-9.466943338448306,-41.97618855242873,32.50924521398042,0.005,0.7958049729870824,-49.83236810317387,-78.13925452913452,28.30688642596065,0.0225,0.9893131474587828,-13.04861741783137,-42.48777504177348,29.439157623942112,0.0275,0.9939325803888927,-10.972622094082631,-53.25331182156249,42.28068972747986
22.0,0.005,0.33631601672580397,-32.78464188736151,-48.03013165305762,15.245489765696114,0.005,0.9642381368193856,-43.86337310862846,-69.00989870158087,25.146525592952408,0.005,0.30856987783054945,-34.26900816196416,-48.55936431473236,14.290356152768204,0.005,0.03979194071972383,-39.77756586112184,-50.214602008822766,10.437036147700923
23.0,0.015,0.9547543919132052,-16.943144490229937,-38.75916270244985,21.816018212219912,0.005,0.9716037988867423,-41.24623437201872,-58.41337050646211,17.16713613444339,0.01,0.9107704762056787,-24.106123293603797,-30.046051200487646,5.939927906883849,0.015,0.9802068333437634,-17.884126872856626,-34.7297834506259,16.845656577769276
24.0,0.0425,0.9973042043303594,-6.046615922965234,-16.474994533391126,10.428378610425892,0.005,0.9160747762475641,-51.57200291375957,-53.29973198790203,1.7277290741424594,0.0275,0.9979273394281427,-11.581529097192071,-15.31208889419018,3.7305597969981097,0.035,0.9965013353391049,-9.364470135401415,-21.935983284578274,12.571513149176859
25.0,0.03,0.9965442496601526,-8.71452319639598,-27.917283199958682,19.2027600035627,0.005,0.9506083745493402,-51.88884262662124,-78.75218774015876,26.86334511353752,0.0225,0.9978715926565186,-13.5026457831842,-24.23057869196594,10.727932908781739,0.0175,0.9850009860926021,-15.011622980468784,-29.659096402059323,14.647473421590538
26.0,0.02,0.9887480517608941,-14.14207798438646,-25.980402081669336,11.838324097282875,0.005,0.9823852843073599,-50.616291571679895,-59.591149281935216,8.974857710255321,0.02,0.9915517620544972,-14.157558328722386,-32.087604741900506,17.93004641317812,0.01,0.9163987018111696,-25.779789017358304,-31.03927121172516,5.259482194366857
27.0,0.05,0.9960696736446552,-5.873934812816969,-9.27668823909456,3.4027534262775907,0.005,0.9312722425611113,-46.73008492444932,-63.183644595823665,16.453559671374343,0.0375,0.9964557870288052,-8.237787804843485,-12.163531450057807,3.9257436452143217,0.03,0.9948561304758263,-10.853871949379041,-35.87853483852982,25.024662889150783
28.0,0.0425,0.9808612381743018,-7.153820978257082,-35.454496073100394,28.300675094843314,0.005,0.8750811392487798,-51.74578235659662,-54.68086967547051,2.93508731887389,0.0325,0.9823314853603448,-10.178523485363641,-68.44140671251532,58.262883227151676,0.0225,0.977889409682107,-13.786426661765432,-42.202869048491706,28.416442386726274
