,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.005,0.34774641738910156,-90.30899869919435,-90.30899869919435,0.0,0.005,0.9999365925104102,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.48808565506733814,-98.38852848588405,-101.28165389699899,2.893125411114937,0.005,-0.06622494295633964,-93.11587283292225,-129.53847483594888,36.422602003026626
6.0,0.005,0.9777564969354905,-34.545631276371005,-52.13929832162136,17.593667045250356,0.005,0.997299131314694,-67.44529061202005,-80.43101199325457,12.985721381234526,0.005,0.7603680272519253,-59.82126197824194,-78.69334304452242,18.87208106628048,0.005,0.9818564727075728,-34.26814734116967,-52.79124850944583,18.523101168276156
7.0,0.015,0.764889300159083,-17.531230205092847,-42.3501985257536,24.81896832066075,0.005,0.9929412558807327,-63.97306589369479,-85.54281145732529,21.569745563630498,0.005,0.6585569451823318,-38.10224851092136,-44.117673594772704,6.015425083851341,0.0125,0.7550248410385645,-17.745701550544382,-38.875062547308644,21.129360996764262
8.0,0.01,0.7280284795634695,-23.704783007763798,-63.86461280451597,40.15982979675218,0.005,0.9877490299606777,-62.45909515909058,-80.07247010514948,17.613374946058897,0.005,0.6072071671684609,-37.7117766271496,-53.22616935673672,15.514392729587122,0.01,0.7320899874063245,-24.31661627099272,-32.56820455886809,8.251588287875368
9.0,0.005,0.7339713585632313,-29.170901672464904,-48.164799306236986,18.993897633772082,0.005,0.9940843078744436,-62.807040976569475,-62.97630101612593,0.1692600395564554,0.005,0.6357589500055127,-45.83306635932426,-58.14414206657362,12.311075707249358,0.005,0.7395308974290887,-28.94934410979581,-44.85014471568099,15.90080060588518
10.0,0.0125,0.7512212602931502,-18.784475950202257,-40.23318503805073,21.44870908784847,0.005,0.9960530454705898,-61.57422434842423,-62.882034249445624,1.3078099010213933,0.005,0.6103477449648186,-36.060651345039176,-61.67592550008533,25.61527415504615,0.0125,0.7428031340488368,-19.916379087227057,-35.221999198019226,15.30562011079217
11.0,0.01,0.729177880291683,-23.848083989560326,-48.23292428007521,24.384840290514884,0.005,0.9915717158349496,-59.88139430543555,-82.07833904243594,22.196944737000393,0.005,0.7023486555055629,-41.70897533844878,-50.78770087425326,9.07872553580448,0.01,0.7306579993287827,-24.616850889140885,-44.061278986889924,19.44442809774904
12.0,0.005,0.78877000345824,-30.052254205090914,-38.39907426268287,8.346820057591959,0.005,0.9811919247635204,-63.80704354263109,-82.14862267685027,18.341579134219174,0.005,0.7075553829785752,-44.144109117028485,-57.29903088284395,13.154921765815466,0.005,0.7932749708197807,-29.38320347887707,-67.22206503329,37.83886155441292
13.0,0.005,0.7361176249871423,-32.78464188736151,-45.49801373354236,12.713371846180848,0.005,0.5582027650377,-75.42964281624222,-80.6340891023102,5.204446286067977,0.005,0.5804952922062251,-45.82719076019457,-51.79504821905657,5.9678574588619995,0.005,0.743933187412533,-33.670810774074475,-46.60048094507953,12.929670171005057
14.0,0.005,0.7427413688655027,-32.92436430457484,-43.989591790056004,11.065227485481167,0.005,0.5401935680175937,-76.92950747429342,-90.81050466718483,13.880997192891414,0.005,0.6935734578318875,-46.9712932232872,-52.695809701574284,5.724516478287086,0.005,0.7512114699788656,-33.59441250394606,-54.29101763007233,20.696605126126272
