,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.005,0.9424578785600074,-61.36583807234997,-84.28839878591472,22.92256071356475,0.005,0.9864936789908847,-75.1750465243247,-91.38765191971234,16.21260539538764,0.005,0.9796270284363552,-67.87364489729832,-88.57088046807837,20.69723557078005,0.005,0.88054261832077,-72.7673121023518,-83.28855635449037,10.521244252138573
6.0,0.005,0.30539334565156484,-55.98893182649837,-68.72537377824186,12.736441951743487,0.005,0.2923172930399312,-64.49247862755433,-74.6994171052175,10.206938477663172,0.005,0.36916675959236583,-62.38187614071806,-80.25705752790944,17.875181387191375,0.005,0.36439350594642805,-66.25699953048793,-94.49192023462687,28.234920704138943
7.0,0.0875,0.9552960638474044,-1.1329190573754022,-14.1596511855088,13.026732128133398,0.0575,0.9679389883356968,-2.8538162688123947,-5.895570577715816,3.041754308903421,0.0475,0.9714103547971682,-6.540620712066677,-8.730416565865289,2.1897958537986115,0.01,0.18746617453069758,-22.470814577020256,-37.95929974801359,15.488485170993336
8.0,0.09,0.8774316003226689,-1.0072929480457022,-15.006062897033853,13.998769948988151,0.0825,0.9267017307420591,-0.852798812233399,-10.300436812818203,9.447638000584805,0.0575,0.867868047713592,-3.785671558773152,-18.695578471709958,14.909906912936805,0.0175,0.04430867837676462,-16.337903689927074,-29.066791167304412,12.728887477377338
9.0,0.075,0.882223751849494,-1.4252912572512138,-13.582516385059321,12.157225127808108,0.075,0.8573484948693256,-2.254490699293626,-18.127627399096365,15.873136699802739,0.0425,0.9179961724363682,-7.555452179859166,-50.11979500711193,42.564342827252766,0.01,0.17922288880999693,-21.231517667696984,-30.440376558453774,9.20885889075679
10.0,0.0675,0.8326521715660411,-1.6400028239624365,-6.594190347695115,4.954187523732678,0.0425,0.9234067554725861,-6.771452929777395,-19.522648325340885,12.75119539556349,0.0375,0.8771195044124469,-9.117131204963586,-39.27874379551002,30.161612590546433,0.0125,0.28860927909812295,-17.01681485215417,-26.343717334958974,9.326902482804805
11.0,0.055,0.7864340288050408,-5.283536425706901,-20.331764919336678,15.048228493629777,0.035,0.7181270852242282,-9.108781991382848,-14.338335266177843,5.229553274794995,0.04,0.8254724709970308,-6.9915818004573635,-34.22192759194925,27.23034579149189,0.02,0.16993239562218593,-15.950867033735967,-50.59355669121601,34.64268965748004
12.0,0.02,0.8294676346043381,-13.162348770568988,-21.992844146483492,8.830495375914504,0.025,0.7888118086819752,-11.18172332313753,-25.06908663066495,13.887363307527417,0.0175,0.8962480660951446,-14.256561307052007,-41.66277326554236,27.406211958490356,0.005,0.4255199914851712,-26.075501512083044,-59.06694651555189,32.99144500346885
13.0,0.015,0.8550406320190103,-17.116378467054346,-18.928546978603084,1.8121685115487374,0.015,0.9036900555281447,-17.489109687609535,-44.249281388411354,26.76017170080182,0.01,-0.07322313189680113,-24.99251413601722,-32.52387911532485,7.531364979307632,0.005,-0.14439322026977994,-31.833652726185285,-36.392566957661565,4.55891423147628
14.0,0.0275,0.2871257975737769,-11.66358318120455,-45.75126460692089,34.08768142571634,0.01,0.909561028164407,-20.90929958817653,-67.511396099717,46.60209651154047,0.0175,0.17885382296642116,-15.514891039339723,-46.67155611734514,31.156665078005418,0.015,0.06878340540723468,-16.64331667194877,-37.1274408800804,20.48412420813163
