,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.4075209396360908,-72.24719895935547,-90.30899869919435,18.061799739838875,0.005,-0.5612657500548596,-96.06637898045078,-102.39539520470835,6.329016224257572,0.005,0.35901083263933514,-89.82379752635799,-98.37514364013047,8.551346113772482,0.005,0.0403033425715564,-81.275159013717,-81.44750170543253,0.17234269171552796
1.0,0.0225,0.9997875380570869,-12.755813816962185,-30.300317149607984,17.5445033326458,0.005,0.9994719520195562,-30.26336318682553,-30.26336318682553,0.0,0.02,0.9997486917396229,-14.61049784091157,-14.62874093389123,0.018243092979659536,0.005,0.9907335655523404,-40.242164325641966,-49.83428557204224,9.592121246400275
2.0,0.0275,0.6140244002150004,-11.742105993897114,-32.35645687338553,20.61435087948842,0.0125,0.9513638545928745,-19.048950645186014,-23.386822641768017,4.3378719965820025,0.0275,0.5239926407099365,-11.590715813264685,-16.610362192767848,5.019646379503163,0.005,0.08532746509799395,-38.55837542695382,-50.971923990356444,12.413548563402621
3.0,0.025,0.703944525550415,-12.399442773680065,-20.543626389285162,8.144183615605098,0.0125,0.9477028157859234,-19.595463873907725,-29.580153390330324,9.984689516422598,0.0225,0.5615806712418292,-13.7767729308813,-39.975148640872355,26.198375709991055,0.005,0.2812628970505447,-41.476057437776774,-60.16098719711388,18.68492975933711
4.0,0.02,0.7372669227859874,-14.205780667205676,-19.577829847763756,5.372049180558079,0.01,0.9530699251752034,-20.36352692788374,-33.86571350919268,13.50218658130894,0.0175,0.6474877103442614,-14.147809718248016,-27.59148716658991,13.443677448341894,0.005,0.40087968942361624,-46.133747003438216,-69.9650238038916,23.83127680045338
5.0,0.02,0.6701871791548518,-14.974794553949176,-18.097924592852465,3.123130038903289,0.01,0.947423737748032,-21.765477752458466,-27.769676779219527,6.004199026761061,0.015,0.515713629112125,-17.300019198854567,-26.808690382304313,9.508671183449746,0.005,0.3644175320551822,-46.52490577881599,-51.928084478207836,5.4031786993918445
6.0,0.02,0.5173610720118313,-14.539974558725246,-30.50222160344233,15.962247044717083,0.0075,0.9530246750105148,-21.65715004973532,-23.591470506274387,1.9343204565390657,0.015,0.3417617944721796,-16.754033906379313,-27.64521903778309,10.891185131403777,0.005,0.42877554196435336,-45.80336637770196,-61.02572730804417,15.222360930342205
7.0,0.02,0.4539612718884115,-15.514388127900007,-66.22659904607586,50.712210918175856,0.0075,0.9519782141603096,-22.580447412734955,-31.90628700685131,9.325839594116356,0.015,0.20305210781790806,-18.100740759149257,-27.541009302096878,9.44026854294762,0.005,0.3276813882741444,-49.6135971783971,-64.98929560854138,15.375698430144283
8.0,0.0175,0.5367049411588477,-15.314272387813135,-28.09720449320938,12.782932105396243,0.0075,0.9701253379433683,-23.47682408839136,-32.3778979070943,8.90107381870294,0.015,0.36776275309910944,-17.607175856879785,-25.922934189561367,8.315758332681582,0.005,0.3480376503109623,-50.375137067482484,-58.17284503659005,7.797707969107563
9.0,0.02,0.5646702827677191,-14.633784784315875,-29.064882522800104,14.43109773848423,0.0075,0.9754146058743688,-22.9128647311158,-32.629223427733905,9.716358696618105,0.015,0.4209648780647068,-17.02461520597166,-25.504448578863318,8.479833372891658,0.005,0.3468556358389844,-51.43622165835096,-63.385912063855685,11.949690405504725
10.0,0.02,0.637118463213152,-15.173234723831996,-27.17801567255873,12.004780948726733,0.0075,0.9818861724494222,-22.688648540260203,-41.90328192615803,19.214633385897827,0.0175,0.5189583159977051,-15.999920581811498,-23.353965642122564,7.354045060311066,0.005,0.40832924866755715,-51.62688518507058,-67.48220420180012,15.855319016729538
11.0,0.02,0.7316866163992087,-15.614601866080761,-40.56623118965063,24.95162932356987,0.0075,0.9835964566501388,-23.156832945288063,-23.507182507730228,0.3503495624421653,0.0175,0.6473483409097256,-16.21619892427891,-35.91100403633738,19.69480511205847,0.005,0.5423727875091531,-50.906899130248334,-64.30485823166595,13.397959101417612
12.0,0.0225,0.7776047700612417,-13.829086876075003,-23.119878296774626,9.290791420699623,0.0075,0.9907554428290162,-22.697480870930594,-47.99685498549326,25.299374114562664,0.0175,0.7077814129146794,-15.215295268653186,-17.199874196468052,1.9845789278148658,0.005,0.41075555224656446,-47.20715570804692,-57.498321203830656,10.291165495783737
13.0,0.02,0.8272857692863842,-15.348340816591486,-19.115653131433206,3.7673123148417194,0.0075,0.9942823530076794,-22.469392135432837,-27.887166046229623,5.417773910796786,0.0175,0.776262603605751,-15.167683852709468,-22.769993912655075,7.602310059945607,0.005,0.345622626782369,-48.07252637882029,-69.13523431783344,21.062707939013144
14.0,0.02,0.8843791886898036,-15.20980694476016,-21.936344952113046,6.726538007352886,0.0075,0.9977910400017355,-23.087241483690576,-35.8801395644396,12.792898080749026,0.0175,0.8631962728111393,-15.962648175356588,-31.27904721975659,15.3163990444,0.005,0.301725300280305,-55.71301963940071,-58.78012939754176,3.0671097581410436
15.0,0.02,0.9232132754887842,-14.53290883830139,-15.561964783120068,1.029055944818678,0.0075,0.9983957871808022,-23.00901776551263,-32.35347754441141,9.34445977889878,0.0175,0.8970457937923645,-15.310233879462139,-49.84684190546892,34.53660802600678,0.005,0.729273129126233,-52.21636293752958,-57.14342290719649,4.927059969666907
16.0,0.02,0.8743778766543369,-14.146130183964535,-21.406259324928275,7.260129140963739,0.0075,0.9970586656625234,-22.43447086276682,-25.103909019578772,2.669438156811953,0.02,0.8517836437963255,-14.59133312713316,-22.585546471307666,7.994213344174506,0.005,0.1311670589132323,-49.361656708769445,-62.406901481965164,13.04524477319572
17.0,0.0225,0.8032928744660192,-13.503112066965633,-29.489044850724543,15.98593278375891,0.0075,0.9943282311720323,-22.637287278785656,-26.54968402484384,3.912396746058185,0.02,0.7408862776144551,-14.648756684434481,-35.95514601396894,21.30638932953446,0.005,0.4198865091019744,-52.89893605936318,-72.55338462939893,19.654448570035754
18.0,0.02,0.7069733048114473,-15.263418989991983,-25.222872052568643,9.95945306257666,0.0075,0.9895151987476946,-22.834786683633837,-28.29422401100939,5.459437327375554,0.0175,0.6091128771910957,-15.29308853994145,-22.7265876454458,7.43349910550435,0.005,0.305075666151685,-57.815133377733844,-71.37577143191257,13.560638054178725
19.0,0.0225,0.6806081712011942,-13.666487848514173,-29.117730341169,15.451242492654828,0.0075,0.9872874806723372,-22.427222264434356,-33.22239405257716,10.795171788142802,0.0175,0.5589312981576601,-14.907917173570118,-24.768130938044894,9.860213764474777,0.005,0.41954477380069416,-54.03427622099244,-71.65396894654832,17.61969272555588
20.0,0.02,0.5908943296998851,-16.003978121617372,-25.97512671579927,9.971148594181898,0.0075,0.9799731500082519,-22.79458669088427,-30.74319001696248,7.94860332607821,0.0175,0.46254143209903853,-16.118944360972897,-27.40622528689415,11.287280925921252,0.005,0.5119079864227224,-47.273955784255804,-47.273955784255804,0.0
21.0,0.02,0.5642933659553078,-14.034710861571462,-31.802756869201367,17.768046007629906,0.0075,0.9751409543001966,-23.230485034260447,-53.123756504910176,29.89327147064973,0.015,0.35185360021305045,-16.65924925551834,-25.562141684952895,8.902892429434555,0.005,0.37538742422902444,-30.64532103414342,-40.8785548557523,10.233233821608877
22.0,0.0175,0.5716652447321435,-15.825120308907765,-44.779762615729474,28.95464230682171,0.0075,0.9729266869210818,-22.816700148858516,-23.778266779281747,0.9615666304232313,0.015,0.3845280876986592,-16.911525699234904,-54.18989164659753,37.27836594736263,0.005,0.053128739501143836,-29.49874899233551,-38.435505201146896,8.936756208811385
23.0,0.0175,0.5269349346838952,-14.880188966396119,-36.63005608416411,21.74986711776799,0.0075,0.9602206452081072,-22.41884731157851,-40.77992899325784,18.36108168167933,0.015,0.2213878547623532,-18.164464956515097,-21.818332221680976,3.6538672651658786,0.005,0.0882377563074527,-29.57867968578943,-56.011261745920045,26.432582060130613
24.0,0.015,0.4548906808597292,-17.806867191125004,-29.087492226598517,11.280625035473513,0.0075,0.9640027507502869,-22.39458709969572,-28.41961543027061,6.025028330574891,0.015,0.2221651748429053,-18.39224012456091,-26.365429486136648,7.973189361575738,0.005,-0.14210747998791654,-30.664757603315284,-37.101795563392955,6.437037960077671
25.0,0.0175,0.38350280187303243,-15.560374688902707,-22.171385298211863,6.611010609309156,0.0075,0.9560511610647325,-22.875043950746424,-33.532287097080356,10.657243146333933,0.015,0.031366447736165835,-18.279282967958732,-37.82253822982071,19.543255261861976,0.005,-0.21251681548623935,-31.332945897129093,-45.447393364718344,14.114447467589251
26.0,0.0175,0.5381705242087055,-16.265559682040134,-22.4691372540001,6.203577571959965,0.0075,0.9579829218832948,-22.31024990834562,-31.513719664699344,9.203469756353723,0.015,0.313798437466862,-17.852095255273333,-23.880955856247688,6.028860600974355,0.005,0.017014396047135415,-29.65432048715747,-45.592558485511645,15.938237998354175
27.0,0.015,0.5348630756894251,-18.263457013190504,-26.22659904607586,7.963142032885358,0.0075,0.9477768978454435,-22.769792450313506,-27.904245097905736,5.13445264759223,0.0125,0.36900374065320646,-19.902313023627936,-27.17729703618271,7.274984012554775,0.005,-0.29376383394112954,-28.18163201140836,-50.57133445294063,22.389702441532272
28.0,0.0175,0.6269554321929985,-16.39411319524789,-33.64605646093865,17.251943265690763,0.0075,0.9552354435779602,-23.60738007861906,-25.016083550746252,1.4087034721271934,0.0125,0.46153470042005545,-19.667793994333028,-25.625537947867045,5.957743953534017,0.0075,-0.08159948743124876,-25.660889102760656,-41.887439829363544,16.226550726602888
29.0,0.015,0.698718550728658,-16.87628676715176,-24.526141980547695,7.649855213395934,0.0075,0.964640357752887,-22.723545944165778,-34.227733774865705,11.504187830699927,0.015,0.5810468812650987,-18.712334303042375,-23.808884691478323,5.096550388435947,0.005,-0.21934737426454384,-29.60297839819407,-46.27985708807166,16.676878689877586
30.0,0.0175,0.6911248595394485,-15.795665492910786,-31.844118326588827,16.04845283367804,0.0075,0.9638503316968228,-22.774503944465398,-30.709314030970862,7.934810086505465,0.015,0.5420279956231021,-17.88719585814938,-18.147025305718024,0.2598294475686451,0.005,-0.23564346821846716,-31.69262304523731,-38.25988534272828,6.567262297490974
31.0,0.015,0.6223960903294313,-16.933827864175203,-20.554921435919834,3.6210935717446304,0.0075,0.9674630853141997,-23.370658929672267,-31.477381259154637,8.10672232948237,0.015,0.4838860191449799,-17.496972114995785,-26.109110031229456,8.61213791623367,0.005,-0.15924106826845383,-32.19766490761258,-38.11329696235995,5.91563205474737
32.0,0.0175,0.5398422874876988,-16.081291117225323,-27.257117140644958,11.175826023419635,0.0075,0.97868861993795,-23.302758983022937,-49.70900052952611,26.40624154650317,0.015,0.313650629268244,-17.806481819710445,-40.21756503972844,22.411083220017996,0.005,-0.08300427330007079,-33.37527170468046,-43.828919393114944,10.453647688434486
33.0,0.0175,0.6371035812001016,-15.573103600707142,-19.9756475172135,4.402543916506357,0.0075,0.9818900025419485,-23.388709087266285,-25.18192200493765,1.7932129176713651,0.015,0.492885165035085,-19.888197025753914,-27.521999703968838,7.6338026782149235,0.005,-0.3472515165505087,-33.3763011573423,-65.37451499851292,31.998213841170625
