,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,0.9612171443947815,-73.40703789890921,-80.76657360480111,7.359535705891901,0.005,0.994633081895219,-82.73631438704368,-90.23124033501915,7.494925947975474,0.005,0.909115563917122,-79.5897976717386,-99.38734643086059,19.797548759121995,0.005,0.22538287073972732,-80.65325052945988,-100.00320307670987,19.349952547249984
6.0,0.005,0.9324971847961927,-28.00344687127633,-31.588782784890164,3.5853359136138323,0.005,0.9304211235862675,-72.04230763531365,-72.04230763531365,0.0,0.005,0.7805725488255582,-45.69821283515705,-58.68819519644025,12.989982361283197,0.005,0.6109208793920494,-55.90474268870026,-74.63639090348211,18.73164821478185
7.0,0.1,0.9881367148719734,-0.063317433557287,-0.7071343380151316,0.6438169044578446,0.095,0.9999282442867806,-0.5323375026006251,-3.0857552046580237,2.5534177020573985,0.0775,0.9491963783797305,-2.3812722997586224,-21.820777343116482,19.439505043357862,0.02,0.5756339336015323,-14.489858009816716,-42.363554030425234,27.87369602060852
8.0,0.1,0.9903183178596954,-0.09702622919592283,-4.5857097661239585,4.488683536928035,0.09,0.999880899117943,-0.8807584087842582,-3.983810117843307,3.103051709059049,0.05,0.9407547746617895,-5.914595670397667,-29.943257691411198,24.02866202101353,0.01,0.5716256189304723,-23.975850962525552,-42.35078744109699,18.37493647857144
9.0,0.0875,0.9730354562416431,-0.9612768481473493,-8.118777654595714,7.157500806448365,0.0675,0.9966010051907378,-3.737138541517383,-8.405566551999042,4.66842801048166,0.045,0.925771868604259,-7.608689188960066,-28.24463965315165,20.635950464191584,0.01,0.5245521965647887,-24.93868784727587,-37.648790667566736,12.710102820290867
10.0,0.075,0.9637112682196012,-2.6456221580457817,-12.236348377509605,9.590726219463823,0.06,0.9888219487393308,-4.5249520749196,-21.36965015743189,16.84469808251229,0.045,0.9130309067242188,-7.348155511858455,-16.297774542410565,8.94961903055211,0.01,0.4590659650725258,-25.716899687769438,-33.48498487813865,7.768085190369209
11.0,0.0675,0.8662231914395174,-3.623141268225154,-16.742273764550756,13.119132496325602,0.0475,0.9660360826287282,-6.443705859117736,-25.99276902667725,19.549063167559517,0.0375,0.5774894624281867,-8.985232318531919,-21.809785097584403,12.824552779052484,0.0075,0.4809376760243854,-24.864448024099737,-35.21245710791731,10.348009083817573
12.0,0.045,0.8445122454712222,-7.598077332492778,-35.905812631075214,28.307735298582436,0.0225,0.9654123756291084,-13.419093810403917,-21.542735389289014,8.123641578885097,0.0325,0.8377693653895061,-9.35043570757866,-20.888764912957562,11.538329205378902,0.01,0.508699065435185,-25.174309868297303,-56.095973460565666,30.921663592268363
13.0,0.035,0.5080087992330655,-9.955813213519065,-41.84408122045819,31.88826800693913,0.01,0.7712248770122352,-20.737182243268705,-56.14797515152834,35.41079290825964,0.035,0.8115730610120582,-9.673811556022525,-24.000914277214754,14.32710272119223,0.01,0.5569862761312967,-24.882891075518813,-29.65424764627862,4.7713565707598065
14.0,0.025,0.16391954185182495,-12.44375298143453,-22.229439425807264,9.785686444372734,0.01,-0.43008614285233576,-23.354566332232906,-23.732487494461317,0.3779211622284109,0.025,0.524004994729085,-12.499840722083725,-36.10200641136886,23.602165689285137,0.0075,0.45558892613101626,-25.976954991072887,-37.21406133663348,11.23710634556059
