,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.01,0.9999926965909478,-20.67441475999404,-20.737668787317492,0.06325402732345253,0.005,0.9999984417703174,-28.419161893614117,-28.419161893614117,0.0,0.01,0.9999857149328494,-24.164491549961614,-35.27019254159622,11.105700991634603,0.005,0.9998301921437284,-38.34671201453274,-58.18864174015392,19.841929725621178
6.0,0.015,0.9999978139161585,-18.980248855292952,-21.531825510783122,2.5515766554901695,0.01,0.9999999797882212,-23.80335440950635,-33.80501413863514,10.001659729128786,0.015,0.9999996097909856,-18.17422238194352,-28.244505386912383,10.070283004968864,0.005,0.9999247313596331,-28.06763963332559,-77.96814065467247,49.90050102134688
7.0,0.015,0.9999116078840545,-18.96847137601315,-27.89752007507736,8.92904869906421,0.005,0.9999999777021245,-33.9146846395893,-55.08001371621297,21.16532907662367,0.015,0.999923393830272,-18.08152181710511,-24.08156771254471,6.000045895439602,0.01,0.9997651684349864,-24.84677898054201,-47.00325398167521,22.1564750011332
8.0,0.015,0.9999879828276738,-18.97082559465829,-19.64881824928465,0.6779926546263582,0.005,0.9999461431261448,-42.56045976091728,-42.56133752018903,0.0008777592717450489,0.0125,0.9999936848625968,-17.647001651723468,-40.057169936031556,22.41016828430809,0.005,0.9998824325897087,-28.938323416653112,-48.16639827203262,19.22807485537951
9.0,0.015,0.999933985112677,-18.816799872390614,-36.922661087872115,18.1058612154815,0.005,0.999749898282065,-42.513394188376914,-62.428944324852296,19.91555013647538,0.015,0.9999351554524099,-17.82763665271989,-23.99652448506251,6.1688878323426195,0.005,0.9999350456522684,-32.85935020589367,-52.6583820727936,19.79903186689993
10.0,0.015,0.9999912659112445,-19.001488644912882,-32.001001994948965,12.999513350036082,0.005,0.9999986212820174,-53.25084731497348,-83.67940151317313,30.428554198199656,0.015,0.9999956277719863,-18.755340471392596,-41.16007192342338,22.404731452030784,0.005,0.9997860323379838,-32.86380346303592,-42.14835790509148,9.284554442055558
11.0,0.0125,0.999997017587507,-19.75382364877492,-49.01983891465598,29.26601526588106,0.005,0.9999990730738074,-57.641967313563605,-66.46352154848748,8.821554234923873,0.01,0.999999751660377,-20.67256023080669,-33.17696769923512,12.504407468428433,0.005,0.9998824038460893,-35.39527192061758,-55.765765575934864,20.370493655317283
12.0,0.01,0.9999925727205182,-24.692880131321022,-25.5380409455678,0.8451608142467784,0.005,0.9999951469053034,-59.89875886077162,-66.55617213929492,6.657413278523293,0.005,0.9999997441710399,-26.299124355700695,-27.214983018265748,0.9158586625650535,0.005,0.9998644492718126,-39.64307995719568,-56.86936461160998,17.2262846544143
13.0,0.0125,0.9999856056526939,-19.053627838863974,-31.071089225837348,12.017461386973373,0.005,0.9999976860144387,-60.61136129025826,-79.6485710213621,19.037209731103843,0.015,0.9999886820117393,-19.1718754344421,-31.25979764343733,12.08792220899523,0.005,0.9998394614700344,-36.05471346860065,-47.970049046808406,11.915335578207753
14.0,0.0125,0.9999738953329776,-18.996764201153184,-26.491164360750965,7.494400159597781,0.005,0.9999980828727992,-59.797712215138844,-66.64324468859252,6.845532473453673,0.0125,0.9999833148765929,-19.461604738625457,-23.854641799214473,4.393037060589016,0.005,0.9996478327473751,-36.97906025893647,-45.65934502111809,8.680284762181621
