,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.005,0.34387256684076833,-58.94496421785445,-84.28839878591472,25.343434568060275,0.005,0.9589049191568225,-74.43295459952023,-86.17724014591985,11.744285546399624,0.005,-0.17165968281877989,-68.5301651972839,-79.22483072440966,10.69466552712575,0.005,0.039416577551309936,-67.92607233398786,-70.39778217925459,2.47170984526673
2.0,0.005,0.23054610158631453,-59.67942035834925,-69.48114499602985,9.801724637680607,0.005,0.9169119402452062,-71.98857976786027,-76.580997572632,4.592417804771728,0.005,-0.16574229894741327,-65.83698805083044,-81.10050413622812,15.263516085397683,0.005,0.001288859066222482,-65.88637315988258,-74.46862797647259,8.582254816590009
3.0,0.005,0.18972908513571046,-53.918119988356985,-55.0404388279356,1.122318839578618,0.005,0.6299985063244221,-62.2027071969968,-63.7849254095471,1.582218212550302,0.005,-0.19939159832247322,-63.2078932481532,-70.34178994879804,7.13389670064484,0.005,0.06916616750714644,-63.49826412821771,-75.34947053250156,11.851206404283843
4.0,0.0225,0.15731476778390235,-13.303427648833615,-31.83375948262035,18.530331833786736,0.015,0.31893025306654477,-18.089712686965125,-22.481722295463825,4.3920096084987,0.0175,-0.052597998359643204,-14.392990432070597,-21.70345061323827,7.310460181167674,0.005,0.3091841160960918,-44.135424591037086,-49.80442659579191,5.669002004754823
5.0,0.0275,0.20746072474886407,-11.46387569080506,-14.166419587345924,2.702543896540865,0.015,0.2388057137233078,-19.17043458935702,-23.756348572402327,4.585913983045309,0.025,0.2026202171594013,-13.179486194093716,-16.55115015319107,3.3716639590973543,0.005,0.5336468819134642,-38.39352939944278,-38.84944902778336,0.4559196283405811
6.0,0.0275,0.09455942030479116,-11.035130594433982,-23.055580104681013,12.020449510247031,0.01,0.2707802502841761,-20.105368588574144,-27.523003144659747,7.417634556085602,0.0225,0.027397723994185098,-13.211782848413257,-44.093502600083916,30.88171975167066,0.005,0.3056300148160972,-37.58234963967228,-45.74480725097481,8.162457611302528
7.0,0.0325,0.05793771665493535,-10.176255517822632,-18.947312072886476,8.771056555063844,0.01,0.2806762664279755,-23.006039444012607,-33.686526340291884,10.680486896279277,0.0275,0.04263581969342896,-11.602585319985641,-36.947445635489935,25.34486031550429,0.005,0.413515369704775,-35.314301040858005,-49.68187818272475,14.367577141866747
8.0,0.035,-0.5803156715758034,-8.903068335239055,-19.962441053306886,11.05937271806783,0.01,0.3910987891087667,-23.029491147778526,-35.360360813308006,12.33086966552948,0.035,-0.7661665254900577,-10.149097878674542,-24.579728008405432,14.43063012973089,0.005,0.5357660458956198,-32.996098919800815,-55.29623315586727,22.300134236066455
9.0,0.0325,-0.3062288252581064,-9.918365008569248,-26.006827078132492,16.088462069563242,0.0075,0.5558086343609162,-24.711378737057984,-32.79218346090629,8.080804723848303,0.03,-0.4949199115129425,-10.857370491623012,-40.20480976332908,29.34743927170607,0.005,0.4356889444598384,-32.077792423773616,-36.1615416636971,4.083749239923485
