,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
8.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
9.0,0.005,0.9075032431656281,-43.94773199993912,-59.67942035834925,15.731688358410125,0.005,0.963225097048734,-57.234968453307076,-70.68600979018873,13.451041336881659,0.005,0.9944208712381415,-48.02903711136511,-56.91966495788154,8.890627846516423,0.005,0.9935922135136576,-56.22039317860039,-81.74697766662398,25.526584488023587
10.0,0.005,0.9919811075012188,-47.83196587985263,-58.26779887263511,10.43583299278248,0.005,0.8111144788231555,-63.33080230287933,-81.45308853056889,18.122286227689564,0.005,0.9979183625535865,-49.713118626758295,-80.32817883806484,30.61506021130655,0.005,0.9806043143630442,-56.25282725020816,-67.25108183052657,10.99825458031841
11.0,0.04,0.9993839354228174,-8.174304697237446,-16.28973513600337,8.115430438765923,0.005,0.9377029123851882,-65.08446844690732,-65.08662354165378,0.002155094746456143,0.035,0.9996651376894452,-9.125645701682277,-19.8111173320506,10.685471630368323,0.0175,0.9983755617438307,-16.06401188350229,-29.64566703614633,13.581655152644043
12.0,0.0325,0.9995935145295242,-10.438510635853044,-22.546974667784024,12.10846403193098,0.005,0.8733509885662775,-65.09095012512478,-69.19808295095297,4.107132825828188,0.0275,0.9996928890248569,-11.87920723879208,-19.325800269067447,7.446593030275366,0.02,0.9994615439216462,-14.08529873931123,-36.6861890113885,22.60089027207727
13.0,0.03,0.9989307793404006,-10.829824977060285,-23.425084381765657,12.595259404705372,0.005,0.8417672428308521,-69.24356785247755,-104.22783949845324,34.98427164597568,0.025,0.9991439615772233,-12.88642450158454,-29.25426949086233,16.367844989277792,0.02,0.9985503166456345,-14.877763695116062,-19.177520363964486,4.299756668848424
14.0,0.03,0.9969675795556907,-11.755433416434528,-16.506849910067746,4.751416493633219,0.005,0.7747272945311914,-73.94045568386343,-77.8874040039271,3.946948320063669,0.0225,0.9970170598097231,-13.619376602643726,-51.9928991847791,38.37352258213537,0.02,0.9968666560308556,-15.48652187341861,-28.371393680599866,12.884871807181256
