,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.005,-0.06128104297358126,-50.136995263955995,-76.32959861247397,26.192603348517977,0.005,-0.2713048992575333,-60.195764455064506,-75.52286195009319,15.327097495028681,0.005,0.02512248693230759,-56.84928218779209,-64.38530500652422,7.536022818732128,0.005,-0.007775701333286592,-52.728232405908045,-61.78201282253543,9.053780416627383
5.0,0.005,0.3465637870668334,-49.481144996029855,-64.28839878591474,14.807253789884882,0.005,0.6405279240883763,-60.658553990727455,-67.57913411513962,6.920580124412169,0.005,0.2771860031735454,-58.63789556105276,-86.76286538390393,28.12496982285117,0.005,0.07535699782505538,-51.8056795456965,-67.7105163433361,15.904836797639597
6.0,0.005,0.7204314228179276,-50.754526593417395,-61.68172341601461,10.927196822597217,0.005,0.8128631985814476,-58.179556132592005,-73.51050228298332,15.33094615039132,0.005,0.7765900216218645,-58.788095960745764,-83.59365224749979,24.805556286754026,0.005,0.5345348261009638,-58.389654790644244,-92.79109781275818,34.40144302211394
7.0,0.095,0.9968048398102991,-0.07641086921771745,-4.781601093805566,4.705190224587849,0.0575,0.9992498689186037,-3.2432952306481884,-7.762358631342961,4.5190634006947725,0.0525,0.992213672252794,-4.806099919928501,-14.024681799083474,9.218581879154973,0.005,0.9828170640905839,-30.600980746932006,-67.8904517264065,37.28947097947449
8.0,0.0625,0.994582227015937,-4.268010891669349,-27.19013833975762,22.922127448088272,0.0675,0.99783696623763,-1.28371985497172,-13.755737826674581,12.472017971702861,0.0325,0.9960788703810868,-9.797909528645633,-15.963236109213476,6.165326580567843,0.01,0.9915889614312801,-20.6190907817497,-30.332928549227315,9.713837767477614
9.0,0.0575,0.9945115841868643,-4.338923609855127,-52.69272685357852,48.35380324372339,0.04,0.9961732290740649,-7.259060857563943,-8.209658338705124,0.9505974811411804,0.0325,0.9958637551420524,-10.228839262906984,-22.948639613761983,12.719800350855,0.01,0.9878491648596078,-21.280301988691974,-34.91357320143264,13.633271212740667
10.0,0.0475,0.9957038264087453,-6.287614076168238,-23.515995546920678,17.22838147075244,0.045,0.9975877951044929,-6.428825928867903,-9.140452433744704,2.7116265048768007,0.0275,0.9959930595576643,-11.265265442798391,-20.472169133443042,9.206903690644651,0.01,0.990981682097745,-23.38185819836816,-31.123856795642595,7.741998597274435
11.0,0.04,0.9963068291401284,-8.334740087616751,-42.850758639792225,34.516018552175474,0.0325,0.9981893012144833,-9.123127202702356,-13.000505750120372,3.877378547418015,0.0225,0.9964079279604461,-13.50083548705455,-26.088711005984994,12.587875518930444,0.01,0.9918147492827345,-24.136454080421696,-41.41531515820961,17.278861077787912
12.0,0.0325,0.997922236778522,-10.138698546565262,-35.92237295951982,25.783674412954557,0.025,0.9994747817089602,-12.899480969588703,-19.500332652699782,6.600851683111079,0.015,0.9961576705966901,-17.143075348830532,-24.03782332222907,6.8947479733985375,0.0075,0.9935533654306525,-25.306645610469186,-29.416525933998557,4.109880323529371
13.0,0.0275,0.9969509278201706,-11.276420822461592,-27.812395710917173,16.53597488845558,0.02,0.999919648282032,-14.67421110390453,-39.89486470925889,25.220653605354357,0.0125,0.9954614372741685,-19.167246130169055,-26.32354851805678,7.156302387887724,0.005,0.9908024776685866,-27.213865124139023,-43.79689292287516,16.583027798736136
14.0,0.015,0.9910731888824619,-16.771470059731612,-29.28594825024673,12.514478190515117,0.0075,0.9979264966660376,-24.375975379406363,-42.86012816139476,18.4841527819884,0.0125,0.9939475772133468,-19.72917726414302,-57.821321977748966,38.09214471360595,0.005,0.9897750523575372,-27.828869521534735,-40.45759974474777,12.628730223213033
