,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.005,0.8815410697212961,-51.32119856629609,-90.30899869919435,38.98780013289826,0.005,0.9938965288664136,-61.256758978780006,-78.66835422659685,17.41159524781684,0.005,0.9524786234115761,-56.54309193204011,-103.22054576921822,46.677453837178106,0.005,-0.02551802513535099,-64.43189111943266,-127.06716056785089,62.63526944841823
3.0,0.005,0.009459397504112527,-69.48114499602985,-84.28839878591472,14.807253789884868,0.005,0.9950032397113557,-78.68968377919562,-92.22187256331893,13.532188784123306,0.005,0.10456495202436535,-98.44235864212658,-104.5354520699297,6.093093427803126,0.005,-0.02694899025341661,-90.360355078894,-97.70700144318144,7.346646364287437
4.0,0.1,0.9236762371714607,-0.00530306484393138,-15.492274558048129,15.486971493204198,0.0375,0.7897982907922592,-6.183029426819538,-15.218470414580473,9.035440987760936,0.0375,0.8304669251064944,-8.455068742175026,-14.066529309829933,5.611460567654907,0.0225,0.7124319465530106,-12.811058642067634,-44.955247552656665,32.14418891058903
5.0,0.1,0.9923761775862082,0.0,-5.9914907899688465,5.9914907899688465,0.08,0.9968687335207269,-2.272598815584951,-12.26267383777994,9.990075022194988,0.04,0.9376104006794654,-7.181398797907001,-42.43609469380617,35.25469589589917,0.0175,0.7677289739482667,-15.034881528300675,-40.88059484415148,25.84571331585081
6.0,0.0825,0.9927014289745962,-1.9333640370332628,-36.140580696500095,34.20721665946683,0.085,0.9965432222417706,-0.9497832330490508,-21.894899536062965,20.945116303013915,0.0225,0.842771786469806,-13.976585939747332,-26.8500613169063,12.873475377158966,0.005,0.38045343093391143,-29.52893806786782,-54.07220769840446,24.543269630536642
7.0,0.0725,0.9695131955250272,-2.4906496492481303,-9.814360906089377,7.323711256841246,0.06,0.9923117159020752,-4.541809377863542,-11.701329469937232,7.15952009207369,0.02,0.6066129975549773,-13.461368840222125,-26.39334489618789,12.931976055965766,0.01,0.6176587989348538,-23.754018064280743,-37.07919186612013,13.325173801839384
8.0,0.0525,0.9763877824737394,-5.984096745077912,-7.750712811762494,1.7666160666845814,0.05,0.9891836816597348,-5.686406961799964,-8.867323597481365,3.1809166356814007,0.0175,0.5470704990983339,-16.357509282662104,-25.93009234012228,9.572583057460175,0.005,0.5220752434942081,-28.60772105776942,-68.45633500970328,39.84861395193386
9.0,0.0675,0.9664569257683865,-3.239137236248161,-32.33449506740448,29.09535783115632,0.045,0.9928515718566131,-6.792877016589419,-16.627516906988955,9.834639890399536,0.03,0.6841025496181405,-11.425263671120803,-21.272655236342093,9.84739156522129,0.03,0.9280802436546842,-10.745033820134882,-51.85697317514339,41.1119393550085
10.0,0.03,0.7371489660648493,-10.319428025608154,-30.78199911912889,20.462571093520737,0.02,0.9560591842606183,-15.865358529306082,-27.38841033901152,11.52305180970544,0.015,0.26260778917982547,-18.923877533547365,-47.95272070434132,29.02884317079395,0.01,0.8793825819222184,-20.08971908058316,-44.353985897112985,24.264266816529826
11.0,0.0125,0.08551306485748258,-19.430119849536226,-47.96357278607907,28.533452936542844,0.005,0.5547912629372264,-26.461660521813634,-46.93333557998425,20.471675058170618,0.01,0.02617583642127605,-23.16531373603198,-54.16387701351031,30.99856327747833,0.005,0.19410571960505182,-40.39634065591904,-59.23676411000522,18.840423454086178
12.0,0.01,0.39996779500461777,-23.24606777491477,-41.64961288170624,18.40354510679147,0.005,0.7342463484201343,-29.666328797080244,-41.93703303323046,12.27070423615022,0.0075,0.16418534223268091,-24.70388179318882,-41.74343291154406,17.03955111835524,0.005,0.2714669175439601,-43.76812397701432,-65.33222783198309,21.56410385496877
13.0,0.0075,0.3821492779429552,-25.61359279597603,-34.6452248776892,9.031632081713173,0.005,0.6943179195200965,-30.52627285013777,-48.75714200666013,18.230869156522363,0.005,0.13998620567086445,-29.476057919614036,-35.30479391892881,5.828735999314773,0.005,0.3372867008763931,-45.66593894199261,-57.60746785743489,11.941528915442284
