,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.005,0.3230441152330452,-69.48114499602985,-133.97940008672037,64.49825509069052,0.005,0.9854944158078974,-85.75930045555145,-94.9640668234571,9.204766367905648,0.005,0.9207562639949017,-79.84636054285154,-87.20812811598277,7.361767573131232,0.005,0.09496525318214986,-84.18361637033749,-103.09942982816749,18.915813457829998
5.0,0.005,0.2590730372909332,-65.70002027162887,-80.76657360480111,15.066553333172237,0.005,0.8318907204873426,-86.07099630271803,-89.31543826894526,3.244441966227228,0.005,0.8184267411857291,-72.8535168943586,-84.70978785411668,11.856270959758078,0.005,0.19603087813512118,-73.20237554247826,-86.43621253565499,13.233836993176723
6.0,0.0825,0.9936394062334293,-1.612831926132507,-4.647951842106544,3.0351199159740374,0.06,0.993842457379617,-4.650408328257216,-8.044303860136381,3.3938955318791653,0.06,0.9947581190715973,-5.052657400039566,-16.989513375478627,11.93685597543906,0.005,0.9960074135700171,-28.4017023293517,-36.687906970698954,8.286204641347254
7.0,0.0675,0.9934331775055293,-3.6683131586439983,-18.289540785459394,14.621227626815395,0.0825,0.9953462935039131,-1.5362663673701618,-16.37386749407734,14.83760112670718,0.0275,0.9930404149338738,-11.60129053266501,-44.47835030225587,32.87705976959086,0.005,0.9931093320514703,-30.519471270631122,-47.60457020203157,17.085098931400445
8.0,0.0825,0.995308021005121,-1.0595413031220415,-27.392644409357803,26.33310310623576,0.0775,0.9957851856260961,-1.4627101604121342,-14.884606394982338,13.421896234570204,0.03,0.9931022315875101,-11.43438801741667,-26.513191531353012,15.078803513936343,0.005,0.9935077854102379,-35.36947508059952,-51.82894344357255,16.459468362973027
9.0,0.07,0.9953950433070682,-3.4700257709442486,-27.80588210758375,24.3358563366395,0.075,0.9961052782078655,-2.8735335200294747,-7.560337755025363,4.686804234995888,0.02,0.9944465660153764,-14.046595461216317,-24.20035265526369,10.153757194047373,0.005,0.9943303671398175,-36.425312741282426,-56.729440349277,20.304127607994573
10.0,0.0925,0.9925931748082434,-0.8896226070784357,-26.05991947838884,25.170296871310402,0.07,0.996069868982393,-2.7805729219114914,-10.320428791468832,7.53985586955734,0.0225,0.9923839391656232,-13.120339104898415,-44.49693937629144,31.376600271393023,0.0375,0.9959986931835244,-8.813430864875235,-25.397822106010373,16.584391241135137
11.0,0.0725,0.9949796586821579,-3.006730066642814,-8.347204891915313,5.340474825272499,0.065,0.9952400017574713,-3.476363831094677,-14.327796353514277,10.8514325224196,0.0225,0.993187322710276,-12.262831978357491,-36.77941225432687,24.516580275969382,0.02,0.9939215531459704,-15.345420279349323,-35.97186688158318,20.62644660223386
12.0,0.0725,0.9950505973539646,-2.8551763170789792,-31.31144461845686,28.456268301377882,0.065,0.9967993467950145,-3.394057380541355,-15.277916271253076,11.883858890711721,0.02,0.9945101123921232,-15.575759110479975,-32.895556544129676,17.3197974336497,0.0325,0.9961624373297865,-9.856960519272752,-12.49259495949207,2.6356344402193184
13.0,0.055,0.9904094199857697,-4.876347949451904,-14.369190888280631,9.492842938828726,0.03,0.9995061880401671,-10.711582442148524,-12.039049568261646,1.3274671261131221,0.01,0.9957237568504127,-22.87373572564124,-33.231884491676375,10.358148766035136,0.0375,0.996496530994002,-8.91830483384484,-32.49452666548358,23.576221831638744
14.0,0.025,0.9933957453503345,-10.710750492500019,-39.67942035834925,28.96866986584923,0.0275,0.9991867601521995,-11.993825304210255,-39.201029272768004,27.20720396855775,0.005,0.9723855475966304,-26.402897257622485,-51.16126859865177,24.75837134102929,0.01,0.9918023619961456,-22.01035610029991,-53.597912189413606,31.587556089113697
