,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,-0.48712745394204804,-68.72537377824186,-133.97940008672037,65.25402630847852,0.005,0.3317007422165146,-90.35523184989637,-90.35523184989637,0.0,0.005,-0.6028582687965195,-71.2973652566492,-93.44581425694551,22.14844900029631,0.005,0.06330165364228277,-86.52420513062802,-105.70832137135343,19.184116240725416
1.0,0.005,-0.6552373068928854,-56.15759517723562,-76.32959861247397,20.172003435238352,0.005,-0.509118210755626,-79.55776573664775,-84.19178880115028,4.634023064502529,0.005,-0.6695969812294943,-56.23361357254166,-96.67047406141222,40.436860488870565,0.005,-0.10417207650093484,-78.10526455959656,-97.15429027543145,19.049025715834887
2.0,0.005,-0.6368073195708647,-51.22414851040786,-71.22414851040786,20.0,0.005,0.08495499756097488,-73.60445840586196,-83.32566111415483,9.721202708292864,0.005,-0.6566649973947297,-51.774808228144444,-61.72605346868676,9.951245240542313,0.005,-0.22264472332989166,-73.64735750733459,-104.08014640144502,30.43278889411043
3.0,0.005,-0.5339511569369262,-45.802813064677096,-78.2677988726351,32.464985807958,0.005,0.8825075180644056,-65.29323053064192,-70.7232580428447,5.430027512202784,0.005,-0.6002063734554496,-45.60413697878924,-60.498067499194576,14.893930520405334,0.005,-0.2922289880837448,-68.02546546697799,-69.28075393535823,1.2552884683802432
4.0,0.005,-0.5255488248859737,-43.15030175918528,-51.7206201849085,8.570318425723215,0.005,0.7479420374333833,-63.9467878948892,-65.29855202580357,1.3517641309143755,0.005,-0.5690854710179456,-42.57859126591083,-50.962846967246406,8.384255701335576,0.005,-0.33387934490952514,-66.45301309711687,-104.33826504873781,37.885251951620944
5.0,0.005,-0.5493666447577525,-40.09809849506211,-58.94496421785445,18.846865722792337,0.005,0.02181586042145586,-60.58337671156342,-78.20407053260078,17.620693821037364,0.005,-0.5506132253076094,-40.55483202166366,-61.394846038049025,20.840014016385368,0.005,-0.36055368112855873,-61.00131183977042,-78.02534821313797,17.02403637336755
6.0,0.005,-0.46834844546614446,-36.32959861247398,-54.05073156633725,17.72113295386327,0.005,0.3397343569741792,-62.89912445318275,-63.8176962296227,0.918571776439947,0.005,-0.5047253057271771,-38.560025650918085,-63.560677340004005,25.00065168908592,0.005,-0.5473233288050063,-58.6734721942922,-71.47563526621971,12.80216307192751
7.0,0.005,-0.49068173997621384,-35.34523815907035,-41.84408122045819,6.498843061387845,0.005,0.27501261014177864,-60.85878511187316,-63.831099465742945,2.972314353869784,0.005,-0.4851079621869045,-36.007873882659446,-43.205440239655175,7.197566356995729,0.005,-0.6968608978677122,-55.46564562005407,-67.37696201366762,11.911316393613554
8.0,0.005,-0.5536684244701008,-34.308411514311665,-38.645023219821894,4.336611705510229,0.005,0.29071891699862357,-58.97513631073181,-68.52582616507992,9.550689854348107,0.005,-0.5437447035799312,-35.0210248010021,-40.32525290736059,5.304228106358494,0.005,-0.799950096935317,-53.097441758739386,-73.55160886941904,20.454167110679656
9.0,0.005,-0.5428677397310391,-33.13825474780157,-38.224477637504954,5.086222889703386,0.005,0.2377300911708988,-57.51987970221754,-68.6358916634953,11.116011961277763,0.005,-0.5330725964691813,-31.91108512578678,-44.431479322337125,12.520394196550345,0.005,-0.7989865944253053,-52.13447297907273,-69.25917302645557,17.124700047382838
