,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.14051236821914678,-76.32959861247397,-76.32959861247397,0.0,0.005,0.8402506979933957,-92.96895283486438,-93.22998809549723,0.2610352606328519,0.005,0.5130725269776452,-87.94720083877871,-89.6312941352582,1.6840932964794888,0.005,0.15943706834683646,-87.32982326836753,-112.18160546780013,24.85178219943259
1.0,0.005,0.41680219856225814,-71.22414851040786,-84.28839878591472,13.064250275506865,0.005,0.8331311595609001,-81.76926253389593,-88.47507968670368,6.705817152807754,0.005,0.5582909766417965,-80.2477325291859,-95.09755299395152,14.849820464765628,0.005,0.22559923655217526,-80.58312734406684,-95.70539907287693,15.122271728810091
2.0,0.005,0.3972912996307896,-68.03013165305762,-80.76657360480111,12.736441951743487,0.005,0.773800608907983,-78.4671963143223,-79.14756293602838,0.6803666217060851,0.005,0.6495401560658767,-76.11974671717957,-93.98045649228447,17.860709775104908,0.005,0.19706011925347408,-76.68991633301306,-96.59441199553648,19.904495662523416
3.0,0.005,0.45400772236733467,-68.72537377824186,-90.30899869919435,21.583624920952488,0.005,0.8689655341147486,-77.27337487234406,-89.62448264184582,12.351107769501752,0.005,0.5427469214589096,-75.48582971045829,-91.56335897748518,16.07752926702689,0.005,0.23125740878974457,-75.1078830812354,-93.65087919780508,18.542996116569682
4.0,0.005,0.4795032622610367,-68.03013165305762,-90.30899869919435,22.278867046136725,0.005,0.8928650194787303,-77.17557374198623,-78.64573563892498,1.4701618969387482,0.005,0.5117015387359264,-73.90940457440743,-79.61244665201629,5.703042077608856,0.005,0.21665217614897922,-77.66229511376966,-95.22681733869672,17.56452222492706
5.0,0.005,0.2906907989433237,-68.03013165305762,-90.30899869919435,22.278867046136725,0.005,0.7399126714929829,-77.74829759245154,-81.89601625064513,4.147718658193597,0.005,0.2833156040372798,-72.49529737454776,-93.79956201578453,21.30426464123677,0.005,0.10478708461476403,-74.60090254055159,-88.01598284589771,13.415080305346123
6.0,0.005,0.21815469915196753,-64.28839878591474,-133.97940008672037,69.69100130080564,0.005,0.840815373237652,-77.22609739712361,-77.31684555469744,0.09074815757382737,0.005,0.1331588069041098,-69.96688365358632,-88.44256367379035,18.475680020204024,0.005,0.12877430363136935,-68.95803019543509,-75.22990796847888,6.271877773043798
7.0,0.005,0.03404184951422683,-60.76657360480111,-71.22414851040786,10.457574905606748,0.005,0.6381822311061511,-75.93393543826879,-88.77579338582343,12.841857947554644,0.005,0.03165276632881701,-64.82467833022145,-112.61072250063286,47.786044170411415,0.005,-0.12177358559377782,-62.928691600530215,-77.92551788108176,14.996826280551545
8.0,0.005,-0.04410181440430989,-57.43994516947061,-84.28839878591472,26.84845361644411,0.005,0.49489772970998147,-73.45613093344197,-74.50322867543248,1.0470977419905125,0.005,-0.06827793615581279,-59.719010207516675,-77.72066019542855,18.001649987911875,0.005,-0.13947779165113214,-60.786337189247945,-64.72079180354201,3.9344546142940686
9.0,0.005,0.088622772333281,-54.60240199897902,-90.30899869919435,35.70659670021533,0.005,0.49657602792149624,-70.99426900860885,-75.21240160561808,4.21813259700923,0.005,0.1386472759320453,-58.33640027680425,-58.60999115240671,0.27359087560245854,0.005,-0.0844803329297354,-57.438058348407566,-66.16615246072257,8.728094112315006
