,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.005,0.19310393532001327,-89.82134791783952,-133.97940008672037,44.15805216888086,0.005,0.8094704105623,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,-0.6441456624047005,-98.32039297490724,-107.64641278196108,9.32601980705384,0.005,-0.25137291690079855,-93.9922848975513,-115.32193248365903,21.329647586107725
3.0,0.09,0.9977099640393694,-0.8961980427678427,-13.627460753211242,12.7312627104434,0.0475,0.9989439531526559,-6.342343239506331,-7.750771976481758,1.4084287369754271,0.055,0.9982466934463696,-5.046809149958165,-27.448087892474746,22.40127874251658,0.04,0.9806903713879358,-6.021763534148803,-27.1599076118201,21.138144077671296
4.0,0.0875,0.998488921123178,-0.7409236749458172,-9.213402170873778,8.47247849592796,0.0775,0.9995917704728284,-2.0212755007664605,-9.524969926833712,7.503694426067252,0.04,0.9967103140165217,-7.4554529235307125,-14.487178677060603,7.031725753529891,0.025,0.9754053445869544,-12.402965324860682,-24.973724168553105,12.570758843692422
5.0,0.0775,0.9987656878814748,-1.9466858118196808,-10.838428635251098,8.891742823431418,0.0625,0.9995855361067747,-4.299351441263063,-42.304519573862045,38.00516813259898,0.0325,0.9962246988265568,-9.347582030822561,-40.51602298141299,31.168440950590426,0.015,0.9815858789877703,-16.710216901610856,-23.52770785345992,6.817490951849063
6.0,0.06,0.9993790891173953,-2.907601055808815,-4.984941912767391,2.0773408569585756,0.055,0.999875383951477,-5.298975025768833,-19.050900703959528,13.751925678190695,0.025,0.9978760093872278,-13.339210100770043,-21.36717858524743,8.027968484477388,0.015,0.9823628531085568,-17.574267427477444,-34.81073039429362,17.236462966816177
7.0,0.065,0.9994161631814815,-3.3575436726404235,-23.58203433628214,20.224490663641713,0.05,0.9997235641487562,-5.26223782414899,-17.7506659020446,12.488428077895609,0.015,0.998195030489644,-16.882318908819926,-32.94894107295555,16.066622164135623,0.015,0.9892506314614239,-19.221242254810203,-39.11981364025887,19.898571385448665
8.0,0.0275,0.9988709741316544,-11.735694854739528,-25.476934700468988,13.74123984572946,0.015,0.9992713707513703,-16.902205022684885,-28.96913545480154,12.066930432116653,0.01,0.998358836661102,-22.52145099319825,-41.43856828900459,18.917117295806342,0.01,0.9922983562814934,-21.231106070376462,-35.167113674455706,13.936007604079244
9.0,0.02,0.9992255111024045,-14.91672832302033,-26.173054807403933,11.256326484383603,0.015,0.9994154807978425,-16.614091088984495,-20.87034463085009,4.256253541865597,0.005,0.9982055458051639,-26.362032316784457,-55.74010612792344,29.378073811138982,0.0075,0.9962592345347413,-25.030541103801944,-43.1362492150742,18.105708111272257
10.0,0.0525,0.9994181415193416,-5.564283651659895,-10.771310995524463,5.207027343864568,0.04,0.9997435881993904,-7.921509225304105,-11.74863639885281,3.827127173548705,0.02,0.9992720271097543,-15.615317713380549,-27.636460268685774,12.021142555305225,0.02,0.9964062313792009,-16.005577072224344,-24.686567303029104,8.68099023080476
11.0,0.0475,0.9994408458561588,-6.103708127085467,-13.312825660812846,7.20911753372738,0.0375,0.9996061598261207,-8.631102351187076,-11.66238268873444,3.031280337547363,0.0125,0.9974333253425768,-19.41888177255573,-39.07139271930676,19.65251094675103,0.0125,0.9937300155196203,-19.210983164675227,-58.43327596508974,39.222292800414515
12.0,0.0325,0.9994755451502708,-10.38933781254363,-29.970277354062688,19.580939541519058,0.03,0.9995699040743621,-10.318580363048614,-36.58704218421906,26.268461821170444,0.0075,0.9985068628856659,-25.009654784722354,-42.377444598017284,17.36778981329493,0.005,0.9906507565402928,-29.99218065704092,-39.10120246321499,9.10902180617407
13.0,0.07,0.9993727402723737,-2.8097980961664026,-6.867203009260866,4.057404913094463,0.06,0.9995787999925175,-4.337722707603938,-31.29592761386531,26.958204906261372,0.035,0.9993043169109356,-10.118300249847286,-22.520268031558608,12.401967781711322,0.0225,0.9924200157652002,-10.954296623710464,-31.143041770374627,20.18874514666416
