,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.9651473378002484,-63.86461280451597,-69.48114499602985,5.616532191513883,0.005,0.9640532388398939,-71.83104536156719,-71.83104536156719,0.0,0.005,0.2765706612046324,-83.07966085258877,-85.36355871254118,2.283897859952404,0.005,0.062427982822090805,-82.31600084243817,-88.84781618925315,6.53181534681498
1.0,0.005,0.9091169240498906,-56.505077098624085,-64.73392668013777,8.228849581513686,0.005,0.9349222328231546,-61.849255967638214,-64.02598688391406,2.1767309162758437,0.005,0.34179391508231266,-72.9524071217987,-125.95446386182647,53.00205674002777,0.005,0.004805944401264493,-61.84652721332088,-113.63642597068889,51.78989875736801
2.0,0.0575,0.9686459388294306,-3.692203875024936,-9.527858338525482,5.835654463500545,0.005,0.9530054708624901,-29.677179674002765,-29.677179674002765,0.0,0.035,0.9973827000554211,-9.646203332469069,-12.59904371377419,2.952840381305121,0.03,0.9162374922228506,-10.513644408675848,-49.63187907871212,39.11823467003627
3.0,0.0675,0.9896955687648799,-3.1689888903759105,-20.786864362390528,17.617875472014617,0.05,0.9994722504359647,-6.511735108612684,-23.48555171554072,16.973816606928036,0.0325,0.9934003568539349,-9.776576937510047,-45.34967391635856,35.57309697884851,0.03,0.9001877571657633,-11.589794936848612,-31.339255995885857,19.749461059037245
4.0,0.0425,0.9870970550714359,-7.096027210471123,-13.132241670622648,6.036214460151525,0.03,0.9909584155208633,-10.672436849342628,-29.875708839321188,19.20327198997856,0.015,0.9759555022338109,-17.14109585313851,-45.41369716223077,28.27260130909226,0.01,0.87132655712532,-22.197236116897095,-49.00652506383679,26.809288946939695
5.0,0.0325,0.9579645200307535,-9.986725372016188,-19.831469186431733,9.844743814415544,0.025,0.9714057116456261,-11.601179696903355,-17.016990106067745,5.41581040916439,0.015,0.8749911309771492,-19.776636956989982,-35.37123758803737,15.594600631047385,0.01,0.8638257988924972,-23.71003883439631,-33.78910949500406,10.079070660607751
6.0,0.03,0.8323256997297714,-10.64188641255859,-20.737668787317492,10.095782374758903,0.0225,0.9258484845105572,-12.325003625523294,-27.1830918617305,14.858088236207205,0.015,0.8985295280635305,-16.72352389782894,-49.35074848678525,32.62722458895631,0.01,0.9023795787030718,-21.710335208007425,-88.4349274444256,66.72459223641818
7.0,0.0275,0.926466861901351,-10.518222632784308,-31.214502879613097,20.69628024682879,0.025,0.873345780468582,-13.407681585982424,-30.79409973617887,17.386418150196448,0.01,0.8251768243691457,-23.347788835567606,-40.67469281057552,17.326903975007916,0.01,0.9228954723952429,-22.10453677437734,-46.271813611318976,24.167276836941635
8.0,0.0275,0.7284584291067616,-11.019091908092506,-15.833319959887769,4.814228051795263,0.015,0.9163980913226191,-16.50669730218131,-29.754080882771255,13.247383580589947,0.015,0.8444621832608207,-19.019672612047295,-30.883712766558098,11.864040154510803,0.02,0.4164758473134405,-14.45973448553412,-47.613482668297664,33.15374818276354
9.0,0.0275,0.7725134452506729,-11.702245984439756,-30.809558813232975,19.10731282879322,0.015,0.948767031966892,-18.091710784717787,-29.599310710947417,11.50759992622963,0.01,0.8810793964069614,-20.47999829118075,-29.063923582481927,8.583925291301178,0.01,0.41063518516464587,-20.047548806904402,-55.49530486642609,35.44775605952169
10.0,0.025,0.8866869564005609,-13.263059382655848,-31.321198566296097,18.05813918364025,0.015,0.9755686199932201,-17.416688227947855,-33.356065466278054,15.939377238330199,0.0075,0.8875434846023885,-22.418425514208774,-27.23523671409137,4.816811199882597,0.01,0.4602780264893213,-22.980402072349783,-52.838045097935606,29.857643025585823
11.0,0.0175,0.8719913322430655,-14.71851183269856,-28.44757257167309,13.729060738974528,0.01,0.9389135465954714,-20.34769589141572,-20.34769589141572,0.0,0.01,0.8703632481737779,-22.779203748261892,-42.63980989155509,19.860606143293197,0.01,0.5890456734904082,-23.865815769081813,-34.48992315060742,10.624107381525604
12.0,0.0175,0.8305504354984736,-15.088493664966904,-31.49866900054301,16.410175335576106,0.01,0.8672099796426662,-20.249511171958183,-25.792967100409907,5.543455928451724,0.01,0.9518636801191145,-21.760040901137504,-30.865111735623508,9.105070834486003,0.01,0.8716457838265008,-20.562180947406716,-32.44405298991845,11.88187204251173
13.0,0.0175,0.7140986658226616,-16.21055287472632,-30.265677464064204,14.055124589337883,0.01,0.6986363763565294,-24.20365777880278,-43.5034696216217,19.29981184281892,0.01,0.9366950964287788,-21.12632039889075,-37.10060792533352,15.974287526442769,0.01,0.8818973913065861,-20.338099925682585,-48.7093927548017,28.371292829119113
14.0,0.0575,0.9337017888182808,-4.520341422178634,-24.94212042017306,20.421778997994426,0.005,0.3848614566686096,-27.16898982199023,-38.75498772532922,11.585997903338992,0.04,0.982754258146743,-8.798533068952105,-19.1128767840129,10.314343715060796,0.0525,0.9330620844283107,-5.227205241081552,-33.56465579803439,28.337450556952835
15.0,0.0525,0.8933134569365357,-5.736885692092524,-18.679107853376372,12.942222161283848,0.01,0.7779631732190243,-22.772476170160132,-31.15478408618867,8.382307916028537,0.03,0.9803598122183365,-10.534919069904165,-21.728276953963356,11.193357884059191,0.04,0.9210360064113193,-7.955949211037996,-44.08097483216491,36.125025621126916
16.0,0.03,0.8891047851180739,-11.732891281328673,-36.922661087872115,25.189769806543442,0.005,0.643838992123585,-26.264549992942644,-34.48952015881745,8.224970165874804,0.02,0.9133280268225726,-15.92734555089729,-22.520020036591607,6.592674485694317,0.0225,0.9497074935027325,-13.762725568023546,-33.836211909598724,20.073486341575176
