,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.005,0.026783322326426547,-74.74597369152148,-84.28839878591472,9.542425094393238,0.005,-0.26350759230699755,-98.35142943288668,-100.8855217311914,2.534092298304728,0.005,0.05942280247018488,-85.46900570591859,-90.99927036500331,5.530264659084722,0.005,-0.0394781600565325,-81.15325505648337,-92.14953801967269,10.996282963189316
3.0,0.005,0.09052515849093573,-72.24719895935547,-80.76657360480111,8.519374645445637,0.005,0.14871520395510768,-86.69047796515018,-90.34324812556176,3.6527701604115776,0.005,0.00593863264739177,-82.72270148635931,-89.0210564304381,6.298354944078781,0.005,0.032827577085655056,-77.63089527278996,-85.01051587988675,7.379620607096797
4.0,0.005,0.007328534935322743,-70.30899869919435,-84.28839878591472,13.979400086720375,0.005,0.11762836914487862,-82.68963409164805,-91.11408866203554,8.424454570387496,0.005,0.07530289413176115,-79.17488452653903,-96.81388609742396,17.63900157088493,0.005,-0.0057517544422423204,-78.86945539723618,-100.37289743391726,21.50344203668108
5.0,0.1,0.968754380426166,-0.0034466238351864584,-3.810186658896323,3.8067400350611367,0.1025,0.9742422833986628,0.29397995534096205,-24.36238348343243,24.656363438773393,0.0575,0.9653052184070013,-5.176226158475739,-22.523365485268634,17.347139326792895,0.045,0.867767497466091,-4.8440439743096455,-35.46750823833143,30.623464264021788
6.0,0.085,0.9812577438850816,-0.5196730731317913,-11.703265754283965,11.183592681152174,0.08,0.9786441270679636,-1.405185619791052,-12.66080954910918,11.255623929318128,0.02,0.7516163801829635,-14.878541256412365,-38.656192885837136,23.77765162942477,0.01,0.7987845888744397,-17.07921283944352,-45.34036223263005,28.26114939318653
7.0,0.055,0.9073822610018807,-4.41835155235696,-24.28405692647013,19.86570537411317,0.0625,0.9386750098971373,-2.725547846917125,-18.20994429144457,15.484396444527446,0.0175,0.840396228252652,-16.125419839068165,-37.399937763122615,21.27451792405445,0.0125,0.9566415614321041,-17.093179653896122,-82.37315385000132,65.2799741961052
8.0,0.045,0.9692157792079006,-6.0775114295373465,-15.249601398612674,9.172089969075326,0.0475,0.968378185507849,-6.062612596621873,-13.21853021506053,7.155917618438657,0.015,0.9318947423420881,-17.78421574940881,-54.04548895762233,36.261273208213524,0.0125,0.9886025904727179,-17.761119041216446,-93.71770872211046,75.95658968089401
9.0,0.045,0.9781479914700839,-6.351814064432605,-14.380287522990866,8.02847345855826,0.045,0.9822902539244819,-6.200154118869272,-18.280973656164804,12.080819537295532,0.0125,0.8742868176239067,-19.419824591050784,-36.25688225376088,16.837057662710095,0.0125,0.9868042794889903,-18.382125958093116,-68.73301440405731,50.3508884459642
10.0,0.035,0.980307209665991,-8.877249288894832,-10.869573171199228,1.9923238823043956,0.035,0.9839362468611017,-9.423462482302643,-9.866201892587338,0.44273941028469466,0.01,0.952111622130033,-20.654034315240793,-40.03392638250156,19.37989206726077,0.0125,0.9895211505936653,-18.678630127427205,-66.50558226061376,47.82695213318656
11.0,0.0375,0.9932087880733511,-8.174984051947273,-9.637307188886092,1.462323136938819,0.0375,0.9921704711300323,-8.747524110823996,-13.703948433298645,4.95642432247465,0.01,0.960708242043073,-20.673885175171733,-33.77653970042185,13.102654525250117,0.0125,0.9894036941774357,-18.666145424403787,-83.85436719445988,65.18822177005609
12.0,0.0625,0.9327891954694836,-2.811466705146295,-11.493689986570008,8.682223281423713,0.04,0.9790957940130917,-7.655228901503079,-11.869686486348046,4.214457584844967,0.01,0.8471544830678748,-20.32456808805849,-23.594388474365363,3.269820386306872,0.02,0.17733268336080862,-14.008099696381223,-41.10234797078352,27.094248274402297
13.0,0.0425,0.974662209608477,-7.8071844375416735,-11.491699179859925,3.6845147423182514,0.04,0.9795681789415797,-8.69035789150326,-9.062163692584143,0.37180580108088357,0.01,0.9633465966235004,-21.826715429994763,-39.27495403588016,17.448238605885393,0.0125,0.7397782597600889,-18.626614259670042,-54.20556865027841,35.57895439060837
