,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.1,0.9762183401904615,0.0,-3.272686186856544,3.272686186856544,0.0875,0.9788570061638078,-1.0838170757753338,-1.7292675879173947,0.6454505121420608,0.0875,0.9718060642184272,-0.8037729219957166,-16.325668534612415,15.5218956126167,0.0375,0.9833256039545999,-8.428072677037461,-12.180576408175586,3.752503731138125
1.0,0.1,0.9710231095705854,0.0,-25.30059865301648,25.30059865301648,0.0875,0.9755318517646565,-1.2095429400920517,-17.670618376621096,16.461075436529043,0.05,0.9659933812441273,-6.421694873237512,-34.68289665387897,28.261201780641457,0.0475,0.9915394376062585,-6.709139458484234,-36.53387835853693,29.824738900052697
2.0,0.0875,0.9710879700313763,-0.5670800151285816,-17.629535583400887,17.062455568272306,0.0525,0.9724736805022081,-5.192832268982155,-11.797794125120085,6.60496185613793,0.04,0.9830764736361192,-8.451616515732614,-37.68012942951959,29.228512913786975,0.0425,0.989932782733045,-7.565497475933052,-17.62542351293799,10.059926037004937
3.0,0.06,0.9707660775386999,-3.950237906473237,-9.74001384472419,5.789775938250953,0.04,0.9730370054368159,-8.215498617199843,-34.429922828410334,26.214424211210492,0.0275,0.9849166021184085,-11.340457374377358,-30.13925217095889,18.798794796581532,0.03,0.9855885930583744,-10.527002307163233,-36.85823782514263,26.331235517979398
4.0,0.055,0.9690470313520705,-5.265535583763681,-11.965192528963073,6.699656945199392,0.04,0.9709753637217898,-7.930413190779597,-20.00269941898115,12.072286228201552,0.0275,0.9879692540564522,-11.453927328250224,-23.002365393268626,11.548438065018402,0.0225,0.9891384422637252,-13.71887634394998,-28.23406115787762,14.51518481392764
5.0,0.0575,0.9699433492042066,-4.184788535839128,-14.575389635261383,10.390601099422256,0.04,0.972805845672262,-8.410443379443478,-22.142550819272472,13.732107439828994,0.025,0.9875173709863123,-11.988356157351364,-17.3749168818468,5.386560724495437,0.015,0.9895865171921981,-17.15887387914265,-25.529759371761163,8.370885492618513
6.0,0.0525,0.9701414645604355,-4.460332734313928,-20.915503248158394,16.455170513844465,0.0375,0.9731425240814511,-8.781024463834338,-19.367000698364855,10.585976234530516,0.0225,0.9863586637990104,-13.949292669339606,-24.61589219491706,10.666599525577453,0.015,0.9936330585370808,-18.769997689811937,-35.800333561536334,17.030335871724397
7.0,0.045,0.9712043868963891,-6.094604385574326,-16.551288202220245,10.45668381664592,0.0375,0.975169082668743,-9.008562956835947,-14.40432583411005,5.3957628772741035,0.0175,0.9867065780044935,-15.526578899939466,-57.479109060514844,41.95253016057538,0.015,0.9937318821754328,-17.747927396735122,-33.35701959130254,15.609092194567417
8.0,0.025,0.9701215110770685,-13.366186350926233,-24.21057546117652,10.844389110250289,0.015,0.9688529186223722,-14.241408969078577,-34.413371567848245,20.171962598769667,0.02,0.9894608450371463,-16.07869490292363,-22.04548670694615,5.96679180402252,0.0125,0.9961923262414804,-18.742397311963277,-28.734226074942583,9.991828762979306
9.0,0.0175,0.9872813415868738,-15.103565488353093,-29.560468740381882,14.45690325202879,0.005,0.9565003997455427,-30.716032674388067,-49.178036422374525,18.462003747986458,0.015,0.9887282163660841,-17.293514262173034,-30.280539476510814,12.98702521433778,0.01,0.9949972119319775,-21.151889184638733,-44.73159336803167,23.579704183392934
10.0,0.02,0.9881031951909792,-16.02743539955724,-25.603481165453307,9.576045765896065,0.005,0.965420552896739,-38.39947263278355,-48.133466650911146,9.733994018127596,0.015,0.9880010140243928,-17.03911023229582,-29.491799683308543,12.452689451012724,0.01,0.9939444096597203,-21.519326013786703,-35.80138252858009,14.28205651479339
