,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.015,0.6848311599938744,-17.989997666066337,-46.33585696010591,28.34585929403957,0.005,0.9794232499180076,-49.0912858587103,-49.0912858587103,0.0,0.005,0.8169074339289144,-35.045098338055126,-42.228065946019946,7.1829676079648195,0.01,0.5423558050429392,-24.70382945063484,-31.8065271076768,7.102697657041961
5.0,0.0225,0.8499998764189087,-13.335365618715349,-62.009531739778,48.67416612106265,0.005,0.38117234795944216,-34.34878869325694,-37.53894535733174,3.1901566640747987,0.0225,0.9507624069756061,-13.748979819337997,-26.24740922078134,12.498429401443342,0.01,0.550788177579614,-22.532953990225618,-37.246745371200376,14.713791380974758
6.0,0.0225,0.7837908528691984,-13.625673020341955,-33.0783104820136,19.452637461671642,0.005,0.5963792902611137,-35.17360486384561,-56.13166926528124,20.958064401435628,0.0175,0.8789511105334809,-15.476002707779024,-31.769821539646838,16.293818831867814,0.01,0.5645868007321234,-24.487944519294075,-36.77390869485579,12.285964175561716
7.0,0.015,0.6110097442602539,-17.33789558594094,-30.511107424818892,13.17321183887795,0.005,0.4564121696194372,-43.59760619843378,-57.85446254054027,14.256856342106488,0.01,0.5089233662193463,-23.994306812093203,-29.904371946448876,5.910065134355673,0.01,0.6560065139747505,-22.57868225016171,-32.147067929151795,9.568385678990087
8.0,0.0575,0.965867891013897,-5.056180624089119,-14.699772041960005,9.643591417870885,0.0425,0.9911025482915603,-7.616750320343808,-12.918839983827095,5.302089663483287,0.025,0.9100471582308084,-12.044897045630428,-37.966133584858326,25.9212365392279,0.04,0.9276604499786275,-7.851956997808686,-31.196296056306597,23.344339058497912
9.0,0.0375,0.8765328967059871,-8.806092158117316,-24.44616903017574,15.640076872058422,0.0275,0.8619310967071021,-11.671577986421687,-17.237514801699458,5.565936815277771,0.02,0.9164134650093222,-14.186799597381084,-22.48747830240237,8.300678705021285,0.01,0.8103596924379267,-23.766448617830346,-42.22896672561976,18.462518107789418
10.0,0.0275,0.8776453233009518,-11.965192528963073,-46.28105621278533,34.31586368382226,0.015,0.944360796129944,-16.99691475664485,-45.25693130059014,28.26001654394529,0.02,0.797938721798323,-15.780235680402912,-22.963343834770583,7.183108154367671,0.01,0.7877936035080275,-25.42382515913054,-45.96062825619582,20.536803097065278
11.0,0.0275,0.7869378215997183,-10.496006932817268,-16.982383813154986,6.486376880337717,0.01,0.7902079427960875,-23.215195444024616,-58.386511404379235,35.17131596035462,0.0175,0.8305001163810811,-16.00619172993643,-28.945217670540693,12.939025940604264,0.015,0.7598957446395993,-16.889140472605405,-24.40508660919274,7.515946136587335
12.0,0.03,0.8866808598951385,-11.55062064623875,-28.732615037217386,17.181994390978637,0.01,0.9231251336015285,-20.780408657978565,-32.30541094924246,11.525002291263892,0.015,0.8703369299468605,-16.65097416254689,-27.079686614146752,10.42871245159986,0.015,0.9157360303405051,-16.80243752167575,-28.460310820596355,11.657873298920606
13.0,0.0225,0.8033245486845458,-13.906283661785753,-24.688331354239807,10.782047692454054,0.01,0.7132325431871139,-22.470619064173572,-37.39739642474003,14.926777360566458,0.01,0.8347955947766373,-20.472762677463564,-26.485158049112272,6.012395371648708,0.015,0.811543339989374,-17.883252529011575,-35.2088173651555,17.325564836143922
14.0,0.04,0.87561773746481,-8.344433389135556,-20.254995192983102,11.910561803847546,0.01,0.9022324778872916,-25.813393268085502,-60.15132268299948,34.33792941491397,0.02,0.875819793121166,-14.055893408988743,-14.5118296928336,0.4559362838448582,0.025,0.8068724189015475,-13.006045733411506,-21.094613531790696,8.08856779837919
