,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0075,0.6656199854940216,-21.640002823962433,-78.2677988726351,56.627796048672664,0.005,0.8601970461995997,-57.21861716755701,-78.50432046273136,21.28570329517435,0.005,0.9837102930302596,-38.97786988037487,-96.08702025784962,57.10915037747475,0.005,0.7680571774983459,-27.751825157015038,-77.64526578646436,49.89344062944933
5.0,0.005,0.5439322728793392,-53.53201688444925,-66.78717351808073,13.255156633631486,0.005,0.8997239936307615,-64.10809693081968,-65.35506458929132,1.2469676584716325,0.005,0.5499843139095874,-61.26818235162874,-79.37576787388222,18.107585522253487,0.005,0.21743329419595517,-56.17381305292781,-79.10287377788019,22.92906072495238
6.0,0.01,0.9966640840755472,-23.70072323221054,-41.68172341601461,17.981000183804074,0.005,0.974163979515173,-49.15690455914857,-96.15121575465923,46.99431119551066,0.0075,0.9972711891793449,-23.25441159701961,-29.834959783958542,6.58054818693893,0.005,0.9952873052851062,-26.55551650303783,-32.83295040847665,6.277433905438819
7.0,0.02,0.9987526974854523,-15.264955635663938,-25.990962435113723,10.726006799449785,0.005,0.9915238005289403,-46.29624036084009,-66.8344620705977,20.538221709757607,0.015,0.9990689910338679,-16.692869377097757,-27.268334481390923,10.575465104293166,0.015,0.9983797119719473,-18.827339720275425,-34.59310404050949,15.765764320234062
8.0,0.0175,0.9982953106526119,-16.234575500653957,-25.85466927624269,9.620093775588732,0.005,0.9980521107708127,-43.17752039841068,-49.75536155741344,6.577841159002759,0.015,0.99903511863217,-18.80943458718583,-33.948466869584415,15.139032282398585,0.0125,0.9973123377969283,-19.35394183168283,-33.30235431894768,13.948412487264847
9.0,0.0225,0.9994028690635459,-13.357545516352115,-31.710407497502597,18.352861981150483,0.005,0.9799973979563567,-46.95918582268149,-60.5116573605947,13.552471537913206,0.02,0.9994279877276152,-15.472944397326366,-18.73081307984911,3.2578686825227443,0.0225,0.9994409674898903,-13.58651470920681,-24.014750708325657,10.428235999118847
10.0,0.025,0.9990087315900542,-12.517362656201882,-21.899981517072995,9.382618860871112,0.005,0.9977001456544691,-41.23035993298511,-48.42133195199732,7.190972019012207,0.025,0.9989515548337811,-12.498060565086956,-24.69241302597918,12.194352460892226,0.02,0.9993799645148074,-14.567204230777497,-45.75890984469555,31.191705613918053
11.0,0.03,0.9995809620415477,-11.024749239797973,-16.04086805584054,5.016118816042567,0.005,0.9985377623329119,-42.0191819196534,-44.268804864740126,2.2496229450867276,0.03,0.9996309999964849,-10.767780229327421,-25.782924561898717,15.015144332571296,0.0275,0.9994536749999876,-11.435380667149813,-12.165583341703998,0.7302026745541852
12.0,0.03,0.9998221107198288,-11.1129123690276,-30.511107424818892,19.39819505579129,0.005,0.9993881298486758,-37.71954177368995,-61.52544888032775,23.805907106637804,0.03,0.9998062722322533,-10.529823582675043,-16.891201937608137,6.361378354933095,0.03,0.9998603968757622,-10.587008399946903,-28.679022768573056,18.092014368626153
13.0,0.03,0.9998585766305849,-11.030410258663188,-25.453202509620823,14.422792250957635,0.005,0.9996010190073735,-41.818847427598875,-46.51137251988635,4.692525092287475,0.03,0.9998661332713588,-11.01837913438343,-28.825008342315396,17.806629207931966,0.025,0.999844815171823,-12.359987009221342,-36.735607762552675,24.375620753331333
14.0,0.01,0.9991151474984296,-22.984276224828495,-40.651527027019284,17.66725080219079,0.005,0.9994097506774736,-40.75122349644448,-62.25924378785935,21.508020291414866,0.01,0.9992954670740755,-24.21195310682133,-38.1475422597073,13.93558915288597,0.005,0.9976206743025172,-30.798874641199752,-49.64304961760043,18.84417497640068
