,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.005,0.553938623040824,-84.12680079663575,-90.14740070991537,6.020599913279625,0.005,-0.3381922689897901,-97.64832506565611,-117.026138481003,19.377813415346893,0.005,-0.12720574459183023,-91.52540509139484,-98.59608256955993,7.070677478165081,0.005,-0.06231940828506162,-94.54646191317639,-105.08004367331642,10.533581760140038
7.0,0.015,0.3195660921399578,-18.615967347634438,-35.214716643735606,16.59874929610117,0.0075,0.6883308836056461,-23.414311895499303,-40.072921694444574,16.65860979894527,0.01,-0.11350285568802987,-21.686329524511564,-22.25054302653429,0.5642135020227279,0.005,0.14317723351183703,-66.20453307184667,-111.4219035515674,45.21737047972073
8.0,0.0125,0.7528631626278426,-19.263558975357483,-30.225928055057118,10.962369079699634,0.01,0.7677051314076991,-23.495570752115434,-26.8559944208399,3.360423668724465,0.01,0.703237783186721,-21.574631717913853,-33.81937628205673,12.244744564142877,0.005,0.17424777834846106,-66.93566697373679,-77.03540648360654,10.09973950986975
9.0,0.0125,0.8113629124780677,-19.643912223575178,-24.07484113374362,4.4309289101684435,0.01,0.7952165728334947,-23.039568998073374,-24.119522602280334,1.0799536042069597,0.01,0.8050902689848128,-22.890758238852055,-34.73935503195149,11.848596793099436,0.005,0.43389123127504264,-62.44740968355448,-76.11720416354,13.669794479985512
10.0,0.01,0.8004859578410064,-20.3904988180115,-20.683502610598165,0.29300379258666354,0.01,0.7868899469542463,-22.977927649446976,-29.583853909158893,6.605926259711918,0.01,0.8227904704620107,-23.357660457570315,-26.775336664689405,3.41767620711909,0.005,0.2910121928124963,-64.85416547107202,-77.93212689131721,13.077961420245188
11.0,0.0175,0.806672298190024,-15.987485875427137,-15.987485875427137,0.0,0.01,0.8393406206374981,-20.091918964606634,-33.67269896657597,13.580780001969337,0.01,0.7120389932281554,-21.202621170274437,-21.94918298781266,0.7465618175382218,0.005,0.5852109567264184,-54.25626847459042,-81.6614052687581,27.40513679416768
12.0,0.0175,0.8982475581473434,-15.822324268567847,-22.335763449849463,6.5134391812816155,0.015,0.9201856643947096,-18.605859710465076,-32.0995698989885,13.493710188523423,0.0125,0.8887572396948881,-19.882983449412876,-21.151837267683838,1.268853818270962,0.005,0.26572269922887826,-66.87788166199408,-77.29142460613568,10.413542944141597
13.0,0.015,0.8853210659806897,-16.890356756795452,-39.49231329697382,22.601956540178367,0.015,0.8699598327642006,-18.930821293262394,-27.47463212209944,8.543810828837046,0.01,0.8773476207553675,-20.924590791771415,-22.932585373460608,2.007994581689193,0.005,0.27627925433948736,-64.91845412522244,-74.33587984774726,9.417425722524825
14.0,0.015,0.8862348109010356,-17.294154895638016,-28.23704034634234,10.942885450704324,0.015,0.8802296666467805,-19.15608592759661,-19.550316953552397,0.3942310259557864,0.01,0.8967635739261451,-20.93342232642187,-39.697026521104355,18.763604194682486,0.005,0.3521485828504012,-65.48492274909684,-79.29104392860907,13.806121179512232
