,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.005,0.08195320085826818,-58.26779887263511,-78.2677988726351,19.999999999999986,0.005,0.9078917024114112,-76.58241965779612,-94.78603872602902,18.203619068232896,0.005,0.884778300185601,-72.32082618550889,-83.6141160221413,11.293289836632411,0.005,0.17422922501047203,-71.8359136691816,-84.73246433672375,12.896550667542158
3.0,0.005,0.9940468836023567,-29.8521864816638,-34.349805824450435,4.497619342786635,0.005,0.9950505842737289,-32.87767064710821,-39.84127408501207,6.963603437903856,0.005,0.9921149862866558,-37.02569535312687,-43.060915659120326,6.035220305993455,0.005,0.9651891373807031,-41.21712829356241,-83.28942704673057,42.072298753168155
4.0,0.03,0.9962745838517862,-10.552099695768396,-21.691379770136532,11.139280074368136,0.015,0.9957675083185421,-17.030768487556525,-17.030768487556525,0.0,0.0125,0.9927735426876841,-18.298076572711544,-25.26934376637697,6.971267193665426,0.005,0.9954125632384666,-26.315885994733126,-51.654622547120084,25.33873655238696
5.0,0.1,0.9946498091386681,-0.12952097688852918,-8.767457362279137,8.637936385390608,0.085,0.9959516398812513,-1.8293712611926505,-7.046579629287884,5.217208368095234,0.0625,0.9932330363519823,-4.1788830119997575,-13.805153105532714,9.626270093532955,0.015,0.9701527320352124,-17.120337502798172,-40.68770325643503,23.567365753636857
6.0,0.075,0.9707441287890151,-2.854071687097448,-12.410499152003489,9.55642746490604,0.075,0.9854012578392067,-1.9064704596857016,-38.828628711610484,36.922158251924785,0.045,0.9711341549177194,-6.310590439354965,-25.020307010346727,18.709716570991763,0.015,0.9844507773711361,-16.897634818673744,-30.015578835114127,13.117944016440383
7.0,0.045,0.9668460491063178,-6.256508227614798,-21.25181198327731,14.995303755662512,0.0325,0.9928362764071746,-10.356466839256592,-25.731830923808094,15.375364084551501,0.0275,0.9152443635341431,-9.313238938333859,-25.37381405615273,16.06057511781887,0.01,0.9617222783860633,-20.814720448734242,-55.69901630651521,34.88429585778097
8.0,0.0325,0.8796652740142774,-8.94231243684927,-23.265348336967108,14.323035900117837,0.0175,0.9892776634973062,-14.115525428620439,-27.827714549528302,13.712189120907864,0.02,0.7728268266652574,-13.571852530666824,-34.67620695857297,21.104354427906145,0.0075,0.9658256405632913,-24.328767888822128,-48.17718086962941,23.848412980807282
9.0,0.02,0.7767723172217572,-13.98682528439628,-31.449006831873547,17.462181547477265,0.015,0.9819079354182767,-18.116103950137372,-36.43276015495032,18.31665620481295,0.015,0.5562147784405383,-16.81095214287097,-20.549592591089198,3.738640448218227,0.005,0.9170097996596023,-39.1536049718746,-46.06331735356277,6.909712381688173
10.0,0.0225,0.6713702260980412,-13.865637111834008,-28.696468960758242,14.830831848924234,0.015,0.9815156383635653,-19.2391362296893,-25.622500029686957,6.383363799997657,0.015,0.5566427607498962,-16.90886355309737,-34.62376938579594,17.71490583269857,0.005,0.9308933836021576,-41.2564702634521,-50.99723622208715,9.740765958635052
11.0,0.0225,0.8335053940979936,-13.213164818114647,-31.214502879613097,18.00133806149845,0.015,0.9932325670877004,-18.94117319062436,-27.131457864837017,8.190284674212656,0.0175,0.7479024616592229,-16.107886294495472,-26.985985544135545,10.878099249640073,0.005,0.9087046813939327,-39.99467449480302,-63.48952348359785,23.49484898879483
12.0,0.0275,0.6481068092934701,-11.8493023850167,-33.722923242573856,21.873620857557157,0.005,0.8438450586088813,-27.235001473571373,-45.157323955593476,17.922322482022103,0.02,0.5032410234479116,-15.856078580211673,-25.889737935331823,10.03365935512015,0.025,0.9917251058728128,-12.633770530285098,-31.621130705089,18.987360174803904
13.0,0.025,0.7055318717876186,-12.249370703244299,-31.46883763874809,19.219466935503792,0.005,0.9538688075636697,-32.08038227091555,-50.91560138031619,18.83521910940064,0.015,0.540197489303722,-17.652788822065773,-42.84078427191072,25.187995449844948,0.0175,0.9811427889984206,-16.28193674971644,-40.15164116962985,23.869704419913408
14.0,0.0175,0.8244058022982699,-16.077915334190966,-20.743442060802266,4.665526726611301,0.005,0.9640631541006595,-32.14426305840354,-36.373697933487016,4.229434875083477,0.015,0.8011157285182756,-18.090868344711666,-20.46413512678791,2.373266782076243,0.01,0.959447693827467,-24.044101270689858,-44.97785802017805,20.93375674948819
