,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.005,0.3543955657388194,-84.28839878591472,-90.30899869919435,6.020599913279625,0.005,-0.31625974035466764,-100.25833660709898,-114.88005807268769,14.621721465588706,0.005,-0.10255707306565105,-99.18139992149239,-116.50978490166398,17.32838498017159,0.005,0.0341381982690159,-95.10940165607201,-101.400558134638,6.291156478565995
3.0,0.005,0.3618843876048137,-28.00344687127633,-44.03165429181129,16.02820742053496,0.005,-0.38111996148009525,-45.55210488489429,-51.08321798038324,5.531113095488948,0.005,0.694445174051331,-41.72652215456595,-47.48522528948109,5.7587031349151445,0.005,0.7619906321184461,-29.015150290123103,-33.12989489171179,4.11474460158869
4.0,0.0475,0.8974303080363021,-6.83420442015661,-9.293672474533512,2.4594680543769023,0.04,0.8980611899395297,-7.540122446836318,-7.6336739406845435,0.09355149384822514,0.015,0.9166439491001701,-17.410204263696272,-40.236345830484424,22.826141566788152,0.025,0.906732276107044,-11.276643216198046,-56.67899191130799,45.40234869510994
5.0,0.0375,0.9153159077845399,-8.542732387432423,-45.95931981491623,37.416587427483805,0.045,0.9077902152052709,-7.645955184539047,-18.13718106137863,10.491225876839582,0.005,0.9622748912849174,-34.425550819168336,-65.27509360366517,30.849542784496833,0.005,0.809830314340144,-47.665709965018344,-94.03600246893006,46.37029250391172
6.0,0.0225,0.9280109777119542,-13.67800165927924,-21.00431679943407,7.326315140154829,0.02,0.945182874261379,-14.013999526097995,-26.221740626649506,12.20774110055151,0.005,0.5144141094991019,-54.734457326962286,-71.87706160435327,17.142604277390987,0.005,0.5180559537346133,-68.6654895197594,-82.48806865967587,13.82257913991647
7.0,0.045,0.9875771829403293,-7.202885376001839,-7.202885376001839,0.0,0.0375,0.9822134209280482,-8.735690070089912,-12.676872620520768,3.941182550430856,0.0125,0.9869115170405769,-18.340959941427553,-82.40775349462864,64.06679355320108,0.0175,0.8747021086844852,-15.222286651141916,-77.12183828224076,61.899551631098845
8.0,0.0525,0.9846940243062383,-5.897946301867437,-20.839259297902988,14.94131299603555,0.05,0.987240499705509,-5.652706844083135,-16.191296698247246,10.538589854164112,0.005,0.9610150449619587,-38.701226408564466,-82.41896641608551,43.717740007521044,0.005,0.6604752994663169,-46.11814989290551,-78.90481677708314,32.786666884177635
9.0,0.025,0.972074472889745,-12.998628317698877,-21.058044123141073,8.059415805442196,0.025,0.967790910757828,-12.965621230672934,-22.41644467389268,9.450823443219747,0.005,0.6513042250187602,-57.86291511178345,-81.49992294124175,23.637007829458298,0.005,0.4518203297529658,-69.13011201587297,-82.09239580136732,12.96228378549435
10.0,0.0125,0.9604074396613709,-19.75382364877492,-29.61642956668795,9.86260591791303,0.015,0.964814455105325,-16.68944642670113,-25.31214488617718,8.622698459476048,0.005,0.9010600785027353,-50.18931072014931,-73.44141995269075,23.252109232541443,0.005,0.17586613525054312,-70.38327748754617,-94.07101451183642,23.687737024290257
11.0,0.005,0.9843238134577807,-28.532107444654272,-33.93129040731416,5.399182962659886,0.0075,0.9868488151139693,-23.948244124159345,-49.54852232713737,25.600278202978025,0.005,0.6296323004669967,-64.0011997248289,-73.40031247281155,9.399112747982656,0.005,0.20203672544878062,-74.01540222782245,-85.75484198855582,11.739439760733376
12.0,0.005,0.9575551049735093,-33.83951411578833,-62.704773864962235,28.8652597491739,0.005,0.9835061664767571,-30.64778357003516,-54.066929569496345,23.419145999461186,0.005,0.5199373997173181,-67.05948949896492,-84.71837466171226,17.65888516274734,0.005,0.2583579730090278,-74.01161720170307,-95.6030698062856,21.59145260458253
13.0,0.005,0.7401572454529278,-46.729459753330964,-60.48176482250891,13.752305069177943,0.005,0.7247293935113516,-49.47793262980201,-58.630632583604594,9.152699953802582,0.005,0.537296424757008,-67.79531620456301,-75.72928297429756,7.933966769734553,0.005,0.3318457790230144,-73.37448137435567,-78.78036334686429,5.405881972508624
14.0,0.005,0.4690082582399731,-48.164799306236986,-67.3864379856296,19.221638679392612,0.005,0.5097197600334539,-48.336727667330265,-50.30507347233914,1.9683458050088731,0.005,0.6471859229044035,-68.69906282108127,-78.74538649323975,10.04632367215848,0.005,0.31945160277733864,-71.82627210951517,-79.80090904335887,7.974636933843698
