,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.02,0.9977999261825784,-15.05842825025436,-28.761640593511224,13.703212343256864,0.01,0.9997734976653657,-21.694462175364464,-21.82036588170442,0.12590370633995462,0.0125,0.9982893948663031,-18.72273795689552,-37.73166999697881,19.008932040083288,0.01,0.9979866256909424,-24.848378993345484,-26.155979768753298,1.3076007754078134
2.0,0.0175,0.997212233960621,-16.06779584997286,-20.060647727177553,3.992851877204693,0.01,0.9994125736753954,-20.75412177570484,-62.205132027223456,41.45101025151862,0.0125,0.9974793290007778,-19.954605971206053,-30.31778164505878,10.363175673852727,0.01,0.9971869066735656,-23.873353309107344,-44.825637269809036,20.952283960701692
3.0,0.035,0.6394038443647234,-1.3491028461197856,-1.4816953709989154,0.13259252487912976,0.01,0.9950620581014338,-23.714012861783118,-33.57288290157625,9.858870039793132,0.02,0.9322227435612623,-12.00218925566513,-12.00218925566513,0.0,0.03,0.4092747409526972,-5.672451868389658,-57.81686679915686,52.144414930767205
4.0,0.0925,0.49635150301653697,-0.4736431111204742,-6.741547874994351,6.267904763873878,0.09,0.5863810281614829,0.2143108207711977,-21.5159871003669,21.730297921138096,0.0975,0.26040685584019196,0.9895575673117984,-16.16807314852608,17.15763071583788,0.05,-0.009946988782645378,-1.1966902301138613,-27.527084124356573,26.33039389424271
5.0,0.1,0.5970087207046141,0.0,-7.478122014781297,7.478122014781297,0.1075,0.9095210434369403,1.2058487235573372,-9.866623026566208,11.072471750123544,0.105,0.5217989981426576,1.485166978000515,-17.54866957805828,19.033836556058795,0.1125,0.09210854227874045,2.134797469983928,-24.659814256479642,26.79461172646357
6.0,0.1,0.8021073505471835,0.0,-15.33593683070901,15.33593683070901,0.0975,0.970822875207001,-0.43209624941717323,-13.92831558426579,13.496219334848618,0.11,0.6291822025083876,0.595013249176825,-6.447931921367224,7.042945170544049,0.0775,-0.002531352615050896,-1.6450316554594893,-27.798893093311904,26.153861437852413
7.0,0.1,0.5478734226431097,0.0,-11.425269473520608,11.425269473520608,0.08,0.9522022554940047,-1.6493053106202415,-14.46503775571379,12.815732445093548,0.115,0.6219301938657509,0.9586333586623066,-10.33534216739897,11.293975526061276,0.1175,0.005046821247595258,2.4331427864500066,-21.16879095203155,23.601933738481556
8.0,0.0975,0.41358829166481315,-0.005568303095362482,-13.675441715365025,13.669873412269663,0.0475,0.820132947321559,-5.439470363380626,-33.54122915582268,28.10175879244205,0.095,0.48064297817875434,0.4240679661769325,-28.5476927229319,28.97176068910883,0.075,-0.1201531093171271,-1.5952595408907104,-38.94782709556936,37.35256755467865
9.0,0.09,0.031091340899830032,-1.0263644850352263,-8.315385877009355,7.289021391974129,0.03,0.8440463942686258,-10.859505765876957,-27.968726289773088,17.10922052389613,0.08,0.14331678758823405,-0.5761165052659939,-20.962090993076433,20.38597448781044,0.095,-0.33027508172900943,0.19179814117471333,-10.460961778066345,10.652759919241058
10.0,0.075,0.16775727961369016,-2.2978935548162323,-9.497742997568123,7.199849442751891,0.0125,0.6339321785485991,-19.568393950455473,-23.98071142022208,4.412317469766606,0.0575,0.48766712551836294,-5.168017932948922,-31.196281747575206,26.028263814626285,0.06,-0.2561920541242039,-4.099030336536852,-26.37173423406049,22.272703897523638
11.0,0.0925,0.7670758991013675,-0.5303734507493016,-5.6353727446674515,5.10499929391815,0.03,0.8166157207745088,-9.879107484389387,-11.28470054782159,1.4055930634322031,0.0875,0.736617623650043,-0.8821152081580852,-12.421436030988069,11.539320822829984,0.0475,-0.006778644918669558,-6.833333662268552,-19.38089864897268,12.547564986704128
12.0,0.1,0.8878343053091825,-0.0002650763603796191,-7.726806974779815,7.726541898419435,0.0825,0.9952036961050026,-1.4769884369377508,-10.104414309789252,8.627425872851502,0.06,0.6026172633036283,-3.9153123877429103,-17.05100362578943,13.13569123804652,0.0425,0.021168115308082987,-7.08423864739983,-18.689958444419894,11.605719797020065
13.0,0.1,0.956942559053397,-0.34858014755038386,-25.408621284439295,25.060041136888913,0.085,0.9974700619218007,-1.5416776802605916,-3.283495168513983,1.7418174882533914,0.04,0.20717487008033297,-7.933025322743355,-24.716169626128924,16.78314430338557,0.03,-0.0687122804003271,-10.541549919059275,-30.260017428817946,19.71846750975867
14.0,0.065,0.8369348653669031,-3.6287749239673768,-35.37631472044278,31.7475397964754,0.0725,0.9934758885610994,-2.712836613009191,-16.99398368338963,14.281147070380438,0.03,0.20365219933082934,-10.330514885092173,-14.660210275146168,4.329695390053995,0.02,-0.035266117839959345,-14.107606802221193,-26.769210200159826,12.661603397938633
15.0,0.0475,0.5191209950410192,-6.291441784213844,-18.051203313444663,11.759761529230818,0.015,0.9521789836303892,-17.0274459586872,-32.334054253281316,15.306608294594117,0.0375,0.47125030372057325,-8.014500966205704,-25.2303715409594,17.215870574753694,0.0275,0.36134075081239186,-11.531856198788457,-20.69465021242506,9.162794013636603
16.0,0.055,0.39395789294624606,-5.1242906552196885,-38.074532539047524,32.950241883827836,0.005,0.5516675521022125,-26.82281768583571,-61.56386443842014,34.74104675258443,0.055,0.43931900433421944,-5.017928339267611,-27.7611456624011,22.743217323133486,0.025,0.2112764294151266,-12.113993929342117,-21.000972394782323,8.886978465440206
17.0,0.055,0.3419268901819602,-3.837769429937026,-36.39936516939041,32.56159573945338,0.005,0.7436507337116403,-29.99959859724799,-46.302526424558046,16.302927827310057,0.04,0.4762483584017085,-7.003160846563157,-21.651254182266356,14.6480933357032,0.025,-0.11079572895269121,-12.423235552072816,-46.73355153711013,34.31031598503731
18.0,0.0975,0.8597868391875018,-0.2653742328095317,-10.240649795150482,9.97527556234095,0.01,0.9324643181980391,-21.200372469384952,-25.543013706495586,4.342641237110634,0.085,0.8834487130482779,-1.4025705438675602,-4.815873699888723,3.4133031560211626,0.03,0.2647946787736621,-10.444186022244912,-33.66347318277622,23.21928716053131
19.0,0.09,0.9176983405043502,-0.14918420280053074,-23.346797329589602,23.197613126789072,0.015,0.9828787890133253,-16.653215176395374,-32.616946004748876,15.963730828353501,0.08,0.9402231422248643,-0.9983032200563009,-25.558959836111544,24.560656616055244,0.0275,0.5379971505469107,-10.798757701694008,-31.097480195704705,20.298722494010697
20.0,0.0325,0.47341869242577167,-9.00487613810812,-35.69335318586658,26.688477047758457,0.005,0.9261153037112752,-26.091432369799705,-38.55276340947939,12.461331039679685,0.0275,0.5356643491907157,-11.374373435456405,-34.96856308875972,23.594189653303317,0.015,-0.20079957709275842,-18.21205637044088,-33.48837124850021,15.276314878059328
21.0,0.0275,0.3690090201038776,-11.28419169270755,-26.575521349199455,15.291329656491905,0.005,0.6897835254768339,-37.199880869183424,-65.31322274997916,28.113341880795737,0.0225,0.42535178606779156,-13.41435023216647,-25.982349631903773,12.567999399737303,0.01,-0.006320873373555197,-20.740193022533102,-40.40438055796425,19.66418753543115
22.0,0.0225,0.4380380038010305,-13.5926516133249,-31.42922119771892,17.83656958439402,0.005,0.7274918549865294,-35.47914309815544,-44.50243039457557,9.02328729642013,0.02,0.4543849948895286,-14.699461152763531,-35.62342534363195,20.923964190868418,0.0075,0.1380395792732031,-23.13037247116877,-41.58592702256019,18.455554551391423
23.0,0.0175,0.3277142726597915,-15.71922331560313,-31.690018075843895,15.970794760240764,0.005,0.733707087452201,-34.13873398947486,-62.16821769954447,28.029483710069613,0.015,0.3591872674420549,-17.231232364628898,-46.327593644470085,29.096361279841187,0.01,-0.03227245549362172,-24.693576151446905,-38.87235326351651,14.178777112069604
24.0,0.0175,0.250677444724332,-16.28627737734383,-29.560468740381882,13.274191363038053,0.005,0.8313288719038334,-39.51028196387063,-39.934699504301456,0.4244175404308237,0.015,0.2764835341447186,-17.481107511763835,-36.39891151403671,18.917804002272877,0.01,0.057034719675616984,-24.015134213375006,-25.403567247209104,1.3884330338340973
