,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.005,nan,-84.28839878591472,-90.30899869919435,6.020599913279625,0.005,nan,-95.75777824755995,-104.09790488447251,8.340126636912558,0.005,nan,-94.25505236574583,-98.46173485115686,4.2066824854110365,0.005,nan,-89.15563243430086,-101.12686709628194,11.971234661981086
4.0,0.005,nan,-84.28839878591472,-90.30899869919435,6.020599913279625,0.005,nan,-99.24506251101266,-115.07923186972005,15.834169358707385,0.005,nan,-95.85550981064088,-125.45742650788875,29.601916697247873,0.005,nan,-88.31071206867097,-102.86428913081492,14.553577062143958
5.0,0.005,0.17974063669292423,-84.28839878591472,-84.28839878591472,0.0,0.005,-0.2961298904659954,-99.99169097762446,-108.0603563792453,8.068665401620848,0.005,-0.03797892841619176,-95.54156216522105,-109.87689104949168,14.335328884270623,0.005,0.01653349384677401,-89.76873180514946,-110.44207293018917,20.673341125039713
6.0,0.005,0.03639240586266047,-84.28839878591472,-90.30899869919435,6.020599913279625,0.005,-0.0406040402905818,-98.43451481236755,-108.07949116374006,9.644976351372506,0.005,0.025008341650663523,-95.67781287080192,-104.14817045190713,8.470357581105219,0.005,-0.023588387840960432,-88.7385174721892,-126.44559938740397,37.70708191521477
7.0,0.005,0.9956273477489844,-35.77445451866291,-36.885541844892686,1.1110873262297787,0.005,0.9739815631292792,-52.12073301417604,-55.22818912734916,3.1074561131731215,0.005,0.9983543444531133,-35.36692927298851,-52.51794433485046,17.151015061861955,0.005,0.909747516822478,-57.74077967167478,-74.93883636769907,17.198056696024288
8.0,0.005,0.9991120222594795,-26.598155602106853,-46.17248117855736,19.57432557645051,0.005,0.9971224862150441,-42.39193170821384,-42.753259441523916,0.36132773331007684,0.005,0.9993360170782962,-28.91159626812931,-42.3237662299691,13.412169961839794,0.005,0.9921194005628565,-45.15339195726594,-67.69346871086952,22.540076753603586
9.0,0.005,0.9987572423780117,-27.312304764878657,-54.891958466351475,27.579653701472818,0.005,0.9974084047529778,-42.43420594804016,-67.13019349508238,24.695987547042222,0.005,0.999033296904785,-30.142934058191948,-54.390467519189286,24.24753346099734,0.005,0.9927229680773673,-45.15970897139609,-66.74911562107413,21.589406649678033
10.0,0.005,0.9950723052810542,-34.559789208826054,-58.26779887263511,23.708009663809058,0.005,0.9955628046618846,-42.444238895227144,-53.50141063366709,11.057171738439948,0.005,0.995811306348517,-37.79981102670903,-58.83771009474941,21.03789906804038,0.005,0.9216147091429601,-58.379572505754794,-80.12857257927155,21.749000073516754
11.0,0.005,0.9986279259869734,-27.734553012425817,-45.251938079596485,17.517385067170668,0.005,0.9980461966936518,-38.69521297830695,-49.931101053422644,11.235888075115696,0.005,0.999201373578199,-30.292116959796648,-39.25224445384236,8.960127494045711,0.005,0.9972551680043176,-38.45822348444679,-56.828559556493865,18.370336072047074
12.0,0.005,0.9989278113557821,-27.657401745999618,-45.54807663661845,17.89067489061883,0.005,0.9991915558163836,-37.27978155085138,-40.62441346040085,3.34463190954947,0.005,0.9992300654887037,-30.84754293899138,-44.53110769518139,13.683564756190009,0.005,0.9963188560380137,-39.46100446009817,-75.79746772060248,36.33646326050432
13.0,0.005,0.9975318389324177,-32.15002826694891,-47.83196587985263,15.681937612903724,0.005,0.9985852295592571,-38.55616179554267,-41.30995590402638,2.75379410848371,0.005,0.9981742195551014,-36.89902535560132,-49.534771337854025,12.635745982252708,0.005,0.9958884587443121,-36.080334796750584,-40.642678754545756,4.562343957795171
14.0,0.005,0.9970470948055357,-34.363647882580025,-56.505077098624085,22.14142921604406,0.005,0.9973080005435406,-41.356795754947065,-44.41423299527675,3.0574372403296834,0.005,0.9978545163561312,-37.90939458618605,-50.97827003795331,13.068875451767255,0.005,0.9972448918203681,-35.480850462910105,-55.0501139622677,19.569263499357596
