,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.01,0.9941973342566346,-20.495785632071623,-33.29607399553303,12.800288363461405,0.005,0.9976539039332492,-58.41430073693863,-59.692374832474265,1.2780740955356364,0.01,0.9963689266761289,-20.63759013266397,-33.08723224792064,12.449642115256669,0.005,0.9916921319033002,-32.833183314747515,-72.9973602114531,40.164176896705584
5.0,0.0275,0.9774116115173312,-11.535602678740773,-13.728071962130704,2.192469283389931,0.02,0.9828334449264071,-15.82377418802422,-20.26600751104108,4.442233323016861,0.0225,0.9881969254478763,-13.383553617904976,-17.706637164366267,4.323083546461291,0.005,0.9877112614416431,-27.11652340407757,-73.16663922216647,46.0501158180889
6.0,0.0275,0.9726121392894791,-11.59784579733408,-37.09168913911697,25.493843341782892,0.0125,0.9601671952066843,-16.736678514167217,-27.15722464919072,10.420546135023503,0.0175,0.9903863657149851,-16.19481525110884,-24.223542487893894,8.028727236785056,0.005,0.9552368111947991,-28.55857871967297,-82.55599252030508,53.99741380063212
7.0,0.02,0.9743596119911742,-14.274066314805154,-43.15030175918528,28.87623544438013,0.01,0.9525779988061885,-20.67043326667538,-26.657566872993208,5.987133606317826,0.015,0.9903805859197511,-17.5655949043179,-30.84623926781669,13.280644363498787,0.005,0.9860996678055496,-38.964317734506814,-45.33893849414062,6.374620759633807
8.0,0.0175,0.9874653550273286,-16.179763946567263,-36.55841947490166,20.3786555283344,0.0075,0.9734655878364996,-24.27809158400549,-31.95017082021506,7.672079236209569,0.015,0.9913161950591199,-18.540822540109826,-45.63247866650168,27.091656126391857,0.0075,0.9508319934427562,-25.043058106916178,-47.03922581438803,21.996167707471855
9.0,0.0075,0.978841550220366,-24.375694893963733,-36.793431865712655,12.417736971748923,0.005,0.9732610126054723,-31.989895199496626,-39.371778356339455,7.381883156842829,0.005,0.9914818288203864,-26.71164855432853,-33.34495954135527,6.633310987026743,0.005,0.9235920554058559,-35.68871893189106,-70.05115255903246,34.3624336271414
10.0,0.005,0.9748638105191524,-30.555673400668866,-43.342901438231145,12.78722803756228,0.005,0.9752128936082345,-39.43902393823316,-43.63757308582532,4.198549147592161,0.005,0.9882424282395544,-32.33114716673101,-43.73801432158034,11.40686715484933,0.005,0.8342962320022492,-34.95968780583769,-57.206843134200525,22.247155328362837
11.0,0.005,0.9782917441112527,-31.41934525619098,-41.36583807234997,9.946492816158994,0.005,0.9735601877857608,-37.73128701786045,-47.327290176322634,9.596003158462182,0.005,0.9801512566922054,-34.42949398545587,-43.94057010453569,9.511076119079817,0.005,0.9129257999629605,-42.70906211101314,-54.39657730226594,11.6875151912528
12.0,0.005,0.9190419388826322,-29.386902954273584,-39.91243882367998,10.525535869406394,0.005,0.9240297881536853,-37.066665756563616,-50.21570117055154,13.149035413987924,0.005,0.9718222792582193,-34.7922357538267,-37.588839887617596,2.7966041337908933,0.005,0.7948444592457716,-32.29814314838093,-58.223403596009,25.92526044762807
13.0,0.005,0.9459786825857018,-32.04332066398599,-76.32959861247397,44.286277948487985,0.005,0.8786538336643274,-41.787826684212355,-49.45452739224333,7.666700708030973,0.005,0.951368774314796,-35.81725205508276,-42.36033352956625,6.543081474483486,0.005,0.8872086588695103,-43.7245868606961,-62.92802578859351,19.20343892789741
14.0,0.005,0.9285732907832371,-36.243171136821125,-46.96265200423083,10.719480867409708,0.005,0.9314104587434865,-44.47845564188193,-50.5321329040109,6.053677262128971,0.005,0.9439918612480868,-39.37352362529124,-55.61008864645438,16.236565021163138,0.005,0.8521265863307369,-45.68221798390865,-53.968084095872456,8.285866111963806
