,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
8.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
9.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
10.0,0.005,0.7068548412844932,-89.33824176277813,-133.97940008672037,44.64115832394225,0.005,0.9999515404588539,-100.79628551574123,-104.489885731155,3.693600215413767,0.005,0.7270107155923055,-99.2458506532791,-105.67083142888549,6.424980775606386,0.005,-0.072507629820281,-91.82252407296568,-133.97940008672037,42.1568760137547
11.0,0.005,0.250248742466881,-33.98028934760937,-38.941681523598426,4.9613921759890545,0.005,0.2308990090275538,-38.02237930266958,-56.31819083941798,18.295811536748403,0.005,-0.7469775697908015,-48.076850554683055,-91.77129222530469,43.694441670621636,0.005,0.428854348144713,-62.71456800044491,-74.21435389054385,11.499785890098934
12.0,0.025,0.9312295464048201,-13.532538132144019,-33.187541368706306,19.655003236562287,0.005,0.9390887472801734,-28.84374840505698,-44.344983121534575,15.501234716477594,0.0225,0.9654629623165941,-13.896758982511031,-27.189963034461645,13.293204051950614,0.01,0.8500946305187856,-21.525164404371694,-43.07709764693931,21.551933242567614
13.0,0.0575,0.9414061853361578,-4.944979727824644,-20.90945354505141,15.964473817226764,0.045,0.9795114511902787,-6.896454977945963,-13.579429473739788,6.682974495793825,0.035,0.8868894490790364,-9.016541564736325,-31.353375146216813,22.336833581480487,0.005,0.6662427274112048,-29.43605147727022,-80.21769411128253,50.78164263401231
14.0,0.05,0.8381408765425797,-6.175215442905734,-6.521169846441946,0.3459544035362123,0.035,0.9035411814481888,-8.986503647051872,-12.557332183683341,3.5708285366314687,0.0325,0.6967413594097914,-10.197719412245227,-15.595703011356566,5.397983599111338,0.005,0.5178078734461338,-29.12662603042841,-44.05696975832594,14.93034372789753
15.0,0.05,0.8478556452947431,-6.494208033455568,-63.31764147911936,56.823433445663795,0.0375,0.8935582757750345,-8.964654430629835,-28.48328554540086,19.518631114771026,0.03,0.6590054733883289,-10.48575650008858,-23.743094590574092,13.257338090485511,0.005,0.1991078982987425,-30.312429208348306,-54.12182433301554,23.809395124667233
