,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.8052056183170686,-40.73766878731749,-52.24719895935549,11.509530172037998,0.005,0.5998318152110427,-61.23026415012377,-64.79507900024863,3.5648148501248613,0.005,0.8254160559127235,-43.72428155580772,-58.304869879815904,14.580588324008183,0.005,0.8014408001127074,-47.60224529384614,-72.72866375140437,25.12641845755823
1.0,0.005,0.8429189544848303,-41.00134167022599,-56.32959861247397,15.328256942247982,0.005,0.7276238921534067,-60.696617766911615,-67.01303845738087,6.316420690469258,0.005,0.8736295334960569,-44.823011423315336,-74.98921760188031,30.166206178564977,0.005,0.8052127004223928,-50.422997000975656,-58.73175837177697,8.308761370801314
2.0,0.005,0.8736105931137125,-36.86704154048001,-44.59785251903888,7.730810978558871,0.005,0.7110919282186352,-60.579803589764566,-71.08348469686051,10.503681107095943,0.005,0.883621807475907,-38.83414400369554,-51.31484762931577,12.48070362562023,0.005,0.8414586664253858,-43.69838401660242,-59.157191259857846,15.458807243255428
3.0,0.005,0.6560194877038774,-35.407502867553205,-63.86461280451597,28.457109936962766,0.005,0.5587181456861381,-53.18758842824871,-55.57530569882267,2.387717270573958,0.005,0.6770701979609491,-36.67987557183472,-43.71229902619281,7.032423454358089,0.005,0.7054426128923931,-43.71721727554149,-52.61898068534936,8.901763409807863
4.0,0.005,0.5823249437998751,-35.85632024851811,-41.81136596657302,5.955045718054912,0.005,0.003866744967417165,-55.60746340413438,-68.42519303221734,12.817729628082958,0.005,0.5808043177100269,-39.18564583099841,-46.269079464670966,7.083433633672556,0.005,0.6928153901150707,-43.0749244529034,-50.61472836043361,7.539803907530207
5.0,0.005,0.7094472914696532,-36.08973631928884,-65.20354859712823,29.113812277839394,0.005,0.6014529678546099,-57.03236816208162,-64.70562353393079,7.673255371849173,0.005,0.723418134286385,-38.12133001430683,-56.45652521024672,18.33519519593989,0.005,0.77048241718724,-42.82266581900882,-53.26169725096403,10.439031431955215
6.0,0.005,0.767294260045388,-33.95769130799874,-54.891958466351475,20.934267158352732,0.005,0.6701970368943971,-56.23567129565181,-57.668018314197546,1.4323470185457339,0.005,0.7726555360210946,-34.53193974872986,-46.60594876367934,12.074009014949482,0.005,0.8505769705752716,-42.179080917589296,-51.48866627648157,9.30958535889227
7.0,0.005,0.7463606728785256,-36.05600466665013,-45.01264223900363,8.9566375723535,0.005,0.654280017317274,-57.74105074318367,-73.78419380214982,16.043143058966145,0.005,0.7681510838339844,-36.85384345759215,-45.65134214941351,8.79749869182136,0.005,0.75106787570394,-42.00583259349247,-56.85295892559033,14.847126332097858
8.0,0.005,0.7598089775953482,-36.63005608416411,-42.704773864962235,6.0747177807981245,0.005,0.8816741194632287,-55.363643466292075,-66.06621912963986,10.702575663347787,0.005,0.7555059182575108,-37.08221598003094,-41.019393833713195,3.9371778536822575,0.005,0.7101072645617086,-42.89721830853222,-56.1590022429335,13.26178393440128
9.0,0.005,0.7149187616523583,-36.612091466306104,-56.505077098624085,19.89298563231798,0.005,0.8746007709187514,-55.662188947264994,-60.90672872432238,5.244539777057383,0.005,0.6989355265129538,-37.74744719420721,-50.840684399370694,13.093237205163483,0.005,0.854341341022027,-41.89923340162973,-50.696399738696975,8.797166337067246
10.0,0.005,0.7864920772233251,-34.29465713354666,-41.68172341601461,7.387066282467956,0.005,0.9189403214452367,-56.21275688813994,-65.4257930418177,9.213036153677756,0.005,0.7774352455135283,-34.37327063122471,-39.328682371587114,4.9554117403624005,0.005,0.8104805270647593,-43.54837997307943,-53.90036538855321,10.351985415473784
11.0,0.005,0.7655482478594149,-35.02547605138774,-50.939339728115655,15.913863676727914,0.005,0.9603843440044121,-55.39891370996196,-84.31303056465707,28.91411685469511,0.005,0.7965735052542958,-35.86445368904847,-48.391341485805285,12.526887796756817,0.005,0.6744777435880723,-42.627465914483224,-88.02626135756196,45.39879544307874
12.0,0.005,0.822872721672878,-34.951046378832544,-48.945281464271126,13.994235085438582,0.005,0.9235962061424517,-56.21028760059002,-71.30613013892253,15.095842538332505,0.005,0.8227432090238224,-37.103246731249946,-43.287240158241445,6.183993426991499,0.005,0.8281627452074397,-39.64790882471179,-61.55042396268159,21.9025151379698
13.0,0.005,0.7546687088562062,-35.741923058769785,-55.34523815907035,19.603315100300563,0.005,0.9224808455495247,-57.36326610700885,-59.07043818691989,1.7071720799110395,0.005,0.7549993840482754,-36.59654586671059,-50.759841082638786,14.163295215928194,0.005,0.7977138034604718,-42.17076446290385,-69.46411370241853,27.293349239514683
14.0,0.005,0.716169152647487,-33.6205846255637,-41.61762061851039,7.997035992946685,0.005,0.9454549541407066,-55.66866653104409,-74.86164592831246,19.192979397268367,0.005,0.7071041690112092,-33.83375255317523,-67.59385551721752,33.76010296404229,0.005,0.756902281268113,-40.10289277243109,-53.87601464597537,13.773121873544277
15.0,0.005,0.7584617951150694,-32.65850794009675,-43.539868827102254,10.881360887005506,0.005,0.8903352216866104,-57.76818934886896,-64.89632197063558,7.128132621766625,0.005,0.7743655455637307,-33.61967137966802,-46.18277274647048,12.563101366802456,0.005,0.7467179419667308,-39.478164174539835,-59.45586988295835,19.97770570841852
16.0,0.005,0.6398508248475151,-29.968331913218748,-45.39874534291136,15.430413429692614,0.005,0.8677085636264759,-53.51637467956107,-67.03373851209385,13.51736383253278,0.005,0.6268045530753736,-30.327566351644904,-46.03388267263156,15.706316320986659,0.005,0.6860358879619893,-38.475109153831774,-52.05601333666592,13.580904182834146
17.0,0.005,0.5713924643847671,-32.02213555680554,-56.86704154048,24.844905983674465,0.005,0.8811070069682445,-54.18954766768938,-70.5004495330302,16.310901865340824,0.005,0.6155264861600382,-34.34068250866482,-56.29707706366979,21.95639455500497,0.005,0.4074660135811937,-37.72630687740175,-45.10205195077498,7.375745073373231
18.0,0.005,0.48581568390452967,-32.4005477784062,-49.247429829525956,16.846882051119756,0.005,0.8663246269940464,-50.770507464363924,-62.98430392990409,12.213796465540163,0.005,0.4253728484619973,-35.65503875519778,-50.54554654201893,14.890507786821154,0.005,0.7222934696309401,-37.99656701182977,-61.22344059468912,23.226873582859355
19.0,0.005,0.6514280345405661,-31.478770046506295,-41.942972872799444,10.46420282629315,0.005,0.8146619623484835,-49.282138724780324,-71.23213710456614,21.94999837978581,0.005,0.6338231467220606,-34.05279904055084,-57.216447499543186,23.16364845899235,0.005,0.6835235346288401,-38.03639508096002,-50.94417253026449,12.907777449304469
20.0,0.005,0.6241533004183775,-32.61309142021474,-50.663574038402984,18.050482618188248,0.005,0.8160952070314156,-51.488929528873555,-58.900672510519705,7.4117429816461495,0.005,0.622202184501181,-35.43455524003879,-67.93475830714105,32.50020306710226,0.005,0.7034094010319879,-35.08565326248771,-51.98274511961692,16.89709185712921
