,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.49743995539764413,-63.46054508275023,-73.40703789890921,9.94649281615898,0.005,0.9996504251449028,-104.34620933525017,-117.72237249611501,13.376163160864849,0.005,0.4981469620093727,-98.23281212123774,-123.32854048057924,25.095728359341493,0.005,0.1391226682881405,-88.89681754508645,-98.595661894926,9.698844349839547
1.0,0.005,0.4998455936957105,-63.46054508275023,-73.40703789890921,9.94649281615898,0.005,0.9641678486603611,-103.9140467031241,-105.49083552671688,1.5767888235927785,0.005,0.02838397081254012,-102.92160189665191,-116.70424738844694,13.782645491795037,0.005,0.28349174026372786,-91.77580711852487,-98.92711068710415,7.15130356857928
2.0,0.005,0.585002235209901,-61.06103874121523,-68.03013165305762,6.969092911842395,0.005,0.991936988351392,-83.225710087457,-85.18086411596359,1.955154028506584,0.005,0.5558496020635936,-94.60645645136896,-99.46483159103519,4.8583751396662365,0.005,0.370252297106638,-89.50437855891742,-105.40051060145731,15.89613204253989
3.0,0.005,0.9888227884358691,-49.64052358945536,-51.619029674323,1.9785060848676395,0.005,0.9975435045863063,-56.72891563173696,-56.72891563173696,0.0,0.005,0.8837865157763576,-66.32773465952444,-71.1208757586428,4.793141099118358,0.005,0.673912800332027,-66.16686885377719,-82.15509921851287,15.988230364735685
4.0,0.1,0.9984282432448485,0.0,-5.752806617690046,5.752806617690046,0.0725,0.9992589227061732,-2.0368065163456244,-15.180278268301088,13.143471751955463,0.0825,0.9974587786794833,0.8658287372057383,-25.266685108999106,26.132513846204844,0.0375,0.9853497998158283,-9.069992481310377,-42.665568599438686,33.59557611812831
5.0,0.0725,0.9986974251492707,-2.229096793920744,-15.577881755941638,13.348784962020893,0.0675,0.9990603740911196,-3.696547945260628,-6.718346365535792,3.0217984202751644,0.035,0.9986732492268218,-8.95630890320981,-24.709052384064186,15.752743480854376,0.005,0.9863575741581687,-35.471744263263396,-46.84722180462848,11.375477541365086
6.0,0.065,0.9988180743705065,-3.1896295461221373,-28.588924586826717,25.39929504070458,0.0625,0.9987226995518462,-3.624462691445535,-12.497171680691277,8.872708989245742,0.015,0.9991250293303238,-16.753643552523062,-39.6454039831461,22.89176043062304,0.01,0.9933801008632532,-23.854564017665304,-31.812295311858612,7.957731294193309
7.0,0.055,0.9980777407822151,-5.6694181625642734,-9.25435055112999,3.5849323885657167,0.035,0.9986877129739669,-8.273928361852455,-31.450629968961067,23.176701607108612,0.02,0.9979924885422929,-14.679137287241325,-24.6092685064244,9.930131219183075,0.02,0.9930681170121628,-14.516739239392862,-27.367916718248168,12.851177478855305
8.0,0.05,0.9975404053206408,-5.509502676855603,-8.407007106282084,2.8975044294264807,0.045,0.9980498776652459,-7.703768507007316,-41.39711785265803,33.69334934565071,0.015,0.9987541590006023,-16.66953354844949,-28.962821977211036,12.293288428761546,0.015,0.9930697615302183,-17.69375802402141,-45.53730108959716,27.843543065575748
9.0,0.0425,0.9981792350501548,-6.96383383832179,-26.897897528770187,19.934063690448397,0.0375,0.9980003819087199,-8.975204973424644,-18.259539465522156,9.284334492097512,0.015,0.9989127559851472,-16.005914245359875,-52.10690489715329,36.10099065179342,0.01,0.9946969118218664,-21.457559655575622,-45.23564890590367,23.77808925032805
