,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.05,0.7780905469304356,-5.850129631143147,-21.363771511496893,15.513641880353745,0.03,0.9985414673327293,-11.060370156547112,-29.486172808038702,18.42580265149159,0.035,0.5960858164374003,-9.45908003566553,-18.284368934344478,8.825288898678949,0.01,0.3835605140439203,-23.2638149625064,-81.62753861060057,58.363723648094165
5.0,0.045,0.9434657070401239,-7.087068447335657,-13.217657174170155,6.130588726834498,0.0275,0.9994450619835277,-11.955305061271353,-20.893100103521284,8.937795042249931,0.0375,0.9225171028145365,-8.77794588805039,-12.71335856250717,3.9354126744567797,0.015,0.5313346368154285,-18.31357573666915,-33.14359943981509,14.83002370314594
6.0,0.0625,0.8971320217694901,-4.16424491425668,-18.66556505722383,14.501320142967149,0.0275,0.9989452406020126,-11.903118754583167,-21.740532151735632,9.837413397152465,0.0425,0.8732791525061536,-7.915034502879623,-21.989625554563112,14.07459105168349,0.0225,0.5333331505990367,-13.185773121558482,-39.59297541771858,26.407202296160094
7.0,0.055,0.9356899041173002,-4.984645982095567,-26.98088140798493,21.996235425889363,0.03,0.998653699888783,-11.345693700209008,-13.821645378229091,2.475951678020083,0.0375,0.9415067334042576,-9.028162993688724,-31.436803145489286,22.40864015180056,0.0225,0.4379268678352523,-13.03862347559767,-35.74484077728361,22.706217301685943
8.0,0.0575,0.965329727530964,-3.942122434708267,-15.025017638936113,11.082895204227846,0.03,0.9993034337759567,-10.823773467120468,-18.55228023337229,7.728506766251822,0.04,0.9617778981118934,-8.701316291074448,-36.64447604431811,27.943159753243663,0.015,0.4609223942486631,-16.632734997773465,-29.182589284320997,12.549854286547532
9.0,0.055,0.9730179079446287,-4.667555455288221,-29.45542771555564,24.78787226026742,0.03,0.9995129949897635,-11.027420596363264,-13.470687304984228,2.443266708620964,0.0375,0.9707453874018165,-8.93379961371682,-17.09993226601558,8.166132652298758,0.015,0.4315441157316661,-17.593537427839387,-28.134242938246004,10.540705510406617
10.0,0.0525,0.9783723348190284,-5.024261557667039,-14.417385605822519,9.39312404815548,0.0325,0.9995820565355964,-10.08555312786491,-13.175079850392677,3.0895267225277667,0.0325,0.9773978436833944,-10.02122145350947,-17.464054451440333,7.4428329979308625,0.015,0.4787612677550149,-18.264484402041298,-43.81669819820782,25.55221379616652
11.0,0.05,0.9584082049786797,-5.261344797795847,-11.65457712802544,6.393232330229593,0.0325,0.9872116476916042,-10.235320950979085,-17.51234382416722,7.277022873188136,0.0375,0.9438495838784741,-9.037077700928585,-45.50433269191326,36.46725499098468,0.015,0.43718983485074997,-18.22694713287795,-32.46372252639318,14.236775393515227
12.0,0.0575,0.8920375727166611,-4.13490984016541,-13.028210661926149,8.89330082176074,0.0325,0.9495795196288709,-10.418974774774895,-11.914822361616102,1.4958475868412062,0.0325,0.8002445697662603,-10.032918999043915,-35.3355299937767,25.302610994732788,0.015,0.3600791195803217,-18.830911482020035,-30.87316109775078,12.042249615730746
13.0,0.055,0.8570964688276658,-5.823544730791388,-12.592727896029137,6.769183165237749,0.035,0.93121466093709,-9.922225953953676,-18.88594608696941,8.963720133015732,0.03,0.7593275924108503,-9.882018946454455,-16.2147219896205,6.332703043166045,0.015,0.22958955938243292,-19.55923188940055,-33.60804421089041,14.048812321489862
14.0,0.05,0.8219963347100573,-5.474938393613264,-22.54997384320631,17.075035449593045,0.035,0.8822963883289575,-9.840402561543375,-10.831678852879499,0.9912762913361242,0.0275,0.7721746597994078,-10.478252217649835,-27.727355406298177,17.24910318864834,0.015,0.2506923938287121,-19.145662417593886,-23.13165479455478,3.985992376960894
