,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.005,0.3288946071141611,-76.32959861247397,-84.28839878591472,7.95880017344075,0.005,0.8988579455560204,-93.36593899561595,-103.40719144074002,10.041252445124073,0.005,0.2943461143168446,-88.3798530496492,-99.09244855156294,10.71259550191374,0.005,0.08405385556477359,-80.86042370957983,-96.70178190464486,15.841358195065027
3.0,0.005,0.04161227080929136,-76.32959861247397,-84.28839878591472,7.95880017344075,0.005,0.232220362937258,-95.21781233919866,-111.175594683791,15.957782344592346,0.005,-0.03028907216407429,-86.495262023479,-104.0442770680039,17.549015044524893,0.005,0.0823646794696724,-82.61999325970609,-103.98935592683904,21.369362667132947
4.0,0.005,0.5025593269363673,-68.03013165305762,-69.48114499602985,1.4510133429722316,0.005,0.7253104196521554,-89.8170090913731,-91.81103389336545,1.994024801992353,0.005,0.6504896834920443,-78.45617208851567,-78.80360585331127,0.3474337647955963,0.005,0.2264496271654615,-79.88935589594166,-84.74280639372435,4.8534504977826884
5.0,0.0375,0.9964388473130146,-9.090511305404746,-35.145906259846555,26.05539495444181,0.005,0.9942610024003048,-33.11735411141517,-33.17356077094755,0.05620665953238557,0.025,0.9975904486797365,-12.158838352113099,-22.54552093097538,10.38668257886228,0.03,0.9967205860248498,-10.273933343634464,-39.38115142998087,29.107218086346403
6.0,0.055,0.9961263427750238,-5.581780938935874,-37.579240772127044,31.99745983319117,0.005,0.9909651096040039,-33.18948820828455,-34.33944144206074,1.1499532337761877,0.0325,0.9966309998963165,-9.803774829721156,-31.785052431976126,21.98127760225497,0.04,0.9964794769741289,-8.212767163304468,-27.667104225583714,19.454337062279244
7.0,0.0475,0.9958360700220165,-6.59645598569637,-16.04086805584054,9.444412070144171,0.005,0.9903630953643996,-33.05648236764709,-61.755952170682534,28.69946980303544,0.0325,0.9965031736846368,-9.752047056602182,-27.371089041657623,17.61904198505544,0.0325,0.9961101078604464,-10.409828445994933,-22.251403246577656,11.841574800582723
8.0,0.045,0.996177632863046,-7.065479968591106,-15.802202380999615,8.73672241240851,0.005,0.9903853233265982,-31.06116335356271,-41.826382697090125,10.765219343527416,0.0325,0.9969813317221354,-10.122835538793947,-48.94502582651108,38.822190287717135,0.0275,0.996233132155875,-11.352671704478736,-16.6346499552792,5.281978250800465
9.0,0.0375,0.9936226959433678,-8.738412394107433,-31.782149766681258,23.043737372573823,0.005,0.9902807140907499,-32.9793175254286,-38.60034382704056,5.621026301611963,0.025,0.9949406839234196,-13.089961013317238,-25.38147260194271,12.291511588625474,0.025,0.9939987237679817,-12.223421336529004,-28.362177345067003,16.138756008538
10.0,0.0225,0.985124212686293,-12.69958684311879,-28.87135855307185,16.17177170995306,0.005,0.9890940219202428,-36.058074829649044,-45.22431368700104,9.166238857351999,0.0175,0.9863416565178732,-16.01905113915811,-45.57461450530343,29.55556336614532,0.0175,0.9850260514710508,-15.970551301743788,-38.60409132416858,22.63354002242479
11.0,0.01,0.9432278431070198,-23.77818532886312,-36.540602259140144,12.762416930277023,0.005,0.9912735488452112,-34.58289873042745,-34.80013584666463,0.2172371162371789,0.005,0.8716945636359741,-29.948065996637574,-48.06910128782785,18.121035291190275,0.01,0.9613417595247323,-25.11509021802107,-36.43774708721571,11.322656869194642
12.0,0.055,0.9936783821038001,-5.618653028940626,-34.559789208826054,28.941136179885426,0.005,0.9930937215780558,-31.74385015800034,-34.03092358803869,2.287073430038351,0.03,0.9940558997308331,-9.833327875684772,-33.593232772675776,23.759904896991003,0.04,0.9958747012509748,-8.192256977518252,-47.640687651823285,39.44843067430503
13.0,0.0325,0.9915675869043586,-9.729444595018798,-55.66112350273499,45.93167890771619,0.005,0.9920912760488663,-33.97279786104163,-48.8445180332303,14.871720172188674,0.0275,0.9939852798198368,-12.01196108136314,-24.12692216095084,12.114961079587701,0.02,0.9934603381092636,-13.986469870137189,-30.08361288834458,16.09714301820739
