,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0425,0.9999316279710697,-7.167119719252738,-12.655093451562415,5.487973732309677,0.015,0.9998649583761436,-17.1052734151079,-27.92301478492169,10.817741369813792,0.045,0.9999648381946741,-7.118668279668126,-13.032162562840723,5.9134942831725965,0.0225,0.9996161007517614,-12.968590671409654,-59.7931734609117,46.824582789502045
1.0,0.0375,0.9998445071975222,-8.089801076696794,-22.05642828830685,13.966627211610056,0.02,0.9998608806678333,-14.144043088303162,-15.084630547153228,0.9405874588500662,0.0375,0.9998278570622882,-8.572131631834296,-19.382313896082703,10.810182264248407,0.005,0.9963659943770135,-32.65461050198989,-49.6083610546539,16.953750552664005
2.0,0.03,0.9999792034743363,-10.851987582249755,-35.83988525849064,24.987897676240884,0.02,0.9999998989535555,-14.257891077337826,-18.90846850679805,4.650577429460226,0.025,0.9999629906574844,-13.018382400191808,-37.88433431583893,24.86595191564712,0.005,0.9986102470532114,-36.24293743109328,-55.0365133776845,18.79357594659122
3.0,0.025,0.9998908572548894,-12.33668875087064,-20.141098036533297,7.804409285662656,0.02,0.9999374421851802,-15.007664957527346,-27.067664565054066,12.05999960752672,0.015,0.999947696981556,-16.54739883126919,-23.681506546826007,7.134107715556816,0.005,0.9990765207335709,-32.78167934306692,-45.61477801785284,12.833098674785923
4.0,0.025,0.9999882931786914,-12.221180298947123,-15.174755495898925,2.9535751969518014,0.02,0.9999745018940656,-14.225979570206222,-51.7368736006783,37.51089403047208,0.015,0.9999733107339065,-16.73015120811,-27.549316853869744,10.819165645759742,0.005,0.999313249840282,-33.37857182728157,-53.66515172660371,20.286579899322142
5.0,0.0275,0.9999823030641082,-11.077729451952969,-17.555202316826332,6.477472864873363,0.02,0.9999979473743663,-14.66213414286739,-15.08876885571759,0.4266347128501984,0.02,0.9999627144679989,-14.737351426203702,-30.905248229873553,16.16789680366985,0.005,0.9981211251312883,-35.406573854662845,-52.598421839830635,17.19184798516779
6.0,0.0275,0.9999746383215967,-10.743561866981652,-17.254404777809405,6.510842910827753,0.02,0.9999998781810431,-15.11773900155549,-19.45115793348687,4.333418931931378,0.025,0.9999556433231872,-12.835097212387423,-69.20232078886824,56.36722357648081,0.005,0.9987303604172526,-33.975039640315416,-38.2796939763567,4.304654336041281
7.0,0.0225,0.9999528507165841,-12.201717323856512,-23.13888046938965,10.93716314553314,0.02,0.9999790415496328,-15.737721209741537,-22.7761722863441,7.038451076602563,0.015,0.9998867268450916,-16.576526098302487,-33.36947447029325,16.79294837199076,0.005,0.9992090025480534,-29.47097817886721,-38.44119801395631,8.9702198350891
8.0,0.025,0.9999829640117985,-11.949441047336194,-15.680446958175395,3.731005910839201,0.02,0.9999995477040926,-15.359687893228095,-22.96323061656192,7.603542723333824,0.015,0.9999244601083834,-18.24370270701258,-30.71283816087254,12.469135453859959,0.005,0.9995334175691487,-30.91468226982816,-55.5659116428913,24.651229373063142
9.0,0.0275,0.9998991575100871,-11.493689986570008,-39.01567741415257,27.521987427582562,0.0175,0.9999392544631591,-15.81703875230688,-20.196647031176653,4.379608278869773,0.02,0.9998889382694317,-14.280641754889409,-23.895235900310677,9.614594145421268,0.005,0.9994176646517868,-31.69222206354992,-44.58256063999819,12.890338576448272
