,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.005,0.042417144407309745,-67.3864379856296,-90.30899869919435,22.92256071356475,0.005,0.8757320029051255,-103.52703577368715,-133.97940008672037,30.45236431303323,0.005,0.2451946477454515,-94.72967796986764,-107.47408010162576,12.744402131758122,0.005,0.130450384987056,-90.34604338847919,-91.19126918138417,0.8452257929049836
7.0,0.0675,0.9629052549520942,-3.1172213068936827,-11.412438772330031,8.295217465436348,0.01,0.9583507769691583,-21.722146649253105,-32.000136486611915,10.27798983735881,0.0425,0.9773530676773889,-7.84713071480461,-50.86050756705401,43.013376852249394,0.06,0.9592063782959735,-4.274775206426734,-11.52329513981957,7.248519933392836
8.0,0.06,0.9002557264604125,-4.256320302918779,-39.25563437695049,34.99931407403171,0.0075,0.8145575361372426,-25.34667543755003,-36.51588321775329,11.169207780203262,0.035,0.9463025557004455,-9.70581042281093,-31.980433520726812,22.27462309791588,0.0525,0.8956483241958111,-5.511385010998149,-13.682638857972005,8.171253846973856
9.0,0.06,0.8593274907011923,-3.917301236992239,-10.208822285747015,6.291521048754776,0.005,0.8642779930535576,-31.11807446134001,-34.866188619099844,3.748114157759833,0.0275,0.8839209288457179,-11.223943830270573,-18.017170786677852,6.793226956407279,0.0525,0.8579469232364456,-6.010634351048708,-36.052865458798486,30.042231107749778
10.0,0.055,0.831126854108333,-5.380504401019475,-35.613002107417415,30.23249770639794,0.005,0.8871819725636158,-29.868357031449758,-45.613384521511435,15.745027490061677,0.0325,0.9209999822606235,-9.611447832631097,-40.98594878616416,31.37450095353306,0.0475,0.8269896616505298,-6.0944127854799435,-24.025375161540218,17.930962376060275
11.0,0.0375,0.7252289154977285,-8.48621562267926,-47.7669027318982,39.28068710921894,0.005,0.8550307247864953,-33.52419504515567,-58.04844012815973,24.52424508300406,0.015,0.8068179394973058,-16.727644151490047,-29.42043524270312,12.692791091213074,0.035,0.7182693730988361,-8.700063677953597,-43.24457113547919,34.5445074575256
12.0,0.0225,0.4649005431955626,-12.842586662886381,-33.697225325491466,20.854638662605083,0.005,0.003155561231385766,-47.09063747872689,-50.56074611994049,3.4701086412135993,0.01,0.32688861746940245,-20.927352476078134,-27.7927659987903,6.865413522712167,0.02,0.5306538342476601,-14.809816929490548,-46.36808753290322,31.55827060341267
13.0,0.0175,0.45511137540241664,-16.26728427047786,-30.754526593417395,14.487242322939537,0.005,0.3058877830626259,-38.40311045009051,-55.27692793230137,16.87381748221086,0.01,0.2969819842677892,-24.329630309369783,-33.45813287670485,9.128502567335069,0.015,0.5270783869028127,-17.147108960504937,-39.401812653374535,22.254703692869597
14.0,0.0325,0.6807411465958949,-9.695385419196331,-20.60024907766833,10.904863658472,0.005,0.3701023722574585,-32.83324035866991,-66.42019158013295,33.58695122146304,0.0125,0.45984616711774834,-17.998818172444196,-40.096423849881546,22.09760567743735,0.0325,0.7527958494984736,-10.174152976727356,-32.24792842073798,22.07377544401062
