,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.005,0.09455693636169946,-78.24975543343085,-90.29095525999011,12.041199826559264,0.005,0.9942937628181673,-104.28255704876044,-104.90578589639482,0.6232288476343797,0.005,0.11215779561768081,-98.51178484197757,-115.68138559683797,17.169600754860397,0.005,-0.1177005543077414,-91.37960117696595,-97.77152916593775,6.391927988971801
8.0,0.005,0.00877889089963831,-78.24975543343085,-133.97940008672037,55.729644653289526,0.005,0.883625527299394,-102.1779598738035,-115.12167732691674,12.943717453113237,0.005,0.04486367373778947,-97.67285364453588,-112.41151077602622,14.738657131490342,0.005,0.024468073685309188,-90.4819549881674,-98.06432371839733,7.5823687302299305
9.0,0.005,0.8621466885149692,-55.022394961163094,-70.29095525999011,15.268560298827019,0.005,0.8913094001401926,-73.18315647336523,-73.18315647336523,0.0,0.005,0.894376438097131,-64.97661327545651,-75.57369927519142,10.597085999734901,0.005,0.952721810497121,-63.020172956230695,-64.91740545494413,1.8972324987134357
10.0,0.1,0.9958431622464171,-0.28128532953827756,-4.922671755602969,4.641386426064692,0.1025,0.9978366914002975,0.8128749872277967,0.5260459150610339,0.2868290721667628,0.0675,0.9964724523522981,-2.934816172698471,-10.839687312226454,7.904871139527983,0.0325,0.9987434454689129,-10.022710264664926,-24.2696955311685,14.246985266503575
11.0,0.1,0.992102660316789,-0.2478774447008486,-2.2543317541101247,2.006454309409276,0.1,0.9912714026897684,0.49285139778885717,-3.665498332870856,4.1583497306597135,0.0375,0.9964935457181485,-8.722374290097267,-14.55149455418907,5.829120264091802,0.02,0.99772837456765,-14.712743887929856,-35.94462481357106,21.231880925641207
12.0,0.085,0.9964072090962527,-1.4526556099161323,-23.12083668801842,21.66818107810229,0.075,0.9974882110525406,-2.2066066921265017,-4.788926605103538,2.5823199129770362,0.0325,0.9974497978012383,-9.280926524057563,-23.56506977477505,14.284143250717488,0.015,0.9962758054660379,-18.244210485135284,-52.12422892231608,33.880018437180794
13.0,0.07,0.9968980016918679,-3.289097324899638,-10.13599989648313,6.846902571583492,0.06,0.9965251247901552,-4.694391909666578,-36.866511856129655,32.17211994646308,0.0325,0.99709373455665,-9.449813412774366,-20.80175499888229,11.351941586107925,0.005,0.9929312193339856,-32.183450943973256,-59.0850574846292,26.901606540655948
14.0,0.0575,0.9974607212329528,-4.80225593496791,-6.191742620593263,1.3894866856253527,0.0575,0.9976165160501899,-4.8547094257083625,-9.036872784740464,4.182163359032101,0.0325,0.9974445977902979,-10.34638973136256,-46.474377418871015,36.12798768750845,0.005,0.9927191727615107,-29.248516095449844,-53.99300704155045,24.744490946100605
