,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,-0.5180348804478135,-48.03013165305762,-80.76657360480111,32.73644195174349,0.005,0.4227181760161946,-70.97626016473993,-73.1892849845854,2.2130248198454723,0.005,-0.5953060553532172,-54.2603654243006,-78.1568771074085,23.896511683107903,0.005,-0.5801039609237529,-50.81109348157739,-79.7065225123824,28.89542903080502
1.0,0.0925,0.8954251676477833,0.0,-5.760006289797524,5.760006289797524,0.01,0.9811199642424455,-23.740570558824277,-33.17178858968012,9.431218030855842,0.0675,0.9247308469566633,-3.7352134039737845,-45.92749336879898,42.19227996482519,0.06,0.8511905217400457,-4.526972285111107,-43.67250488966681,39.145532604555704
2.0,0.0825,0.9055267070516282,-1.0424887304596895,-11.364246541781029,10.321757811321339,0.01,0.9240752568575112,-23.494427764349407,-31.104867536864912,7.610439772515505,0.0575,0.9464256321922622,-4.156249327740842,-29.85319119301205,25.69694186527121,0.04,0.8005251139144101,-8.262526025668148,-27.397566788193757,19.13504076252561
3.0,0.065,0.9365932327469106,-3.684097962777768,-9.417419601662102,5.733321638884334,0.0075,0.8164772832853343,-25.885357561002863,-35.91526565252823,10.029908091525364,0.0525,0.963274632379819,-5.5925646110548675,-16.75228939639887,11.159724785344,0.0275,0.7451887733192949,-11.31701223287418,-27.011044514515397,15.694032281641217
4.0,0.045,0.973643465103917,-6.874469626129734,-11.567672458845792,4.693202832716057,0.005,0.7907114061886761,-32.39106267254976,-40.43829572388171,8.04723305133195,0.0425,0.9779404909039084,-7.708836632607517,-27.06477633925968,19.355939706652162,0.01,0.6396957009018447,-22.21745552409791,-31.746270660282118,9.528815136184207
5.0,0.0725,0.9834327709728031,-3.0959945967993767,-15.538143880618653,12.442149283819276,0.035,0.9958281834545512,-9.294123056236725,-28.067232835291055,18.77310977905433,0.055,0.9809088304557333,-4.603917255109527,-16.794800545105176,12.190883289995648,0.01,0.853669344861261,-20.436364611184455,-29.044137584325888,8.607772973141433
6.0,0.0325,0.8073245670968777,-9.043833100185246,-26.598155602106853,17.554322501921607,0.0225,0.8803375075737921,-12.89639623035818,-25.6273218753077,12.73092564494952,0.0325,0.8750661372138534,-9.628835162807881,-33.17812891504529,23.54929375223741,0.01,0.7379783180285447,-23.52270141307075,-35.89276975371523,12.37006834064448
7.0,0.0275,0.8886816973679695,-10.82429315033383,-27.171960677794132,16.347667527460302,0.0075,0.9769973340570005,-24.937380179433262,-29.395964144840438,4.4585839654071755,0.0275,0.8925024100025203,-10.866865123389344,-25.5437663683634,14.676901244974056,0.005,0.546183028703492,-29.21777737176778,-36.019755280813,6.80197790904522
8.0,0.05,0.8445135100238331,-5.6796068905807315,-18.166334611363023,12.48672772078229,0.0075,0.5638333747798664,-24.812070224392514,-34.83345859739687,10.021388373004356,0.0325,0.8726591150976107,-7.967848913070162,-15.933608926264798,7.965760013194636,0.025,0.9655232268653995,-12.13018718624528,-19.26261391869798,7.1324267324527
9.0,0.0675,0.9209207740040516,-2.6571323663070228,-23.307916827613752,20.650784461306728,0.005,0.41699812060723773,-27.764921011730543,-53.04302227664653,25.27810126491599,0.0425,0.9082839297819771,-7.357097393377749,-12.651692901978034,5.294595508600286,0.05,0.9483453995119543,-4.477122231932153,-14.036731996245893,9.55960976431374
10.0,0.0825,0.9059443725493147,-0.0002650763603796191,-21.75278724567455,21.752522169314172,0.01,0.9506637959666837,-22.114498499980904,-27.51879208590081,5.4042935859199055,0.055,0.9359381722372336,-5.379093791008289,-12.339402187051494,6.960308396043205,0.0575,0.8604358834998815,-4.043343774586211,-16.320177054064498,12.276833279478286
11.0,0.065,0.9157857771916255,-2.6258745551327705,-15.52863378152474,12.902759226391968,0.005,0.8761283291020899,-26.897842647201358,-41.82113334803104,14.923290700829682,0.06,0.9433733775863676,-4.126352452814634,-29.458656967202227,25.332304514387594,0.035,0.8543179402939703,-9.389114020070279,-32.4747731818338,23.085659161763516
12.0,0.0375,0.9190937923766441,-8.07568478040399,-24.679240940392727,16.603556159988738,0.005,0.6052922001759886,-32.619749838139775,-40.32846004900221,7.708710210862435,0.0325,0.9398949848074469,-9.469235601146305,-14.357330800956893,4.8880951998105875,0.0125,0.6172652006069337,-19.70704034637707,-39.49184008449218,19.78479973811511
13.0,0.0475,0.9805798981847584,-6.257052985345735,-20.43983767929059,14.182784693944857,0.005,0.9444566002213713,-30.993515447092804,-41.942715177710454,10.94919973061765,0.0375,0.9832454586633598,-8.437620040628659,-10.493665716202115,2.056045675573456,0.01,0.6052512231425095,-25.3259884068789,-39.758164238893755,14.432175832014856
14.0,0.0775,0.9792428648822463,-2.025916745590213,-23.319562714906642,21.29364596931643,0.0375,0.9862704472638988,-8.099097899762848,-31.609941612878558,23.51084371311571,0.06,0.9790513754402158,-4.297720594751862,-26.0914080180404,21.79368742328854,0.01,0.9154019300761497,-21.373992393636282,-34.681208693570774,13.307216299934492
15.0,0.0275,0.896657600729383,-10.380516620092536,-20.098098495062114,9.717581874969579,0.01,0.9285632716747574,-20.318053097113737,-30.62252058406849,10.304467486954753,0.0225,0.893151332120276,-13.705909908713597,-34.92399823938185,21.218088330668255,0.005,0.6514291187177961,-26.439372382828758,-33.921110357460115,7.481737974631358
16.0,0.035,0.8912216546819498,-8.465116285248037,-20.40366381143815,11.938547526190114,0.01,0.9442836602429834,-22.064444737044507,-22.17981421850414,0.11536948145963422,0.0275,0.9145704082931283,-11.453900620687065,-17.881395845628965,6.4274952249419,0.005,0.5630718243912702,-27.226913260200902,-46.644624332768956,19.417711072568054
17.0,0.0575,0.944303126582396,-4.523910538110743,-17.603345939230117,13.079435401119373,0.01,0.5956963957423234,-22.212670800211715,-32.649939594407876,10.43726879419616,0.04,0.9116190483263898,-7.79676918152032,-25.26385618022826,17.46708699870794,0.0475,0.9896126695977174,-6.809160319227762,-16.375979376768665,9.566819057540904
18.0,0.1,0.9384705764762697,0.0,-43.1884815553319,43.1884815553319,0.05,0.9952584960451523,-5.643219176986499,-15.30127927184715,9.658060094860652,0.06,0.9462361462234242,-4.809136564308415,-24.12897524561041,19.319838681301995,0.05,0.8478216614393587,-5.707902561495693,-16.998303246613876,11.290400685118183
19.0,0.1,0.9515623210675297,-0.0002650763603796191,-14.406698986587092,14.406433910226712,0.0375,0.98457943818318,-8.393282732967528,-18.961502973480474,10.568220240512947,0.0575,0.9411881125753202,-4.7439070659147795,-16.786984336051503,12.043077270136724,0.06,0.9355030492887212,-4.067132926094399,-19.785088298718378,15.71795537262398
20.0,0.0825,0.963029403550319,-1.5927481982776248,-10.897412584897342,9.304664386619717,0.0275,0.9901994984707291,-11.819622682576487,-19.90909760445167,8.089474921875183,0.055,0.9705543019146967,-4.773222853138669,-22.933450089390057,18.160227236251387,0.0425,0.9048399576166505,-6.46909140749666,-30.746908505109822,24.277817097613163
21.0,0.0675,0.9574882131694321,-3.554623458045385,-46.39100565100968,42.836382192964294,0.015,0.9659722630642156,-17.808549954012026,-19.537342992387753,1.728793038375727,0.05,0.9644928761092346,-5.471769051613905,-50.01225153603581,44.54048248442191,0.0275,0.9212257559508654,-11.9259730472288,-19.820687487553133,7.894714440324334
22.0,0.0625,0.9415734560647276,-4.004290506839818,-22.843400833644438,18.83911032680462,0.0125,0.9128719039400036,-19.60646810082671,-40.98531065724042,21.37884255641371,0.0425,0.9482527821414409,-7.729867499841642,-30.47633261492415,22.746465115082508,0.035,0.9367181315616608,-9.532508262134213,-22.770525232612627,13.238016970478414
23.0,0.045,0.9200285176252264,-7.282827735553992,-40.48176482250891,33.19893708695491,0.0075,0.9224266424466444,-25.993819167508306,-65.57189947905603,39.57808031154772,0.03,0.9059230143268743,-9.671930580008778,-40.0848145790308,30.41288399902202,0.0375,0.9367894530673565,-8.215070549200963,-15.126576241360121,6.911505692159158
24.0,0.0325,0.878758328435437,-8.527861103998658,-35.055427424645636,26.527566320646976,0.005,0.9601620498952345,-28.326827743392144,-40.23155524539313,11.904727502000988,0.0275,0.8898043586240666,-11.499423091149168,-30.395018433937565,18.895595342788397,0.0225,0.8517891915388902,-13.899271089331862,-32.74861315916145,18.84934206982959
25.0,0.0225,0.8269265537901844,-13.671603213584325,-46.17248117855736,32.500877964973036,0.005,0.9393846646239502,-28.57176875530196,-35.2734342780813,6.7016655227793365,0.02,0.8431972996496182,-14.692714196982672,-28.043489716363478,13.350775519380806,0.0125,0.7668170191625812,-19.7546547664065,-36.65641941901252,16.901764652606023
26.0,0.0575,0.8961740112364643,-1.495538933319184,-18.177072515608653,16.681533582289468,0.005,0.7091785875648525,-31.65572419822442,-47.83902179927236,16.18329760104794,0.0275,0.8368071698767551,-10.03994051446826,-37.509562657531845,27.469622143063585,0.045,0.9331715801295495,-3.236832137700949,-100.17834806819712,96.94151593049618
27.0,0.0675,0.9429801002801532,-2.9626258806005334,-15.834960819369002,12.872334938768468,0.005,0.31916033512459296,-32.72738631974268,-52.77884687198476,20.051460552242084,0.05,0.9499461207735682,-6.158035828381314,-15.72777741476834,9.569741586387027,0.0325,0.9183498606686751,-9.662168895775329,-19.274691197977138,9.612522302201809
28.0,0.06,0.9687718784810446,-3.8753734258278976,-13.94712131626164,10.071747890433743,0.005,0.35971977186741527,-36.62862254572139,-46.824002566255494,10.195380020534103,0.045,0.9740606625581925,-6.121981875276552,-13.420909993071069,7.298928117794517,0.0325,0.9527059053895374,-9.942916773148372,-26.299124271883386,16.356207498735014
29.0,0.055,0.9662847542128457,-5.780094044229809,-11.644316124898195,5.864222080668386,0.005,-0.4970257003616474,-42.261933814456626,-51.585047736534605,9.32311392207798,0.0525,0.9685845013510936,-5.954091344479897,-16.446877092400197,10.4927857479203,0.0175,0.9433935197378991,-16.19275223097643,-64.9810843640546,48.788332133078164
30.0,0.0525,0.971631803178723,-5.619159214414592,-18.56151525773305,12.942356043318458,0.005,-0.321431420102516,-42.28931304908527,-44.03365557066969,1.7443425215844144,0.0525,0.9733520690249493,-5.697645672257697,-10.309124297532001,4.611478625274304,0.02,0.9574854275915803,-14.407493966869122,-22.801500792907312,8.39400682603819
31.0,0.055,0.9545308693983572,-4.106607952258157,-12.534179485536505,8.427571533278348,0.005,-0.10098065809584875,-41.85558116596853,-56.414318050426544,14.558736884458014,0.045,0.9506112471099694,-6.6968861345701205,-11.50927633739183,4.812390202821709,0.03,0.9665551449530015,-10.786525233924905,-17.123373591277353,6.336848357352448
32.0,0.0575,0.9543798749955161,-3.6606335051446592,-20.100779738990816,16.440146233846157,0.005,-0.2717172667705127,-46.769459138892216,-49.36643047341182,2.5969713345196013,0.0425,0.9498027174660245,-6.351306861938309,-31.832969070575224,25.481662208636916,0.03,0.9591373656474947,-9.78204019588556,-29.397824354617462,19.615784158731902
33.0,0.015,0.8631917859173686,-18.80986318390422,-36.43445972072142,17.6245965368172,0.005,0.22374549691641382,-46.588712678260684,-50.89371981922472,4.305007140964037,0.015,0.8749009320490757,-18.724729837006496,-27.608947384819015,8.884217547812518,0.005,0.7862065509362792,-26.769565122570125,-55.17079907904419,28.401233956474062
