,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
8.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
9.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
10.0,0.005,-0.08700542548431169,-72.24719895935547,-90.30899869919435,18.061799739838875,0.005,0.8949631500581487,-97.46853120024262,-110.87542220583873,13.406891005596108,0.005,-0.3695981288079366,-81.50504758537268,-93.63234914530216,12.127301559929478,0.005,-0.2482435961594562,-75.14504843917783,-82.07084891375771,6.925800474579887
11.0,0.005,-0.17751183173385296,-72.24719895935547,-84.28839878591472,12.04119982655925,0.005,0.5415487086734971,-98.21673299266861,-116.69291482292996,18.476181830261353,0.005,-0.2565793062318735,-82.22069158204451,-86.53526311361287,4.314571531568362,0.005,-0.23268824808170324,-75.58616691161114,-92.98934393836208,17.40317702675094
12.0,0.005,-0.2311829620664321,-71.22414851040786,-90.30899869919435,19.08485018878649,0.005,0.07605922690375319,-100.17575401871784,-115.08992212702294,14.914168108305105,0.005,-0.3679784730251528,-81.61807239037614,-85.86481927716838,4.246746886792238,0.005,-0.24211586531539536,-74.95127028174797,-93.11537571101178,18.164105429263813
13.0,0.005,-0.21725336086435026,-72.24719895935547,-84.28839878591472,12.04119982655925,0.005,-0.21071290029510722,-102.05525091746568,-106.490173061977,4.434922144511319,0.005,-0.40409945675857295,-80.46052057397817,-94.50893860164236,14.048418027664184,0.005,-0.2207719083150347,-75.41277378954524,-106.00538024495114,30.5926064554059
14.0,0.005,-0.15198213056370768,-72.24719895935547,-84.28839878591472,12.04119982655925,0.005,-0.00883822005416273,-102.1315192163206,-103.01547229057867,0.8839530742580735,0.005,-0.15042847775425042,-81.29963177622038,-133.97940008672037,52.679768310499995,0.005,-0.20004350822462963,-76.90910397361989,-118.19645072539798,41.28734675177809
