,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.005,0.2635766206763273,-84.28839878591472,-90.30899869919435,6.020599913279625,0.005,0.6719443810545419,-103.99409294583003,-112.03268530331003,8.038592357479999,0.005,0.23930788231207745,-101.50685372263183,-106.34421073453302,4.83735701190119,0.005,0.01984899726991292,-94.23535573803044,-99.80866257521649,5.573306837186053
5.0,0.005,-0.5080197431140284,-67.3864379856296,-84.28839878591472,16.901960800285124,0.005,-0.5346973316254618,-71.79425447435781,-90.75052916797486,18.956274693617047,0.005,-0.8473923474263789,-73.82817817319555,-94.46653596248176,20.638357789286204,0.005,0.11835436389394632,-78.34839371510965,-88.4939433872634,10.145549672153749
6.0,0.005,-0.7882397553505207,-51.32119856629609,-63.46054508275023,12.13934651645414,0.005,-0.150935682754128,-72.8136319237406,-72.98412886968065,0.1704969459400445,0.005,-0.9130804221160541,-57.927539127828354,-64.93645991441167,7.008920786583317,0.005,-0.022790834840278325,-74.43584525072072,-95.98836300078733,21.552517750066613
7.0,0.005,-0.4570231710346059,-47.63822053179,-62.704773864962235,15.066553333172237,0.005,-0.439673516733314,-47.24378245109939,-49.147368008755876,1.9035855576564842,0.005,-0.9199615503613398,-53.80466878714289,-57.34665125809307,3.541982470950181,0.005,-0.0794337170611566,-74.2388368560639,-84.65757782528036,10.418740969216458
8.0,0.005,-0.5078273207540172,-41.06103874121523,-49.96833191321875,8.90729317200352,0.005,-0.5092165871537265,-42.18862441896283,-53.442996703221965,11.254372284259134,0.005,-0.8422074684775672,-52.20009534439143,-107.91593316267793,55.7158378182865,0.005,-0.30079686802036626,-74.32867210641314,-102.14776303381193,27.81909092739879
9.0,0.005,-0.6033122034498603,-37.053842065562876,-43.1122890523966,6.058446986833722,0.005,-0.560909357474624,-39.39427237912335,-58.209260507185554,18.814988128062204,0.005,-0.8864065494402812,-44.97597907460601,-59.48368887965955,14.507709805053544,0.005,-0.32820540982200386,-72.58569482662199,-76.86559130847488,4.279896481852887
10.0,0.005,-0.7006839185772284,-34.81865938462336,-55.34523815907035,20.52657877444699,0.005,-0.5250550914137325,-38.47463151738045,-49.69673071836674,11.222099200986285,0.005,-0.9249799918397806,-40.122044654065625,-45.49927447754824,5.377229823482615,0.005,-0.3930062544014028,-72.1987155423455,-79.49620723938436,7.297491697038865
11.0,0.005,-0.7932918869416568,-34.02404678455595,-40.48176482250891,6.457718037952958,0.005,-0.516045684812611,-39.90200154525495,-70.34066765960011,30.438666114345168,0.005,-0.9490246198289094,-37.238693853359344,-38.385996464509795,1.147302611150451,0.005,-0.40454201043544036,-72.07688108138456,-105.48232535599922,33.405444274614666
12.0,0.005,-0.6648806308404384,-33.235034463670864,-47.7669027318982,14.531868268227335,0.005,-0.2961591490792733,-39.555876349978966,-45.1357281660744,5.5798518160954345,0.005,-0.9544463812009099,-36.35301303080247,-42.50578291025811,6.15276987945564,0.005,-0.4838065937388289,-69.23701651957207,-99.06155937242615,29.82454285285408
13.0,0.005,-0.5323780782586528,-32.24719895935549,-46.17248117855736,13.925282219201875,0.005,-0.2971169271488152,-36.95316183758132,-68.1130456202691,31.159883782687785,0.005,-0.9465255599154586,-36.395006823634695,-39.529615392133564,3.1346085684988694,0.005,-0.4721967175857634,-70.72072467963136,-93.30315737287998,22.58243269324862
14.0,0.005,-0.5115638600093514,-30.10299956639812,-41.36583807234997,11.262838505951855,0.005,-0.20199160757090223,-35.0319028257359,-36.78827654335152,1.7563737176156238,0.005,-0.9356772265420771,-35.41384289848848,-45.35425422982284,9.94041133133436,0.005,-0.41991978282914905,-71.65587192991792,-87.47149202142369,15.815620091505764
