,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.005,0.9745350666976953,-43.15030175918528,-59.9387199016366,16.78841814245132,0.005,0.7750406078231589,-83.01995468998597,-83.65993895545564,0.6399842654696783,0.005,0.9791101085801843,-51.3522536539082,-87.7190767356476,36.366823081739405,0.005,0.9888740982661597,-45.06113610074461,-53.47423772443009,8.413101623685478
7.0,0.005,0.968128302057353,-38.053321564799646,-46.84527333094888,8.791951766149232,0.005,0.922299319091394,-52.178736785428946,-66.64721551749867,14.46847873206972,0.005,0.9806275692435789,-48.48325837093724,-55.26804552798855,6.784787157051305,0.005,0.988157587459713,-41.99481087505547,-57.97513623960512,15.98032536454965
8.0,0.005,0.9669531739715149,-37.302848236555626,-42.3501985257536,5.047350289197972,0.005,0.897412071402587,-52.247714649547596,-53.45221622040886,1.204501570861261,0.005,0.9928781949750223,-45.93857572295587,-75.75015166047925,29.81157593752338,0.005,0.9878528096290476,-38.46908464877088,-50.18583148991397,11.716746841143092
9.0,0.005,0.9351036585542207,-38.09579543739675,-55.34523815907035,17.249442721673596,0.005,0.9115238825179588,-48.199209154631134,-53.791848898680556,5.592639744049421,0.005,0.9928724453756822,-43.76762122807139,-64.01408065252049,20.2464594244491,0.005,0.9878388318718814,-42.45587149385816,-79.21931456642652,36.76344307256836
10.0,0.005,0.9493924871202555,-34.02404678455595,-58.48770655866437,24.46365977410842,0.005,0.9096865446258634,-43.81346594384952,-56.10387472994479,12.29040878609527,0.005,0.9957291839850536,-40.31791946797433,-51.0795989541327,10.761679486158371,0.005,0.9820787634187051,-45.64306871911812,-56.660448285854905,11.017379566736786
11.0,0.005,0.9841504889298224,-33.852565793132264,-40.56623118965063,6.7136653965183655,0.005,0.9418688226578462,-44.353438606088275,-61.89300840130631,17.539569795218036,0.005,0.9946872723778428,-44.20095280637745,-52.36997479013276,8.169021983755307,0.005,0.9925878894346477,-38.40828243279237,-59.45596332395248,21.047680891160113
12.0,0.0125,0.9969553693650874,-18.980248855292952,-38.053321564799646,19.073072709506693,0.005,0.9579391405105266,-46.73760792005692,-55.55954966182714,8.821941741770225,0.01,0.9995900566129108,-21.986225210412957,-41.20252623590567,19.216301025492715,0.005,0.9983597733583673,-26.263183028904734,-59.016850061142264,32.75366703223753
13.0,0.0075,0.9899067678439785,-21.736585245755577,-48.301587796843094,26.565002551087517,0.005,0.9531190278996163,-42.422906771891384,-47.86753141157688,5.444624639685493,0.005,0.9986004424801042,-32.25907265810301,-47.32214776115241,15.0630751030494,0.0075,0.9974549134935597,-23.858614531960708,-52.5037424246372,28.645127892676495
14.0,0.005,0.9718594186111059,-33.0783104820136,-45.15542720181067,12.077116719797068,0.005,0.9518101513651855,-42.82997062166456,-64.10380232584816,21.273831704183607,0.005,0.996622305036947,-41.197320262693005,-78.6414723978584,37.44415213516539,0.005,0.9942042941160973,-36.65261156237488,-62.88579958949178,26.233188027116903
