,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.1,0.9790676876146036,0.0,-21.25181198327731,21.25181198327731,0.005,0.853747573025142,-30.379164683431195,-46.03840458974163,15.659239906310436,0.0875,0.9725202877309039,-0.5885327064757762,-17.61018627956945,17.021653573093676,0.0775,0.9978723658928504,-1.2711533205074386,-31.28630848844946,30.015155167942023
6.0,0.06,0.9883475451467081,-4.303612408587231,-23.7414066304196,19.43779422183237,0.005,0.7712751788398952,-37.138077801505375,-50.122547142235106,12.984469340729731,0.035,0.9754819379280135,-9.05959473802042,-15.804727013519173,6.745132275498753,0.0375,0.9972091925918926,-8.794061426560821,-21.614249353917533,12.820187927356711
7.0,0.0275,0.9868695482096242,-11.051198951358534,-54.32218771012272,43.27098875876418,0.005,0.914879839737101,-49.174933156600325,-54.54498778997032,5.370054633369996,0.0175,0.9755390051003833,-16.019523133825977,-30.518632174058293,14.499109040232316,0.02,0.9951437359827221,-14.69179600727311,-62.887494692584895,48.19569868531178
8.0,0.01,0.9747546655956099,-23.444766895599404,-29.31688644729489,5.872119551695487,0.005,0.9724219704636462,-49.75247056477858,-73.17565548870108,23.423184923922506,0.0075,0.9671082657664437,-23.621702992223362,-44.73675759400428,21.11505460178092,0.0075,0.9932737309799576,-25.719175913576976,-55.03946495965951,29.320289046082536
9.0,0.005,0.9702590023917785,-26.564226302564784,-46.61517008284237,20.050943780277585,0.005,0.7595249000707809,-55.86521246015336,-73.60720387306023,17.74199141290687,0.005,0.969232592674942,-28.664618531002528,-69.59789396482802,40.933275433825486,0.005,0.9872333536544906,-33.1515965399495,-65.83228655727281,32.68069001732331
10.0,0.005,0.9510012803078794,-40.651527027019284,-65.20354859712823,24.55202157010895,0.005,0.7925301694085221,-59.11191795581403,-66.87525193504625,7.763333979232222,0.005,0.9619095530837494,-45.64796532421103,-90.50881393332287,44.86084860911184,0.005,0.5286897052844922,-59.560306994881465,-89.0618410841549,29.50153408927344
11.0,0.005,0.9312172905665291,-49.17090167246491,-50.573564013869465,1.4026623414045574,0.005,0.8256071310739729,-62.589429789492115,-91.42123668695768,28.83180689746557,0.005,0.9254389060476012,-54.057136070756954,-85.70273094719703,31.64559487644007,0.005,0.3400686091952987,-62.6406486512452,-76.53088403851407,13.890235387268874
12.0,0.1,0.9741510671640232,0.0,-4.059950556145545,4.059950556145545,0.0925,0.970777341315099,-0.7183006832714528,-0.7183006832714528,0.0,0.0525,0.9827297507670127,-4.969262737507686,-23.429734382853855,18.460471645346168,0.035,0.9735414305716753,-8.758493418453657,-41.66923582226262,32.91074240380897
13.0,0.1,0.8898967174523205,0.0,-4.701529376191969,4.701529376191969,0.1075,0.9030688557348656,1.0379590521386788,-2.632338112118387,3.6702971642570654,0.0375,0.9583915445238033,-8.88536394093471,-33.58866030784728,24.703296366912568,0.04,0.9830626951524613,-7.8601358258971485,-18.060346362208413,10.200210536311264
14.0,0.095,0.9212778279189126,0.0,-16.762335670796322,16.762335670796322,0.075,0.9094649023336512,-1.4898162904730938,-59.57772498211094,58.08790869163784,0.025,0.9869707730209166,-12.645322761898022,-41.622125077187036,28.976802315289014,0.0325,0.9831674967444383,-10.431305807241984,-15.668479270611705,5.237173463369722
