,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
8.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
9.0,0.02,0.991037652746826,-12.731406821721636,-15.188189650371633,2.456782828649997,0.005,0.9995373707374586,-28.594620862869427,-28.999983916976,0.4053630541065729,0.005,0.9996260197772804,-28.004614490011082,-34.08106753931928,6.076453049308196,0.01,0.9913592905473184,-22.787013506287863,-24.89532390030972,2.1083103940218564
10.0,0.0325,0.9886475087982161,-9.16758973709201,-16.242905753622328,7.0753160165303175,0.0225,0.9995687142286819,-13.96864835918504,-23.697421549962854,9.728773190777813,0.01,0.999558850334435,-20.175419846571927,-23.76737736564842,3.5919575190764945,0.01,0.9521900726493617,-20.54689856335522,-30.413276008708998,9.866377445353777
11.0,0.025,0.9964081378613061,-12.0007371199204,-31.669411026343255,19.668673906422853,0.02,0.9996744498281707,-14.66650447844502,-32.305155271179096,17.638650792734076,0.01,0.9997453320951142,-21.400494903650987,-25.58097757955894,4.180482675907953,0.005,0.9597410894053343,-30.109082576184427,-50.09466780136157,19.98558522517714
12.0,0.015,0.9981451169297335,-16.478263349349206,-21.553721987560515,5.075458638211309,0.015,0.999596883640598,-16.583957525098853,-28.479533787086865,11.895576261988012,0.01,0.9998451850559757,-24.703347133682655,-36.666836362074626,11.963489228391971,0.005,0.9176860877249579,-38.347578909331624,-52.83507060403419,14.48749169470257
13.0,0.01,0.9971306490931767,-20.86238261524905,-33.997178664437996,13.134796049188946,0.01,0.9991084321414007,-20.209913860846925,-24.37114268314213,4.161228822295204,0.005,0.999597954750597,-29.42880665785448,-38.11369425666565,8.684887598811173,0.005,0.9295240485389007,-39.60975531124352,-64.85504597106245,25.245290659818934
14.0,0.01,0.9990176572312609,-24.167374617697376,-30.690494598412364,6.523119980714988,0.0075,0.9993434912721176,-23.880160893904044,-47.5188646366954,23.638703742791353,0.005,0.9997684375112934,-32.31668477047401,-35.77327728444994,3.4565925139759273,0.005,0.9148534924431179,-49.84428503304895,-56.1620915769508,6.3178065439018525
