,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.005,0.3340701893657655,-61.534932222689456,-66.21659625716957,4.681664034480114,0.005,0.5855883476743006,-71.69874026645589,-74.27320979462914,2.5744695281732533,0.005,0.5056681600761563,-68.88524170985887,-84.13565350103072,15.250411791171842,0.005,0.1642489617617975,-71.48362864418962,-86.64220324430984,15.158574600120218
8.0,0.005,0.4396291763877351,-59.03615779217884,-66.86028968592522,7.824131893746383,0.005,0.5522439557080935,-68.29753152022715,-95.86487752049621,27.567346000269055,0.005,0.500450626624465,-65.0756080216955,-92.10477175777584,27.029163736080335,0.005,0.18293982847843732,-68.95576605890557,-81.67189460176358,12.716128542858016
9.0,0.005,0.337892285798745,-59.03615779217884,-73.57613204924871,14.539974257069872,0.005,0.3254793469770521,-67.38796684286692,-77.42247666193906,10.034509819072142,0.005,0.39317721249111903,-65.96362098716357,-80.70634102613596,14.742720038972394,0.005,0.11799285890072331,-70.8425380814052,-83.22688866922861,12.38435058782342
10.0,0.005,0.3507339361373134,-58.25779649742763,-83.11855744529734,24.860760947869714,0.005,0.5068879390719385,-68.62393948968244,-103.10038062382928,34.47644113414684,0.005,0.49999336577446724,-65.92848419618956,-90.1386012542579,24.21011705806835,0.005,0.11577316367888334,-71.1894266477573,-86.36926015272661,15.17983350496931
11.0,0.005,0.3787831475264176,-57.09795735102449,-69.13915717758373,12.041199826559236,0.005,0.4090411191636913,-67.81881510955841,-67.81881510955841,0.0,0.005,0.3297732956606189,-64.14631941915931,-88.0362528891473,23.889933469987994,0.005,0.17539412582488206,-71.94995263305118,-76.24363379313138,4.293681160080197
12.0,0.065,0.9616520840204605,-3.449188522645645,-7.195399322852493,3.7462108002068484,0.06,0.9626521703738592,-4.52497668730077,-5.307174576973042,0.7821978896722719,0.035,0.9775171891427051,-10.129909421149774,-32.52746099766242,22.397551576512647,0.005,0.8764891160852939,-50.21166450360205,-69.64332357968598,19.431659076083932
13.0,0.0625,0.7633761496518727,-4.017315376057883,-10.94482760327269,6.927512227214808,0.06,0.820013690484019,-4.455761279691485,-16.992077814617097,12.536316534925612,0.01,0.22481119252173173,-25.085107051345123,-30.26947413794035,5.184367086595227,0.005,0.4892674872513145,-60.88011325545427,-75.8591382777256,14.979025022271337
14.0,0.035,0.7621380899201968,-9.252813638608373,-17.74231887683954,8.489505238231168,0.0325,0.7737655066348617,-10.303275137688388,-17.62707761838305,7.323802480694663,0.01,0.9261899874313319,-22.39970848663752,-26.873717897614103,4.474009410976585,0.005,0.7158796532332627,-64.13573587025414,-74.7188327288366,10.583096858582465
