,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.19031589395088325,-80.76657360480111,-133.97940008672037,53.212826481919265,0.005,0.022894628672996967,-99.57478435391727,-101.56913363725322,1.99434928333595,0.005,0.24091247077416084,-85.22669445515197,-105.11675716166286,19.89006270651089,0.005,0.198090170200302,-84.24160140164899,-99.21225844165674,14.970657040007751
1.0,0.005,0.2792504835832596,-80.76657360480111,-90.30899869919435,9.542425094393238,0.005,0.23804494274356058,-101.3690571585023,-109.34880163502676,7.979744476524459,0.005,0.32245436320262233,-86.30760946790289,-126.05739382207032,39.74978435416743,0.005,0.2978122943018148,-83.4995551294387,-98.34578668367374,14.846231554235032
2.0,0.005,0.26178079407005395,-80.76657360480111,-133.97940008672037,53.212826481919265,0.005,0.7899607516246984,-97.40526936330289,-102.06361399502887,4.658344631725981,0.005,0.3201483545844037,-85.4164493540809,-103.66691333249834,18.250463978417443,0.005,0.23859880565027855,-83.2681883261576,-107.48300134438985,24.21481301823225
3.0,0.005,0.20684548742797446,-80.76657360480111,-84.28839878591472,3.5218251811136128,0.005,0.02784883996126399,-95.30306785479858,-112.22232698509188,16.919259130293298,0.005,0.3052965150210559,-86.38763284918414,-99.48788813715237,13.100255287968224,0.005,0.21274816639144004,-81.60780229869724,-98.17592131404383,16.568119015346596
4.0,0.005,0.2541323371417804,-78.2677988726351,-90.30899869919435,12.04119982655925,0.005,0.3608525826134418,-96.05435674205398,-109.13583106539002,13.081474323336039,0.005,0.2826216402151358,-86.64989699472045,-91.3573718317778,4.707474837057347,0.005,0.2627958977379222,-83.1569272791115,-123.50745342648202,40.350526147370516
5.0,0.005,0.2760522067241865,-78.2677988726351,-133.97940008672037,55.71160121408528,0.005,0.525382317437829,-93.01835311967203,-102.94848664194555,9.930133522273522,0.005,0.30716705090395346,-86.09449218251623,-93.82050332832526,7.726011145809025,0.005,0.3133550912864187,-83.82346540879921,-101.84450384543965,18.02103843664044
6.0,0.005,0.2453993696769527,-80.76657360480111,-133.97940008672037,53.212826481919265,0.005,-0.30119900215339923,-98.88728449732918,-98.90870644716614,0.021421949836962995,0.005,0.39464168222499724,-84.35733020139011,-104.07557253069305,19.71824232930294,0.005,0.2600681430947677,-82.07506765514114,-103.91135184400628,21.836284188865136
7.0,0.005,0.2102155128803825,-80.76657360480111,-90.30899869919435,9.542425094393238,0.005,0.14448089743239328,-96.894100346024,-110.6772382737505,13.7831379277265,0.005,0.22367389756297143,-88.83026279362392,-100.39207689330817,11.561814099684256,0.005,0.26838445510638603,-82.98186161169792,-95.53415009270432,12.5522884810064
8.0,0.005,0.19909557898100227,-78.2677988726351,-133.97940008672037,55.71160121408528,0.005,-0.23500925326597916,-96.32964198866762,-99.45942753976027,3.1297855510926524,0.005,0.27940444888692717,-85.5946324842831,-97.96968972492463,12.375057240641539,0.005,0.22676688855723118,-84.17864400424877,-109.3899367941742,25.211292789925437
9.0,0.005,0.22471454261454896,-80.76657360480111,-90.30899869919435,9.542425094393238,0.005,0.20565618932406862,-99.5503527448747,-109.19083584266254,9.640483097787836,0.005,0.11979819910698399,-87.09456118396916,-118.46741781734535,31.372856633376188,0.005,0.2656909796636758,-83.53674027711578,-90.9549955719686,7.418255294852813
10.0,0.005,0.21765176333686823,-78.2677988726351,-84.28839878591472,6.020599913279625,0.005,-0.18102493621666388,-98.239649549316,-103.91885162072987,5.679202071413869,0.005,0.2381859321011476,-85.90834195780016,-98.61014600668008,12.701804048879922,0.005,0.26415929911756425,-83.23306672234122,-96.37636867650924,13.143301954168024
