,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.015,0.5680031745618063,-19.42267586424581,-32.51176427403059,13.089088409784779,0.005,0.9051154342470652,-54.85272248941905,-87.80774327072535,32.9550207813063,0.01,0.7535562220203129,-22.263288545707262,-27.007019766257603,4.743731220550341,0.01,0.5148329534086221,-21.128087800148336,-27.16205433411563,6.033966533967295
6.0,0.015,0.4894536354240727,-16.8301587265126,-19.319124434894096,2.488965708381496,0.005,0.6170095682366009,-60.53144061272329,-76.32224387737114,15.790803264647849,0.01,0.5700778908981896,-20.92872797344411,-31.997789153501973,11.069061180057862,0.015,0.45968678072171276,-18.030726260126137,-40.86587389712708,22.835147637000944
7.0,0.015,0.5107072117752002,-17.5912849935689,-31.49866900054301,13.907384006974109,0.005,0.9051355606815545,-51.94525350116716,-63.811502140262526,11.866248639095367,0.0125,0.6831319111638398,-18.978924995222165,-31.057355445154016,12.07843044993185,0.01,0.4612098708281518,-20.199533579287618,-31.739303212594375,11.539769633306758
8.0,0.0825,0.9957821853277813,-1.7722696231241972,-2.6571323663070228,0.8848627431828255,0.075,0.9999069766305326,-2.6593423493437394,-6.093299663894296,3.4339573145505566,0.0475,0.9912185152615114,-5.904812520376575,-46.19741593339918,40.292603413022604,0.015,0.585167122669259,-17.08787022031874,-25.631995060617527,8.544124840298785
9.0,0.075,0.9892477848902168,-2.49806790141832,-15.538143880618653,13.040075979200333,0.065,0.9997981160755396,-3.7729240134868025,-10.755975718930372,6.98305170544357,0.0175,0.9113354977594227,-15.788054395570708,-31.063137293009678,15.27508289743897,0.0125,0.5832443078064166,-19.691542112357872,-26.507931311803503,6.816389199445631
10.0,0.0525,0.9874646502598388,-5.3269891555359115,-27.039807663794555,21.712818508258643,0.0425,0.999413448719942,-7.632202106137624,-36.87980463819241,29.247602532054785,0.015,0.9061785121755657,-17.098747696013895,-33.22743526103945,16.128687565025558,0.0125,0.6588078918784176,-19.314848813190125,-44.081084795448135,24.76623598225801
11.0,0.0375,0.9552128214153064,-9.104866277847357,-17.680123318930917,8.57525704108356,0.0225,0.9987982372071336,-13.181888901136523,-29.912111290633558,16.730222389497037,0.015,0.9136023034748196,-17.923843800864603,-29.23844796637152,11.314604165506918,0.015,0.6050616433417781,-16.94057516605741,-30.672265916863637,13.731690750806226
12.0,0.035,0.9533641487677138,-9.28286048283488,-27.442456099353425,18.159595616518544,0.02,0.9988842117068865,-14.281904984200702,-17.73975273302,3.457847748819299,0.015,0.9006375329613986,-18.141050501865045,-33.17545454567197,15.034404043806923,0.015,0.604806676956491,-18.78186936763001,-28.09922820324457,9.317358835614563
13.0,0.0325,0.92891127252229,-9.209081468611528,-16.171230799562,6.9621493309504725,0.015,0.9980040804281626,-16.478438302289554,-18.9812151525444,2.502776850254847,0.015,0.8871414742632727,-17.857053431995176,-24.48326521215784,6.626211780162663,0.015,0.6088963716168647,-18.690807455555213,-29.61729551093082,10.926488055375607
14.0,0.0225,0.8377432697329777,-13.49182761835677,-26.839445830134462,13.347618211777693,0.0125,0.9953487159853759,-18.907475847653117,-49.57712969579241,30.66965384813929,0.0125,0.88233213132005,-18.416746856757424,-34.2906550559793,15.873908199221876,0.0125,0.5413330613502614,-19.885457952624023,-39.31482771202613,19.429369759402107
