,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.005,0.6016203325703433,-54.05073156633725,-61.36583807234997,7.315106506012725,0.005,0.7200590087962074,-62.80874599622409,-66.3566010366034,3.5478550403793037,0.005,0.15704658096485594,-64.87003802765491,-85.23987046594327,20.369832438288356,0.005,-0.18817654514375337,-63.89270349922302,-93.40669269832263,29.513989199099612
6.0,0.0925,0.9997037497307452,-0.897848994848875,-15.774454518662912,14.876605523814037,0.005,0.9977109682025254,-27.266940989564937,-33.470619729034055,6.203678739469119,0.085,0.9997481266450823,-0.5250148621516423,-11.604794390037679,11.079779527886036,0.095,0.9996697531046997,0.3156262964122619,-11.507297380982989,11.82292367739525
7.0,0.08,0.9994920723151925,-1.6618009050585374,-48.581802085699394,46.92000118064086,0.0375,0.9995844769610515,-8.777901392090678,-25.911450759488496,17.13354936739782,0.075,0.9995877145235758,-3.0735105010699875,-23.837538077892653,20.764027576822667,0.04,0.9989108945436779,-7.192359376233737,-68.5972439041962,61.404884527962466
8.0,0.0475,0.9993293157584301,-6.0121217382404,-12.319154776431722,6.307033038191322,0.0375,0.9994291425960165,-8.425695697509104,-15.036626552001467,6.610930854492363,0.015,0.9991211764502913,-16.947866315909938,-24.43357240261182,7.485706086701882,0.01,0.9988222591384404,-24.539584374947722,-47.466397578456665,22.926813203508942
9.0,0.035,0.9992266907991562,-9.25665868426853,-12.634634659915164,3.3779759756466348,0.0325,0.9991971689743275,-10.106054922806532,-21.487294867836006,11.381239945029474,0.0175,0.999587894037119,-14.122596653096695,-23.30438416223565,9.181787509138955,0.015,0.9987547370726867,-17.733462242590875,-59.77248877031623,42.039026527725355
10.0,0.04,0.9994570399531488,-7.935108541237601,-11.512625442766769,3.577516901529168,0.025,0.9993949859255082,-10.75832380679419,-23.88022456392119,13.121900757127,0.015,0.9996612940433205,-16.84978473858266,-38.07872581855372,21.22894107997106,0.015,0.9994235314294566,-17.042056171205886,-59.587757483615064,42.54570131240918
11.0,0.04,0.9995543866867868,-6.804562692333311,-20.414778195089106,13.610215502755795,0.025,0.9994793539810168,-13.095730686736736,-19.793395743573377,6.697665056836641,0.02,0.9995765884576917,-12.8458435407968,-26.455669999427617,13.609826458630817,0.0125,0.9993689540952008,-19.198290431632195,-87.58290575214181,68.38461532050962
12.0,0.0075,0.9969171974012733,-20.43983767929059,-37.47951648911237,17.03967880982178,0.0125,0.9986919012217393,-19.915941407776284,-35.25676798735036,15.340826579574074,0.005,0.9895815540700333,-26.51786312444709,-43.49645304883532,16.97858992438823,0.005,0.9801917075264114,-45.564686999452,-54.34106641153906,8.77637941208706
13.0,0.025,0.9764382907212811,-12.229844528730949,-28.62462496440958,16.394780435678634,0.005,0.9929329532249748,-31.213981695401884,-48.76060763116947,17.546625935767587,0.0075,0.8854936844340331,-24.834380729430293,-30.2201416342106,5.385760904780305,0.03,0.9805305699823401,-11.394149539844411,-17.632648703333558,6.238499163489147
14.0,0.095,0.9757018771998831,-0.6301244133859678,-45.75126460692089,45.12114019353492,0.01,0.9749929479752314,-22.350650960734363,-22.652007430458767,0.30135646972440355,0.025,0.9870673354153292,-12.433648483352028,-35.77277093910823,23.339122455756197,0.1,0.9748750510784094,1.2099307356763773,-36.35768817542281,37.56761891109919
