,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.005,0.6679090975305082,-34.67389120614498,-74.74597369152148,40.072082485376505,0.005,0.6845963178520821,-38.46071983036196,-50.572816752835934,12.112096922473974,0.005,0.7003734082761431,-43.66062326495757,-49.85633110366685,6.195707838709275,0.005,0.6871951795054803,-56.792049386209904,-83.78631893445976,26.994269548249854
4.0,0.005,0.6815463188612019,-37.864718239868445,-67.3864379856296,29.521719745761153,0.005,0.7038633619305998,-40.05493886484555,-46.48266347184449,6.427724606998936,0.005,0.6358950332342238,-45.33914376609943,-58.47979333833317,13.140649572233734,0.005,0.7941695710826475,-49.42670172990276,-72.52887150400527,23.102169774102506
5.0,0.005,0.45868971583329926,-42.59687322722811,-50.754526593417395,8.157653366189287,0.005,0.3678776647352719,-46.56213591032653,-54.928942241642346,8.366806331315814,0.005,0.6061758601328594,-44.72190576744721,-55.10409415930099,10.38218839185378,0.005,0.7010995055389697,-57.219758117991034,-77.21481859901564,19.99506048102461
6.0,0.0075,0.7988794022226935,-25.761549853401633,-51.128170852772485,25.366620999370852,0.005,-0.004470019435542104,-50.591236656907334,-54.652621937445936,4.061385280538602,0.005,0.8458997398427508,-30.616139468704098,-79.82715730616611,49.211017837462016,0.005,0.962607329934219,-33.05242778365415,-70.26780149964327,37.21537371598912
7.0,0.0075,0.7937939638751365,-25.608535509289887,-59.42763781218885,33.81910230289896,0.005,0.7043018612023371,-51.4433513110539,-62.01237903176127,10.569027720707368,0.005,0.9689139756325599,-27.402862565363534,-47.623906112526726,20.22104354716319,0.005,0.6538977071070683,-34.146922882086706,-52.91744566215659,18.770522780069882
8.0,0.0075,0.9602297483008163,-25.40368191004513,-37.499369959785916,12.095688049740787,0.005,0.20029300567948025,-58.12980356977194,-59.07877932482589,0.9489757550539508,0.005,0.9703067352736529,-27.956050172534255,-44.85281847960523,16.896768307070978,0.005,0.9386597211556842,-30.766138777905226,-39.117861078338564,8.351722300433337
9.0,0.005,0.935349633389725,-26.992246205391794,-59.42763781218885,32.435391606797054,0.005,0.616611642244984,-56.93525313091349,-77.50363958353374,20.568386452620253,0.005,0.9424783457459078,-29.08424861884784,-39.35094806883956,10.266699449991716,0.005,0.9235701992421641,-36.81751386002543,-65.10740962980242,28.28989576977699
10.0,0.005,0.9021025773968667,-36.59416392714908,-49.01983891465598,12.425674987506895,0.005,0.6143175612113926,-58.52084698996624,-67.7528182860902,9.231971296123966,0.005,0.9196819910352242,-36.057573305694916,-70.85640745764557,34.79883415195066,0.005,0.9085816255045734,-47.561703651059844,-63.944735257784664,16.38303160672482
11.0,0.005,0.9576657892520184,-36.793431865712655,-46.96265200423083,10.169220138518178,0.005,0.7168037019018031,-55.813612541233304,-69.39344477607618,13.579832234842875,0.005,0.9766068782230832,-37.44020342221867,-38.32173416389745,0.8815307416787803,0.005,0.9271009192148055,-46.7283990536906,-61.290507998512815,14.562108944822214
12.0,0.005,0.9575608633572448,-37.98999766606634,-67.3864379856296,29.39644031956326,0.005,0.07458623389235287,-62.66819855975244,-72.55936445482875,9.891165895076313,0.005,0.9784162678873778,-38.213218269626594,-64.31980552815064,26.106587258524044,0.005,0.9095916448692862,-48.13754356206766,-91.47762147415314,43.340077912085476
13.0,0.005,0.4815047495667529,-48.87135855307185,-50.939339728115655,2.067981175043805,0.005,0.5396760611629771,-60.283979651471626,-83.72126192581004,23.437282274338415,0.005,0.9043110069756416,-49.15523130266561,-57.22554692957048,8.070315626904865,0.005,0.6098293990804465,-58.40457804848867,-95.87769821504378,37.473120166555105
14.0,0.005,0.5017648559080267,-38.805241800641134,-55.19150158574453,16.386259785103398,0.005,0.5511678989993197,-60.088760232670204,-73.10366181823638,13.014901585566172,0.005,0.6547865903070378,-48.70472903789434,-76.71157237930721,28.006843341412875,0.005,0.764219491472139,-40.81714447011535,-77.17692878173692,36.35978431162157
