,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.8929683746964945,-72.24719895935547,-78.2677988726351,6.020599913279625,0.005,0.9527559208791098,-76.61773217688305,-83.29049477726602,6.672762600382967,0.005,0.830580684936654,-79.95214680479239,-87.85744886954761,7.905302064755219,0.005,0.327246486256873,-84.2686300763161,-90.69292932206596,6.424299245749864
1.0,0.005,0.9208064503219326,-74.74597369152148,-84.28839878591472,9.542425094393238,0.005,0.9912949847935755,-76.07427175702632,-78.48154062825203,2.4072688712257104,0.005,0.8564105894146783,-83.12477957752014,-125.71458937748396,42.58980979996382,0.005,0.2575489735123686,-84.61962592254369,-96.84509398148975,12.225468058946063
2.0,0.005,0.9239139898784657,-68.03013165305762,-80.76657360480111,12.736441951743487,0.005,0.9757334828310925,-78.03958819326263,-102.84624262617582,24.80665443291319,0.005,0.982225062226715,-68.94819402615292,-98.9995929455446,30.051398919391687,0.005,0.5496758358385966,-75.65810372627561,-79.82759215438,4.169488428104387
3.0,0.005,0.8209582841356766,-72.24719895935547,-74.74597369152148,2.4987747321660123,0.005,0.9841722421948321,-78.14481471159935,-97.94196921218294,19.797154500583588,0.005,0.8622858170411726,-79.61665869019913,-83.01495344057605,3.3982947503769196,0.005,0.44017196670091224,-78.5429880772481,-104.21442253041435,25.671434453166256
4.0,0.005,0.9063421356210591,-74.74597369152148,-133.97940008672037,59.23342639519889,0.005,0.9907261945053459,-79.01531032293593,-84.38806729063869,5.372756967702756,0.005,0.8829796426270674,-79.44010665302433,-99.36421900129724,19.924112348272914,0.005,0.2628989712688653,-86.96739851501857,-98.32430907500573,11.356910559987156
5.0,0.005,0.8408757467782297,-76.32959861247397,-133.97940008672037,57.6498014742464,0.005,0.9968228714660832,-79.18540528553348,-102.65495242985088,23.469547144317403,0.005,0.8604237521828733,-81.74169763612481,-106.60872039129293,24.867022755168122,0.005,0.1994982753961666,-86.84835426500777,-91.56012326572235,4.7117690007145825
6.0,0.005,0.5773098379714627,-78.2677988726351,-80.76657360480111,2.4987747321660123,0.005,0.8772618695126198,-88.51401226667798,-91.82244697206777,3.308434705389786,0.005,0.6966261249373333,-84.66619295508423,-95.09498009684441,10.428787141760182,0.005,0.26174133460099924,-85.72379943659126,-115.82844770982747,30.104648273236208
7.0,0.005,0.5556395216307494,-78.2677988726351,-90.30899869919435,12.04119982655925,0.005,0.5744598029343178,-91.48641202288402,-129.20245460857092,37.71604258568689,0.005,0.8141569102254153,-84.62762094060749,-91.01020818889198,6.382587248284494,0.005,0.22849509606873797,-88.32899596904964,-104.24617837256123,15.917182403511589
8.0,0.005,0.6316635538564491,-80.76657360480111,-84.28839878591472,3.5218251811136128,0.005,0.8616227751165301,-91.06509946964405,-105.31602753001367,14.250928060369617,0.005,0.7638986644410171,-84.40879409664922,-95.6443462827504,11.235552186101188,0.005,0.09940511088513874,-88.35962513033638,-118.97085292646167,30.61122779612529
9.0,0.005,0.8868513180774287,-72.24719895935547,-78.2677988726351,6.020599913279625,0.005,0.9434769562332344,-84.25607276426294,-88.65983912680348,4.403766362540537,0.005,0.9495924875649134,-77.14293349376793,-80.54223647291894,3.3993029791510168,0.005,0.27544465364506543,-85.331155119017,-101.78642580628905,16.455270687272048
