,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0325,0.9953937416961199,-9.30991573875343,-28.52503136309138,19.215115624337948,0.005,0.9887864348923137,-30.526367160981582,-35.92665720195675,5.400290040975168,0.035,0.9958760236009958,-9.586602672623567,-29.005358681024727,19.41875600840116,0.005,0.9693682242590127,-27.929704203054992,-46.891018656311665,18.961314453256673
4.0,0.035,0.9898394866349026,-9.298310308391889,-38.13847802765047,28.84016771925858,0.005,0.9954811475621359,-27.02375505504667,-30.58021534816474,3.556460293118068,0.0375,0.9915291784192622,-8.351699492016314,-29.77488829851402,21.423188806497706,0.005,0.9494940221116647,-31.713043077276588,-40.1521671415892,8.439124064312615
5.0,0.055,0.9915617250202472,-5.827665412499016,-22.57188811549987,16.744222703000855,0.03,0.9978421159201948,-11.129181180090185,-11.59052068716713,0.4613395070769446,0.035,0.9852159278020663,-9.765691690686944,-31.543651259345996,21.77795956865905,0.02,0.9660825640109062,-13.594094504339058,-44.043493548196466,30.449399043857408
6.0,0.0375,0.9631873856514267,-8.745664535831283,-20.122259538841476,11.376595003010193,0.025,0.9793947439179969,-10.83595247530896,-33.222137608629325,22.386185133320364,0.0275,0.9673059490655673,-11.171243611236505,-25.262102092304204,14.090858481067698,0.02,0.941895306665705,-15.058175962077607,-54.99011395242448,39.931937990346874
7.0,0.0375,0.9802282131618856,-7.970205768179241,-20.138404319768625,12.168198551589384,0.0225,0.9871100234313192,-13.63828698389308,-20.801229614695927,7.162942630802847,0.0225,0.9769089537911734,-12.709749878666239,-30.454575832172274,17.744825953506037,0.0175,0.9408835551160275,-14.79420540747438,-44.42542055020358,29.631215142729204
8.0,0.045,0.9798275941363602,-7.603800728881186,-28.56757458106365,20.963773852182463,0.02,0.9808408564919827,-15.245341473906075,-24.614130589952875,9.3687891160468,0.03,0.9878494423597797,-11.38334704227173,-20.598361867640396,9.215014825368666,0.0175,0.9270070048748367,-15.888803190971155,-43.32731181319926,27.438508622228106
9.0,0.0425,0.9690704694444047,-6.533802840154127,-16.3365501051524,9.802747264998274,0.02,0.9657261927906233,-15.316730718142155,-26.302154149521073,10.985423431378917,0.03,0.9798874430577815,-10.274189948912325,-20.28867934812328,10.014489399210957,0.015,0.897175405977568,-18.032929885494916,-46.04721870764422,28.014288822149304
10.0,0.04,0.9350606585661857,-8.423070751086962,-25.573216711008495,17.15014595992153,0.01,0.8680839891078207,-23.145366695067025,-37.51012806623918,14.364761371172158,0.0375,0.9611357266168397,-7.979085632291868,-19.69178409014429,11.71269845785242,0.0175,0.9510546455505994,-15.968716019161203,-30.636215106320122,14.66749908715892
11.0,0.0375,0.9309870539545618,-9.064882522800106,-10.843669977023785,1.7787874542236786,0.01,0.8754480558881392,-23.920969424604,-33.64942847860238,9.728459053998382,0.0325,0.9416123118218802,-10.38459262330473,-19.846179426966692,9.461586803661962,0.0175,0.976632252928968,-16.050246585066553,-38.56147956290129,22.511232977834737
12.0,0.0325,0.9409087848647969,-8.18450060125838,-27.07565045043964,18.89114984918126,0.01,0.9464493364472748,-23.96153196892773,-33.959504411886314,9.997972442958584,0.0275,0.9596890299891382,-9.976931064392135,-23.50666129568912,13.529730231296986,0.0125,0.9719141817167638,-19.889799459357526,-32.977017691979114,13.087218232621588
13.0,0.0225,0.9250591510015206,-13.049683519639109,-18.909822337262476,5.860138817623367,0.005,0.8521230431238311,-31.118265720072706,-42.48667190684596,11.368406186773257,0.0175,0.9372967916800312,-15.617165306238217,-36.03410212124577,20.416936815007556,0.01,0.9839208671186376,-20.436298464384652,-37.208471863060296,16.772173398675644
14.0,0.0225,0.9324353444616452,-13.666487848514173,-29.340162628186267,15.673674779672094,0.005,0.9422612469968042,-28.85854180969187,-59.55484657471494,30.696304765023065,0.02,0.9402649731792138,-14.60170940034118,-29.701600266813305,15.099890866472125,0.01,0.9868591790534414,-21.797208801261966,-24.76981936245016,2.972610561188194
