,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.005,0.5873529080730714,-80.76657360480111,-90.30899869919435,9.542425094393238,0.005,0.9988051881245813,-100.55902710585625,-100.80844429847218,0.24941719261593676,0.005,0.3224947784879789,-92.79640711912405,-102.56391501816589,9.767507899041831,0.005,0.3137930733705839,-87.73630376004193,-99.31859367206918,11.58228991202725
7.0,0.005,0.6862288249044715,-72.24719895935547,-76.32959861247397,4.0823996531185,0.005,0.951966652273861,-81.9934333986704,-81.9934333986704,0.0,0.005,0.31279353213597916,-85.23026324069457,-117.82813057814792,32.59786733745335,0.005,0.2718710591196501,-80.34750490530057,-90.56448406501607,10.216979159715507
8.0,0.05,0.9999695471461112,-0.8051666601534956,-4.886577585111699,4.081410924958203,0.005,0.9999256312852756,-37.0074266064815,-37.0074266064815,0.0,0.0225,0.9996274141232865,-12.838915444846485,-17.207180034335167,4.368264589488682,0.0125,0.9994597251256853,-19.11786370124605,-22.773332707076896,3.655469005830845
9.0,0.1,0.9993095518331195,-0.08845286426735377,-10.536036194479335,10.447583330211982,0.1075,0.999943825567761,1.0390875972586804,-3.5759203064037752,4.615007903662455,0.075,0.9953577656350283,-2.2136045799851525,-23.099435343841968,20.885830763856816,0.015,0.9544858221988199,-18.034662677901927,-38.23075341593997,20.196090738038045
10.0,0.0675,0.9929043323893708,-1.2686673799433998,-23.87703008988748,22.608362709944082,0.0875,0.9999819137592696,0.02561415026670366,-10.98143696991179,11.007051120178494,0.0175,0.9456702633803127,-14.336335804807018,-26.236307395690464,11.899971590883446,0.01,0.9375902429041469,-23.115041329857497,-49.44254150173113,26.32750017187363
11.0,0.05,0.9926187530077176,-5.936713304292473,-14.686821984605029,8.750108680312556,0.0375,0.9999746496294594,-9.042917033797048,-17.5427633735707,8.499846339773653,0.0175,0.9527918256799948,-15.283717487593766,-50.20208363099795,34.918366143404185,0.005,0.9348582867220622,-34.70806019780182,-47.85059589882415,13.142535701022332
12.0,0.0475,0.9949687996856369,-5.849469701326532,-10.105544633458784,4.256074932132252,0.0375,0.9999521259598972,-8.848848178666334,-25.399378469135886,16.550530290469553,0.015,0.9523999583704431,-16.835382710316072,-18.912355987108057,2.0769732767919855,0.005,0.9035312831302236,-46.37339515498999,-64.63342630327757,18.26003114828758
13.0,0.0475,0.9955387674948163,-5.203066061107554,-15.318910221671512,10.115844160563958,0.0375,0.9999506622934409,-8.914912225773644,-23.641022788185477,14.726110562411833,0.02,0.9683433802035806,-14.976807703922947,-20.55607408463333,5.579266380710383,0.01,0.9928155268279147,-24.563658363692458,-30.06812873029636,5.5044703666039005
14.0,0.0575,0.9924145127514626,-5.119510308572849,-18.002625566964777,12.883115258391928,0.0375,0.9999619075651528,-8.99805596113532,-10.082060570837694,1.0840046097023741,0.025,0.9742772459170236,-12.331011597366079,-22.786132475469895,10.455120878103816,0.01,0.9514750560585652,-21.908590690727628,-38.98652717235664,17.07793648162901
