,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.01,-0.008182335452867782,-25.383952453207918,-74.74597369152148,49.36202123831357,0.005,-0.10190141719325609,-47.35103628484584,-55.973058670836735,8.622022385990896,0.0075,-0.05522701699965152,-24.762193444413207,-57.320940229377925,32.55874678496472,0.005,0.011201038219857953,-31.99757987738223,-36.54533912306009,4.5477592456778595
7.0,0.015,0.019626747055522874,-17.171708868216015,-90.30899869919435,73.13728983097833,0.005,-0.16406590740760973,-54.527531689817636,-92.37838454360393,37.85085285378629,0.0125,0.11275607528756643,-19.85198073552551,-105.05731331149101,85.20533257596551,0.005,-0.0013225819864341646,-26.982945340975448,-93.95383953610306,66.97089419512761
8.0,0.005,-0.005105905295620006,-78.2677988726351,-90.30899869919435,12.04119982655925,0.005,0.055748483926450654,-86.20899393301309,-96.24139035830137,10.032396425288283,0.005,-0.04356212915054803,-96.06417218290234,-102.9182183308012,6.854046147898856,0.005,0.03400435636833283,-89.01322279190437,-101.93643798226155,12.923215190357183
9.0,0.005,-0.004492195536203197,-78.2677988726351,-90.30899869919435,12.04119982655925,0.005,0.04293289557626309,-94.75829275113804,-113.18420691493054,18.4259141637925,0.005,-0.07479266018301421,-98.38696900023041,-105.41033968364891,7.023370683418506,0.005,0.04855154554693445,-89.6157358096127,-106.23011243672643,16.614376627113728
10.0,0.02,0.010917028456240537,-14.482204619891569,-23.83158656838418,9.34938194849261,0.005,-0.010989940884990642,-36.50196319758086,-67.89367317318371,31.391709975602858,0.02,0.04344304324261388,-14.59166951116671,-15.77739706761243,1.1857275564457197,0.01,0.013048896798003402,-21.250989558266916,-37.072560667941225,15.82157110967431
11.0,0.0475,0.015282006274386454,-6.3314601543233,-133.97940008672037,127.64793993239708,0.005,0.1924857094852193,-43.09621728319313,-77.27866522096208,34.182447937768956,0.0325,0.05767845412933945,-9.14219863087408,-96.17388470945087,87.0316860785768,0.0175,0.06737532241447466,-16.177763854508473,-99.10730419056442,82.92954033605595
12.0,0.005,0.02461009255948665,-80.76657360480111,-133.97940008672037,53.212826481919265,0.005,0.9128626209157754,-71.28516143166573,-84.95117300637361,13.66601157470788,0.005,0.033736791994846665,-93.52857027438216,-103.87517606943678,10.346605795054614,0.005,-0.008236344930377176,-91.57224357546069,-104.4044502261076,12.83220665064691
13.0,0.005,0.43720727403532933,-90.30899869919435,-133.97940008672037,43.67040138752603,0.005,0.2559213173476062,-80.80509071685134,-114.41718918448599,33.61209846763465,0.005,0.24524068474122637,-99.19855376111114,-133.97940008672037,34.78084632560923,0.005,0.08613300332871937,-93.03846435318944,-133.97940008672037,40.940935733530935
14.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9199504338293258,-93.38332070881462,-107.664225865556,14.280905156741383,0.005,0.9984053975248515,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,-0.9978527461704866,-119.99999999999999,-133.97940008672037,13.97940008672039
