,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0225,0.9178822176051719,-11.914888008211937,-22.958153228782827,11.04326522057089,0.005,0.9986716474113395,-30.507731122552716,-49.349566217339984,18.841835094787267,0.01,0.9592369291495181,-20.57567393827135,-24.590855269224562,4.015181330953212,0.0125,0.9016282873411117,-17.056937004167544,-20.749522099989377,3.6925850958218334
4.0,0.0825,0.9873388937239616,-1.8277081908446011,-19.52998745890713,17.70227926806253,0.025,0.9841337821368473,-13.289449430458928,-19.02375884158062,5.734309411121691,0.075,0.9906348047586986,-2.985693627803702,-30.832615602244893,27.84692197444119,0.0125,0.7075015692338167,-19.87685394651374,-37.524990470039725,17.648136523525984
5.0,0.055,0.9402019775516297,-5.101845866471314,-12.704163181284752,7.602317314813438,0.02,0.9848721822519877,-14.701657486914254,-22.64799479397024,7.9463373070559875,0.0425,0.9672049875949108,-7.312591835486372,-16.314959776162993,9.00236794067662,0.02,0.6694365890385487,-14.813605003052752,-32.43488835884867,17.621283355795917
6.0,0.0525,0.9282722564073596,-4.661541950706749,-20.93319345720214,16.27165150649539,0.0175,0.9794466638955822,-15.259252794651808,-28.75464533193164,13.495392537279834,0.0375,0.9626551063613766,-7.962134299217053,-67.04815354013316,59.0860192409161,0.02,0.6468181919351031,-14.309298155659494,-27.66671316942064,13.357415013761145
7.0,0.045,0.9234987807496882,-7.498209359747516,-18.132062252666124,10.633852892918608,0.015,0.9718556533939141,-17.47197855995298,-19.93712494936944,2.4651463894164607,0.03,0.9575406820392407,-10.499836275476333,-16.661984138317486,6.162147862841152,0.02,0.6138968591912625,-15.488393143493335,-48.27709181849503,32.7886986750017
8.0,0.0425,0.9004698141353497,-7.0249167127136944,-12.585955059778424,5.56103834706473,0.015,0.9631712120711671,-17.132234793733264,-17.132234793733264,0.0,0.03,0.95104940926871,-11.388673153162847,-26.093467798900065,14.704794645737218,0.02,0.6169836640776206,-14.846516085350231,-38.47627248758679,23.62975640223656
9.0,0.0475,0.9056408490904705,-6.140171570423011,-42.14419939295736,36.004027822534354,0.0175,0.9712173986403729,-16.449977040880764,-17.713516219247865,1.2635391783671004,0.035,0.9468725875933058,-8.875580388390336,-26.577952592040063,17.702372203649727,0.025,0.7300300211795764,-12.147579227745759,-32.31572706347572,20.16814783572996
10.0,0.0525,0.891202080725733,-5.924121254288046,-16.854114733062374,10.929993478774328,0.015,0.9511421021652946,-17.53372045243343,-20.068505003244795,2.5347845508113664,0.035,0.9481992938904424,-9.58046843006316,-25.64160591918684,16.06113748912368,0.0225,0.7237443761057596,-12.68636037669981,-19.86634550891844,7.179985132218629
11.0,0.055,0.8658717527420311,-5.050489312557726,-15.135301701545538,10.084812388987812,0.015,0.9631395880556002,-18.07565425960566,-19.610262855430143,1.5346085958244835,0.0325,0.937728528551859,-9.627505483500435,-17.110654558040213,7.483149074539778,0.025,0.6631006920531386,-13.339077820329239,-80.49252767968707,67.15344985935783
12.0,0.0425,0.8541487887107931,-7.257728414063567,-16.224271953018604,8.966543538955037,0.0125,0.9503890354568963,-19.641492561838724,-22.12686327637007,2.4853707145313457,0.0275,0.9363169314273181,-11.083819237680618,-36.34081776979987,25.25699853211925,0.025,0.7071605023198115,-12.068863466302059,-27.33157172018432,15.262708253882263
13.0,0.0525,0.8776070617811148,-5.773392962903113,-19.36828070439415,13.594887741491036,0.015,0.9311641302852883,-18.016948349292655,-19.870358098547886,1.8534097492552313,0.0275,0.9407623310078809,-10.906878049930025,-16.481060926979538,5.5741828770495125,0.0275,0.7043867596053628,-11.728218830109947,-15.337968020562831,3.6097491904528844
14.0,0.0475,0.8625242383219986,-6.15900423304825,-48.164799306236986,42.005795073188736,0.015,0.9705082377421589,-17.432692790381644,-19.565108816956347,2.1324160265747025,0.03,0.9281829817890611,-9.97235464581909,-35.151839950759836,25.179485304940748,0.035,0.7582305706536714,-10.08472523688119,-23.292757964336246,13.208032727455056
