,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.065,0.9990948597293388,-3.6618456306921177,-4.8503631114529435,1.1885174807608259,0.0275,0.9999683884162619,-10.192133985878446,-10.192133985878446,0.0,0.0375,0.9977632036695245,-8.405655929226127,-13.739665704138924,5.334009774912797,0.005,0.8824920882049796,-26.749322410680154,-35.03040693582773,8.281084525147573
6.0,0.0925,0.9973906750370469,-0.07453916955474803,-5.99889113455799,5.924351965003242,0.06,0.9999196356391059,-4.076540297141859,-6.338095474854608,2.261555177712749,0.0525,0.9931664661215579,-5.2205433903456715,-15.397339783542513,10.176796393196842,0.03,0.9426084532858513,-11.381053559338081,-26.278900254881243,14.897846695543162
7.0,0.085,0.9970680154048558,-1.0245747485053733,-9.073165915514133,8.04859116700876,0.05,0.9999127747271035,-6.1260553324332365,-10.773067010760528,4.647011678327291,0.05,0.9926226013116238,-6.466700685078218,-29.340274470751684,22.873573785673464,0.025,0.9369544391081823,-12.088221357241443,-33.462232397509354,21.37401104026791
8.0,0.0875,0.9968604222601393,-0.918449115454081,-8.471440706606097,7.552991591152017,0.05,0.9999164370388208,-6.677098228482978,-55.08836342923761,48.411265200754634,0.0475,0.9916265096769882,-6.163793240255602,-11.274820211325178,5.111026971069576,0.0225,0.9544933450985678,-13.31355588350555,-20.509686902270936,7.196131018765385
9.0,0.0625,0.9988410373783309,-3.7031588698312308,-13.052065499535583,9.348906629704352,0.045,0.9998740633854463,-6.965091497056623,-11.358668172299364,4.393576675242741,0.035,0.9963620629604292,-9.37123358776801,-21.490515239401997,12.119281651633987,0.0125,0.9496991655921001,-19.763731753703404,-41.88929671781503,22.125564964111625
10.0,0.08,0.9978038401005938,-1.8578584568071579,-7.914645517084459,6.056787060277301,0.045,0.9999408564044473,-7.320543036459418,-9.270866559830475,1.9503235233710567,0.05,0.9949621833775163,-5.4289049142979895,-12.041861720329441,6.612956806031452,0.025,0.9310195189340006,-12.056348476031895,-54.44237286063145,42.38602438459956
11.0,0.0925,0.9953106402042752,-0.5540737977455439,-9.367397242869227,8.813323445123684,0.045,0.9999278602473248,-7.646531582581469,-10.341602762278956,2.6950711796974876,0.06,0.9941533105973921,-4.521719042119888,-28.275734544400535,23.754015502280648,0.035,0.9238572050519595,-9.59014489773107,-29.902237078230343,20.31209218049927
12.0,0.09,0.9967416204077725,-1.0967541684977797,-2.7862228575847325,1.6894686890869528,0.045,0.9999106734898582,-7.1298220956877,-44.02607783135969,36.89625573567199,0.065,0.9942033273628048,-3.5878298717308383,-15.07209660095835,11.484266729227512,0.0225,0.9301811144426815,-13.36235442266182,-58.28834676945807,44.92599234679625
13.0,0.085,0.9975720327912694,-0.9211012505272753,-7.254061418665138,6.332960168137863,0.045,0.9999205868445445,-7.671601911851194,-11.78617171146341,4.114569799612217,0.065,0.9951516854282758,-3.4736459281913112,-20.54854640346404,17.07490047527273,0.015,0.93235967036213,-17.62625059817311,-45.052036282779596,27.425785684606485
14.0,0.1,0.9993860595201356,0.0,-1.0892387323443569,1.0892387323443569,0.1125,0.9997326096912421,0.9728569431554628,-1.8323706216050797,2.8052275647605427,0.045,0.9956609608677534,-6.711183922827322,-30.86315208389369,24.15196816106637,0.01,0.8951814995751365,-22.120305544802598,-42.758233282919505,20.637927738116908
