,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0275,0.8144775529753673,-11.894013473680191,-11.894013473680191,0.0,0.005,0.9998121847547348,-48.45350261963659,-48.45350261963659,0.0,0.015,0.9075403138406973,-17.00465016302313,-17.90702401120808,0.9023738481849506,0.0125,0.8167400230299527,-17.990155016718127,-22.278331487527318,4.288176470809191
6.0,0.1,0.7845133251026482,0.0,-9.638915240290864,9.638915240290864,0.0625,0.991996532243345,-4.429483039334887,-8.584865373860119,4.155382334525232,0.0875,0.8511407548338619,-0.9950349391076514,-9.006704948096065,8.011670008988414,0.0525,-0.1102631231819887,-5.500321656117704,-23.29994192744101,17.799620271323306
7.0,0.095,0.756270673360691,-0.008751794034050091,-13.784910229209304,13.776158435175255,0.04,0.9806587452878276,-8.600787467671237,-14.876360123077825,6.275572655406588,0.07,0.7759833133989239,-2.963740011645271,-33.64410163920021,30.680361627554937,0.04,0.15792688561549983,-7.791789440661585,-44.00802666267572,36.21623722201413
8.0,0.0825,0.763165264100425,-1.0751272923684647,-23.276937250811777,22.201809958443313,0.03,0.965001225095136,-10.125561200859947,-22.74174501176365,12.616183810903705,0.0675,0.8106480761416299,-1.9452286050063128,-13.255282122342251,11.310053517335938,0.03,0.5310477586388689,-11.232392302911585,-23.496548134790505,12.26415583187892
9.0,0.085,0.7758557477672462,-1.5191868914006879,-29.632484820128152,28.113297928727462,0.035,0.9774747898513552,-8.601998755621063,-33.93573864694152,25.333739891320462,0.0625,0.6870824762993774,-4.415409702462184,-9.26628275758645,4.850873055124267,0.025,0.696658930135753,-13.838071527500237,-31.642019286308262,17.803947758808025
10.0,0.0725,0.7604711117074193,-2.501956182529898,-15.534972690500162,13.033016507970263,0.0325,0.9876494803993221,-9.483773429565131,-16.05216142524406,6.568387995678927,0.0575,0.701342699805677,-4.962533578260554,-14.169932814177697,9.207399235917144,0.0225,0.49314700441856724,-13.802388088871853,-43.909843628443646,30.107455539571795
11.0,0.06,0.678796824403566,-3.7892493749055225,-21.14228617935541,17.353036804449886,0.02,0.9589268796321967,-14.873286151681512,-29.60876793649723,14.735481784815718,0.05,0.6562323990543255,-6.579482625586447,-27.974023478617738,21.39454085303129,0.015,0.6456773858084947,-17.335539810730836,-19.014491418370024,1.6789516076391884
12.0,0.0475,0.7199525870771999,-5.979874400879522,-23.28854164751188,17.30866724663236,0.015,0.9696344227302602,-16.731034467316714,-28.987468709567025,12.256434242250311,0.04,0.745887401340547,-7.452920270820197,-18.09244489740257,10.639524626582372,0.0175,0.12169770256745197,-15.689203377502793,-26.656567807665454,10.967364430162661
13.0,0.05,0.5887568013463617,-5.529519715473448,-12.524085481334765,6.994565765861317,0.01,0.8039911814384019,-20.98479784187569,-21.46154499021926,0.4767471483435699,0.0475,0.5445226837963842,-6.039378870374867,-22.75631234724677,16.7169334768719,0.02,0.597140283130418,-14.36262898965353,-25.34243601372529,10.97980702407176
14.0,0.0525,0.14516601223077638,-5.937238369406011,-10.16685103971321,4.229612670307199,0.02,0.31042089779755966,-15.513831531618727,-20.239860845214196,4.726029313595468,0.0425,0.08448919877144166,-7.7146604336125915,-18.800660882248028,11.086000448635437,0.0275,0.4526504738461952,-11.359499834875495,-40.34848304332979,28.9889832084543
