,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
8.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
9.0,0.02,0.6103619432953507,-14.15829813781729,-25.285971835687263,11.127673697869973,0.005,0.9466062939044838,-45.84736572567653,-50.51921743960971,4.671851713933179,0.0175,0.6055837032219429,-14.824106890067752,-24.41636961651081,9.592262726443058,0.005,0.8039805388361261,-32.6315553159821,-35.27689264395643,2.6453373279743317
10.0,0.0225,0.6688318656525495,-12.92906064945165,-16.40637274511384,3.477312095662189,0.005,0.9643831367070266,-40.72781219100631,-54.772958944033675,14.045146753027367,0.02,0.6636183643328907,-14.215816357414642,-60.09175396416609,45.87593760675145,0.005,0.7467823333986221,-32.09532922874522,-46.62919285198874,14.53386362324352
11.0,0.02,0.627330298214988,-15.569919623531437,-18.63369133349436,3.063771709962925,0.005,0.9767094935503425,-35.592531199858996,-50.84766657235427,15.255135372495275,0.02,0.6221684651552208,-13.800581824363627,-16.948957407050052,3.148375582686425,0.005,0.8153239642574487,-30.4727576561706,-44.528734016971576,14.055976360800976
12.0,0.0225,0.7105009815885601,-13.291175016475878,-47.63822053179,34.34704551531412,0.005,0.9761266443282943,-34.43977281754689,-47.87225188958501,13.43247907203812,0.0225,0.7093331893607627,-13.858647238680575,-20.745105315875144,6.886458077194568,0.005,0.6503213252942304,-29.28797506744312,-63.91303067540498,34.62505560796186
13.0,0.0225,0.6987652024690454,-13.460558632041362,-27.33694560307249,13.876386971031128,0.005,0.9803047425190018,-30.838758547876246,-54.46269446038181,23.623935912505566,0.025,0.684480022109549,-13.221376214335088,-35.22708617063911,22.005709956304024,0.005,0.5174560756072588,-33.57989810610951,-47.679174793047295,14.099276686937785
14.0,0.02,0.8245037549250341,-14.524437553847655,-24.336303036705647,9.811865482857993,0.005,0.9835198761281876,-28.911619026587594,-33.21948338613455,4.307864359546954,0.0175,0.8068257766545204,-14.65796936181609,-24.142772355046734,9.484802993230645,0.005,0.6987896822913051,-35.96859137723911,-47.980056874358674,12.011465497119566
