,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.005,0.962128697258053,-63.86461280451597,-84.28839878591472,20.42378598139875,0.005,0.9999965031085075,-107.39060199306664,-107.39060199306664,0.0,0.005,0.998389417903593,-69.12690719219201,-87.83368899073821,18.706781798546203,0.005,0.9229471985211637,-69.70618067632186,-74.16175399531207,4.455573318990204
8.0,0.01,0.6909377473783279,-20.83050483087121,-31.854489539329155,11.023984708457945,0.005,0.9915941879493455,-50.144674577060556,-68.68319479388595,18.53852021682539,0.0075,0.5521189852970642,-25.74850151770253,-25.74850151770253,0.0,0.005,-0.057332774429948524,-27.09733452376255,-40.21175050229555,13.114415978533
9.0,0.0625,0.8525469307279515,-3.6930148824613864,-12.45597802164835,8.762963139186965,0.0375,0.9675727838319524,-8.565189923022773,-30.44728823144172,21.882098308418946,0.0325,0.7773813581552095,-10.19242418025109,-31.895714236357193,21.703290056106106,0.0125,0.16427324067304303,-17.16586899476074,-35.45784582578928,18.29197683102854
10.0,0.0675,0.9504958902169495,-2.532770429723887,-26.547311224895594,24.01454079517171,0.06,0.9875688071961632,-4.18169352307798,-8.605895734936874,4.424202211858894,0.025,0.5672146797519119,-12.238018835194103,-35.669584791631294,23.43156595643719,0.01,0.20113133015425289,-21.75438557303357,-65.94255717626578,44.188171603232206
11.0,0.05,0.8854787105994003,-5.560637578269637,-36.73863111839208,31.17799354012244,0.0375,0.982325259973412,-8.625107850247309,-17.978380759261498,9.353272909014189,0.02,0.5750431825838617,-13.867626780248097,-30.58409955938256,16.716472779134463,0.01,0.1620302933634275,-21.428500290944893,-29.82228717008564,8.393786879140748
12.0,0.0425,0.8221061715572745,-6.9072864118765755,-21.350341387350756,14.44305497547418,0.03,0.9673492491219909,-10.036923285122176,-21.660215825372404,11.623292540250228,0.02,0.6067967828754489,-15.093575612180762,-27.497113344443513,12.40353773226275,0.01,0.14332221797719277,-20.462664852222595,-31.0191550273672,10.556490175144607
13.0,0.0325,0.7141227349783995,-9.688913071923622,-21.031138919476213,11.34222584755259,0.02,0.9653244838182611,-14.547484102754245,-27.61556426565967,13.068080162905426,0.02,0.6043113331866614,-14.2288238818787,-27.583443562749338,13.354619680870638,0.015,0.08450708316262001,-17.820927568948765,-29.54133721828619,11.720409649337427
14.0,0.0325,0.7276930860623485,-9.765269462459637,-18.57500266671337,8.809733204253734,0.02,0.9691572887904977,-13.808023752560283,-25.31569287089907,11.507669118338788,0.02,0.6455128293655623,-14.976933729502736,-39.71570676105313,24.73877303155039,0.0125,-0.10442117069724205,-19.183339015260135,-32.07483190962896,12.891492894368827
