,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.005,0.8570387461492415,-84.28839878591472,-90.30899869919435,6.020599913279625,0.005,0.9965063578772939,-95.11927191411539,-125.28129364203613,30.162021727920745,0.005,0.7462313559221151,-91.80850004710054,-108.63810565114395,16.829605604043408,0.005,-0.0427959259418725,-93.63774516979441,-133.53920927591093,39.90146410611652
7.0,0.0025,1.0,-84.28839878591472,-84.28839878591472,0.0,0.005,0.9999184718578216,-91.05283323853362,-102.41823416661794,11.365400928084313,0.005,0.9999913400634872,-93.96332625173513,-122.82172244554913,28.858396193814002,0.005,0.9999328742982382,-96.60945286567076,-133.97940008672037,37.369947221049614
8.0,0.0825,0.9829079178477368,-0.0002650763603796191,-13.821274652818879,13.821009576458499,0.0425,0.9999905084498014,-7.142634196515047,-8.032918588737473,0.8902843922224264,0.0375,0.9933075817001262,-7.412896784799386,-25.49308385503359,18.080187070234203,0.0475,0.9502987609779598,-5.198685055383759,-20.563365339727056,15.364680284343297
9.0,0.085,0.9683337678068601,-1.3111036595701386,-22.828703893356128,21.517600233785988,0.055,0.9998681465151316,-4.165372584411272,-7.391946011547078,3.226573427135806,0.02,0.8620847541070825,-14.258072448770207,-27.759998148199667,13.50192569942946,0.0275,0.6930583445787406,-11.782420102785586,-33.61639525483341,21.83397515204782
10.0,0.0675,0.9674138348738293,-3.061611449173387,-9.235907533379411,6.1742960842060235,0.0425,0.9984562705605287,-7.3667781848671945,-25.998846828132486,18.632068643265292,0.0375,0.9851350414858325,-9.042140474851298,-29.261537210075318,20.21939673522402,0.02,0.5889538478601084,-14.015522354261591,-27.65231634961537,13.636793995353777
11.0,0.0625,0.9595203471251491,-3.216459162135377,-11.997836390963947,8.78137722882857,0.0275,0.9959194551301092,-11.863821939095683,-20.003208291392525,8.139386352296842,0.0425,0.994713393635291,-7.882191741237947,-34.83405419255974,26.951862451321794,0.02,0.5785487460793338,-15.706613096368635,-19.495161421444795,3.7885483250761602
12.0,0.06,0.9551220282559776,-4.345915672730643,-18.888805253008258,14.542889580277613,0.0225,0.9965329782763888,-12.49734302464276,-31.31386826964947,18.81652524500671,0.045,0.9876708484611474,-7.4083201756906005,-21.922418316018945,14.514098140328343,0.0175,0.49546741869032307,-15.783276217188432,-31.138018680309045,15.354742463120614
13.0,0.06,0.972993201934189,-4.478513799033045,-10.96459350353501,6.486079704501965,0.025,0.997811597120268,-11.8772834914664,-25.797474486673533,13.920190995207133,0.0425,0.9902745836961495,-7.341585872666974,-12.598510696262613,5.256924823595639,0.015,0.5335420406189082,-17.77027768647912,-37.39793097937385,19.627653292894728
14.0,0.0625,0.9573356781294028,-4.317545364024463,-16.506849910067746,12.189304546043283,0.025,0.998562118572905,-12.240604502900123,-20.29819450487697,8.057590001976848,0.0425,0.9719955035721658,-7.854820515532513,-25.555962918865028,17.701142403332515,0.0125,0.5558146172245098,-19.86815451346094,-38.0051160713059,18.13696155784496
