,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.005,0.5134912008644229,-84.28839878591472,-90.30899869919435,6.020599913279625,0.005,0.24247182738640174,-99.93126380615684,-99.93126380615684,0.0,0.005,0.3764756082223898,-101.06016065763316,-107.89165023344214,6.831489575808973,0.005,-0.0018162710444317154,-91.3786028039433,-94.01659405369162,2.6379912497483247
3.0,0.005,-0.45817470493577017,-37.32230152495152,-39.730664693641266,2.408363168689746,0.005,-0.9649009810933088,-73.02416640893645,-73.02416640893645,0.0,0.005,-0.4538446678422436,-37.0383576633253,-41.40109913720998,4.362741473884682,0.005,0.6233081045027156,-55.87237339322398,-99.77308605265779,43.90071265943381
4.0,0.015,0.9021917307813847,-16.795264525206335,-40.73766878731749,23.942404262111154,0.01,0.9928839530230864,-22.672000299649312,-26.47483515963275,3.802834859983438,0.01,0.8265700352604075,-20.661856840459162,-24.53189288846427,3.870036048005108,0.005,0.31038792211424776,-51.71118079595019,-60.43660387661092,8.725423080660725
5.0,0.02,0.9357932604295983,-15.013524360973548,-15.826759619970115,0.813235258996567,0.01,0.9911993842256989,-20.238349593371446,-29.356403709541034,9.118054116169588,0.0175,0.9063689198850483,-15.922319478732387,-24.116463220817955,8.194143742085569,0.005,0.33003128937352516,-51.659018794852685,-66.19615275280347,14.537133957950786
6.0,0.02,0.9264548673023206,-15.196074310060759,-22.181601989809007,6.985527679748248,0.01,0.9862800963017576,-22.401379604719907,-29.160612950573466,6.759233345853559,0.0175,0.9010282815444782,-15.792633403246516,-24.609958620443063,8.817325217196547,0.005,0.11970426164617891,-49.470034713933906,-68.74248112564231,19.272446411708408
7.0,0.0225,0.9192537867794532,-12.788107694272455,-23.62796989225652,10.839862197984065,0.01,0.9826964497000571,-20.362934514816466,-20.838800276990423,0.4758657621739566,0.0175,0.8830670690284428,-14.335015883973439,-36.10136526738843,21.76634938341499,0.005,-0.269795679331,-50.770766350818036,-64.46643922466643,13.695672873848395
8.0,0.025,0.9134548885301814,-12.509525931114434,-12.907947065323459,0.39842113420902514,0.015,0.9526353456535737,-19.031703264868764,-27.93010222792509,8.898398963056326,0.0175,0.8953548590469751,-14.33051310266855,-21.286793779685524,6.956280677016974,0.005,-0.13866082923502823,-47.99816687819998,-68.82429722415758,20.826130345957594
9.0,0.025,0.9271073156290452,-12.916151806162464,-19.096521208195757,6.180369402033293,0.0125,0.9669105240035173,-19.444118054225523,-29.77472439738268,10.330606343157157,0.0175,0.9116624222991808,-14.355914925957716,-20.123660565101822,5.767745639144106,0.005,-0.16202592720068468,-50.12349117129869,-63.95956928150206,13.836078110203374
10.0,0.0225,0.9115020617616593,-12.422677445505588,-36.55841947490166,24.135742029396074,0.015,0.9580063259108237,-19.76481104917968,-20.324154917181293,0.5593438680016121,0.0225,0.8834517010820124,-13.684140790556103,-27.126317722467732,13.442176931911629,0.005,-0.06563527110128259,-49.52153801102132,-60.27517655033429,10.753638539312966
11.0,0.0225,0.9073358599613621,-13.377308641233434,-14.525848860965564,1.14854021973213,0.01,0.9667755510575183,-20.361282267944215,-26.33552797158046,5.974245703636246,0.0225,0.8941789788548199,-13.710644377629723,-32.80345740075983,19.09281302313011,0.005,-0.007938587535213011,-50.85189637687026,-65.04391395421014,14.192017577339882
12.0,0.0225,0.8967234832494851,-12.952580538282898,-18.984964322096097,6.032383783813199,0.01,0.9643441347426148,-20.352443884240515,-30.334233600478658,9.981789716238143,0.0175,0.8529181555836157,-14.15028891187978,-17.674694999469708,3.5244060875899272,0.005,-0.05680370303291176,-50.58051802150167,-76.36115703624665,25.780639014744985
13.0,0.0225,0.9246288415020091,-13.511899007156657,-35.70951298520325,22.19761397804659,0.01,0.9738244030509957,-20.876609937462863,-22.499227920587167,1.6226179831243037,0.0175,0.909341881640157,-14.648437914555002,-23.075792301875442,8.42735438732044,0.005,0.16104974817623874,-50.55525075506462,-60.62784628824487,10.072595533180248
