,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
8.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
9.0,0.0225,0.9995834493856504,-13.617566663190829,-27.146752065308945,13.529185402118117,0.005,0.9996891597429695,-29.28802207393999,-30.360154397362248,1.072132323422256,0.0125,0.9996151145713624,-19.869354842949832,-33.610263648409884,13.740908805460052,0.01,0.9966426429665249,-24.453935839792358,-44.26077873356512,19.80684289377276
10.0,0.09,0.9993880402731055,-0.8507840695458035,-34.33627994547062,33.48549587592482,0.0525,0.9995660119007918,-5.788272133374072,-29.506073303022262,23.71780116964819,0.045,0.9997189177429058,-7.344071836960491,-26.980153150476426,19.636081313515934,0.0325,0.9977239231674264,-8.792011473149925,-34.37640563892142,25.584394165771492
11.0,0.0375,0.9969327983815273,-8.98537703938604,-24.51233161000146,15.52695457061542,0.015,0.9948077736749189,-17.274489913322558,-34.27313882436954,16.99864891104698,0.0225,0.999157844812372,-13.096220775601108,-19.725880088415252,6.629659312814145,0.0275,0.99690994105903,-11.31043510238497,-20.7962402376568,9.48580513527183
12.0,0.035,0.9967777028911736,-10.176928849530393,-29.40719895944609,19.2302701099157,0.01,0.992338406877416,-21.425944332285326,-33.02183592670096,11.595891594415633,0.025,0.9983278811809754,-12.677910153251254,-26.693956135448587,14.016045982197333,0.03,0.998507593124018,-11.050623132700974,-19.37749572733956,8.326872594638587
13.0,0.055,0.9965720634745466,-3.8264849972445654,-18.96944321853293,15.142958221288366,0.025,0.993193705950343,-12.26143946075807,-13.282087721527532,1.0206482607694625,0.0275,0.9960504830402469,-10.680068066417086,-19.645471979409873,8.965403912992787,0.0325,0.9977462437146091,-10.014352564806497,-24.2220502065031,14.207697641696601
14.0,0.0425,0.9967505948265153,-7.882892054000331,-18.814575667495852,10.93168361349552,0.025,0.9994432782623321,-12.575115782410094,-27.362277201114544,14.78716141870445,0.0225,0.994318909405425,-12.393710161647984,-25.5997902141118,13.206080052463815,0.025,0.9962172172788522,-11.846944154602317,-26.47029341137906,14.623349256776743
