,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.005,0.9263956388507734,-65.20354859712823,-71.22414851040786,6.020599913279625,0.005,0.9384226329740143,-77.23274726628313,-77.23274726628313,0.0,0.005,0.9652938796334714,-68.68114672063909,-72.27382841001105,3.5926816893719575,0.005,0.6059912188853961,-79.13348600602757,-96.90268379380734,17.769197787779774
3.0,0.005,0.9136961371923059,-65.70002027162887,-73.40703789890921,7.707017627280337,0.005,0.9043351245285346,-72.71095842505568,-85.74687008858136,13.035911663525681,0.005,0.9720346117399925,-69.57505580353407,-88.44598749633009,18.87093169279602,0.005,0.5474859771008518,-81.66761398552502,-96.01398639611463,14.346372410589609
4.0,0.005,0.9337816089602352,-65.20354859712823,-80.76657360480111,15.563025007672877,0.005,0.940438189057691,-73.52131803054031,-86.70868813327749,13.187370102737177,0.005,0.970339478959484,-72.20725522231864,-73.614299648503,1.4070444261843704,0.005,0.5701045853650114,-80.9255742630555,-92.62046088736751,11.69488662431202
5.0,0.005,0.8493189215670836,-70.30899869919435,-133.97940008672037,63.67040138752603,0.005,0.8989464609838271,-75.4682843315337,-84.08242165860531,8.614137327071617,0.005,0.9663067426814685,-72.17133182239819,-91.19623719171598,19.024905369317793,0.005,0.49445552227177664,-83.02101732489321,-95.46385740721705,12.44284008232384
6.0,0.01,0.26556167725184304,-23.119878296774626,-34.58817449434327,11.468296197568645,0.005,0.9564119170005057,-57.518428277906814,-78.10865949499996,20.59023121709314,0.0075,0.265144760631867,-25.008708797804427,-37.83888425846502,12.830175460660595,0.005,0.2700830346523193,-35.32228122981006,-58.31450495377379,22.992223723963733
7.0,0.015,0.45930576288564323,-18.63369133349436,-20.01273279920865,1.3790414657142875,0.005,0.9400366000374463,-50.01469230115359,-54.199956811148844,4.185264509995257,0.015,0.47077549748161945,-19.21928219136397,-19.226855606030448,0.007573414666477873,0.005,0.24995572006624142,-33.92418724291361,-55.80407762731851,21.879890384404902
8.0,0.015,0.41926141679288575,-17.989997666066337,-24.881461261312868,6.891463595246531,0.005,0.9871865372955899,-47.82258040770596,-68.0216803158731,20.199099908167135,0.015,0.42378447264436814,-17.099505866355184,-21.928080572370988,4.828574706015804,0.005,0.12356320341022273,-35.698095286898365,-62.288889563914225,26.59079427701586
9.0,0.01,0.4982565568798327,-20.1303281781937,-42.246588275678,22.1162600974843,0.005,0.954229336503714,-54.64168394184655,-59.133270023344764,4.4915860814982125,0.0125,0.5136134717931685,-19.5331546922379,-34.34153765728987,14.808382965051969,0.005,0.16142790659085504,-38.609484542453856,-43.912360736992476,5.302876194538619
10.0,0.0125,0.4892389968531561,-19.909815084152992,-32.579184195744716,12.669369111591724,0.005,0.9501318973583033,-51.76177935141554,-58.26852659517586,6.506747243760316,0.01,0.4969888853069073,-20.726835358340367,-28.767884005234304,8.041048646893938,0.005,0.19978922775176342,-42.26628150565507,-49.79253759263257,7.526256086977497
11.0,0.01,0.4806530989604596,-21.350341387350756,-39.96508074019487,18.614739352844115,0.005,0.9716105058660441,-51.331337707880344,-52.15104287171702,0.819705163836673,0.01,0.4723898179990994,-22.35268774385158,-44.84019327227352,22.487505528421938,0.005,0.04598794940259381,-42.87252411862121,-52.63897508063814,9.766450962016933
12.0,0.01,0.3478115604462215,-22.71926242484888,-37.034980191401395,14.315717766552517,0.005,0.9819236919120355,-51.58054468376022,-69.13259946396869,17.552054780208465,0.01,0.35931246057047694,-22.996379820466522,-42.956728155477926,19.960348335011403,0.005,0.32401221810740494,-45.4262305231375,-56.367295845294194,10.941065322156696
13.0,0.01,0.33405490342344013,-24.082399653118493,-32.09651060141033,8.014110948291837,0.005,0.9549260850820419,-57.345023083674455,-91.52361198290181,34.17858889922736,0.01,0.3277814676824277,-23.974987811077916,-61.85983168132019,37.88484387024227,0.005,0.4469107620153847,-44.597382183255746,-54.29667945466968,9.699297271413933
14.0,0.01,0.3645659296039071,-25.003206181977756,-43.15030175918528,18.147095577207526,0.005,0.9655157534002861,-57.52283328201284,-66.98704194947084,9.464208667457996,0.01,0.3611027563238059,-24.86249348616679,-49.46018912875276,24.59769564258597,0.005,0.24854558295382495,-44.72150739924038,-66.47836458688221,21.756857187641828
