,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0275,-0.0534599164481737,-8.404914036757983,-29.481144996029855,21.07623095927187,0.005,0.999366022451604,-68.67586556827635,-68.74736021756105,0.07149464928470195,0.0125,-0.14431299999803415,-17.321105598419255,-17.497185470594538,0.17607987217528276,0.0275,-0.1337742692878399,-9.77234610451948,-32.97542361519135,23.203077510671875
4.0,0.045,-0.5123217958554049,-7.039211535340385,-28.44757257167309,21.408361036332703,0.005,0.6503673752628018,-50.799575879165076,-85.03276950991996,34.23319363075488,0.045,-0.5881862264388444,-6.999174909542457,-21.04081670120044,14.041641791657984,0.0175,0.357975914037196,-15.900538606340785,-33.86884899169523,17.968310385354446
5.0,0.055,-0.5518267611319588,-5.893765619691513,-15.530218075124766,9.636452455433254,0.005,0.10416837644552852,-49.1696658626181,-75.52877323566236,26.359107373044253,0.05,-0.5600396921112539,-5.540554728356142,-22.013544671489022,16.47298994313288,0.0175,0.14003589659353546,-15.111718970221006,-37.45246204614459,22.340743075923584
6.0,0.0425,-0.4109545883110921,-7.230872996416999,-29.664684633234724,22.433811636817726,0.005,-0.6313171648935458,-43.018640322153566,-55.61149330321158,12.592852981058016,0.0425,-0.41493059586870207,-7.011904776783603,-78.2363373452815,71.22443256849789,0.005,0.1080234683595595,-27.268078135737017,-55.67593686418241,28.407858728445394
7.0,0.0325,-0.5741305925826858,-9.848890754195663,-18.293895706401994,8.44500495220633,0.005,-0.5389441412831232,-48.2083879131677,-80.02674705495933,31.818359141791632,0.0325,-0.5744319575862964,-9.686472514629523,-16.05159599107447,6.365123476444948,0.005,0.040546010448875625,-32.14627276803985,-44.722847788303724,12.576575020263874
8.0,0.025,-0.42106930849625523,-12.141443250546466,-24.163357758527436,12.02191450798097,0.005,-0.516831234381985,-50.58015998232088,-60.81580213388625,10.235642151565372,0.025,-0.44131790913491886,-12.274305255025162,-21.933305124635524,9.658999869610362,0.005,0.20635699413097894,-35.030040898788634,-60.923743572340676,25.893702673552042
9.0,0.025,0.05329527118947698,-12.925538152760694,-17.22932055171298,4.303782398952286,0.005,-0.45782300155840255,-51.2712418735199,-60.829801566744344,9.558559693224446,0.025,0.05599296229510257,-13.050129945615723,-15.747081386134624,2.6969514405189017,0.005,-0.024947266923584194,-38.28044506583962,-42.70506679988928,4.4246217340496585
10.0,0.04,0.4149273877136007,-8.280243996417374,-26.134798301066336,17.854554304648964,0.005,-0.35183596875772694,-49.32195403309399,-62.963827141819934,13.641873108725946,0.0375,0.4153134600128467,-8.78248632712199,-43.066792554886575,34.28430622776459,0.005,0.14118949357711572,-35.23937671169092,-76.31814986706621,41.07877315537529
11.0,0.0425,0.04709451875677116,-7.633751003447444,-24.00639235552232,16.372641352074876,0.005,-0.226218193872419,-47.68677890135963,-56.70036179240257,9.013582891042937,0.04,0.0453236966337341,-8.41465585952775,-21.28709500318337,12.87243914365562,0.005,0.06419627464780299,-36.01331666347467,-69.86569939296363,33.852382729488966
12.0,0.045,-0.3747726192850553,-7.060697977065427,-20.620154546346217,13.55945656928079,0.005,-0.10727637594803094,-47.79722958937786,-60.31061294338727,12.513383354009413,0.04,-0.3723746835611543,-7.695085563830127,-19.052789127381903,11.357703563551777,0.005,0.18411987876964975,-35.627922965578904,-40.79244466829846,5.164521702719554
13.0,0.04,0.028587950797534702,-8.287123364461182,-19.9571640849562,11.670040720495019,0.005,0.07850984666138083,-49.769164997662884,-99.36719543128308,49.598030433620195,0.0325,0.02288436176033797,-9.217965176959765,-18.465655448427427,9.247690271467661,0.005,-0.0006307392388546734,-35.95802618288666,-59.827016643285084,23.86899046039842
