,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.005,-0.5904065981759978,-30.0606912039457,-133.97940008672037,103.91870888277467,0.005,-0.8545451118279084,-43.27536030848361,-62.10394928109125,18.82858897260764,0.005,-0.5909873763295794,-35.14011906948482,-64.73790939640982,29.597790326925,0.005,-0.5117194746932573,-36.400508266345845,-98.48643988994314,62.0859316235973
8.0,0.005,-0.5401331239576248,-42.2123243667956,-49.481144996029855,7.268820629234256,0.005,-0.51082871142716,-54.770799092642896,-54.770799092642896,0.0,0.005,-0.47891016414894916,-48.370998251523176,-57.58587113617502,9.214872884651847,0.005,0.01786481530584982,-50.959801162093996,-58.24933091894165,7.2895297568476565
9.0,0.0075,0.045884561477973616,-24.788958899953354,-47.70232332929424,22.913364429340884,0.005,-0.1651004769619518,-47.296557354003006,-49.96363615510664,2.667078801103635,0.005,-0.03390970500333112,-31.61954621405586,-40.44850349693249,8.82895728287663,0.005,-0.002915402575397345,-30.84736986271688,-41.124090596521555,10.276720733804673
10.0,0.0175,0.27835587387593436,-15.517551810192519,-51.03324215228325,35.515690342090735,0.005,0.4603246699294772,-49.53698845056259,-66.27132261009768,16.734334159535095,0.01,0.5322121068157409,-23.355749929760464,-27.479027379692816,4.123277449932353,0.01,0.024658711539925306,-23.727371379276615,-43.206121382370675,19.47875000309406
11.0,0.0175,-0.05200197458404749,-15.297288152374183,-31.885677686439582,16.5883895340654,0.005,-0.17593264557009947,-57.91720330331916,-76.88999674388116,18.972793440561993,0.01,-0.0719341080502537,-20.560664767035103,-39.790004657728964,19.22933989069386,0.01,-0.041720877349533114,-20.240329011810484,-42.934608804367514,22.69427979255703
12.0,0.0175,-0.016832633980898907,-16.184887861554948,-30.282980038785997,14.098092177231049,0.005,-0.1649139789476403,-63.81809000042687,-72.2308542735409,8.412764273114028,0.0125,-0.05720693653906261,-17.349699570766237,-32.5392129860044,15.189513415238164,0.01,0.04633691712439825,-21.233955352591167,-53.473680850765,32.23972549817383
13.0,0.01,-0.009704740493545538,-21.242631898253602,-34.475185718792,13.232553820538396,0.005,0.04042429591619942,-61.18217406030256,-61.66854961419232,0.48637555388976494,0.01,-0.02353266920571814,-21.015755624302983,-38.32371348342295,17.307957859119966,0.005,0.050866550623528996,-29.940392639916382,-41.77822408205802,11.837831442141635
14.0,0.01,-0.054032019842424846,-22.479710462412292,-40.97164629211217,18.491935829699877,0.005,-0.017575445052773024,-46.66979366664244,-46.77860377100443,0.1088101043619858,0.01,-0.10572135992747857,-23.19218627126025,-58.6734573996382,35.481271128377955,0.005,-0.012837938376760645,-33.90850792924899,-52.7095662255888,18.80105829633981
