,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.49981517496058164,-70.94071757213088,-90.02556809498286,19.08485052285198,0.005,0.8051861819195584,-89.15632187874472,-102.58392799184739,13.42760611310267,0.005,0.8849065330210963,-78.84141589494733,-116.83720422076033,37.995788325812995,0.005,0.49458847596701583,-78.28017685742975,-86.04512353984228,7.764946682412528
1.0,0.005,0.4455470190825206,-70.94071757213088,-133.97940008672037,63.038682514589496,0.005,0.7071248160448806,-87.23208345955037,-89.69961103658122,2.4675275770308502,0.005,0.7098654555489883,-83.1330561621563,-114.79489056831112,31.661834406154824,0.005,0.29960376101231945,-82.06179992380201,-133.97940008672037,51.91760016291836
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9994583001182793,-89.71641359319582,-103.42125256882703,13.704838975631205,0.005,0.9999112369424129,-113.04306405133647,-133.97940008672037,20.936336035383903,0.005,0.961717378264394,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.995254193209937,-103.4436546598449,-113.67102585021654,10.227371190371642,0.005,0.9997362826100269,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9627388731808108,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9971817534997388,-113.67951506321127,-126.73841557825321,13.058900515041941,0.005,0.9999082616933295,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9716802509009765,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9979552887122297,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9997957596686328,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9976740004641061,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9998763562803287,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9961536849231042,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9998707786729428,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
8.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9940336200433718,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9998048751304667,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
9.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.995180721029972,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9999065073609444,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
10.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9972388865458759,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9997378066993028,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
11.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9979620294375204,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9999108287180515,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
12.0,0.005,0.9748801338774088,-38.996568462083786,-61.72610121265855,22.729532750574762,0.005,0.9766915230819178,-43.401434419167316,-60.638785971652204,17.23735155248489,0.005,0.9897959030051979,-50.5864439492608,-77.10171913934155,26.515275190080757,0.005,0.767703220699375,-59.113210697071224,-80.78139397027557,21.66818327320435
13.0,0.06,0.9979675395554584,-3.8061824461961695,-5.488931682486745,1.6827492362905758,0.05,0.9995104571184101,-6.152478508532803,-6.527987410253257,0.3755089017204538,0.0225,0.9880803264504343,-13.562739720787572,-33.399456450554375,19.836716729766803,0.005,0.970266105417866,-31.170502988909867,-50.41442154835003,19.24391855944016
14.0,0.0675,0.9984356557546414,-3.6647187912985917,-9.972745468903577,6.308026677604985,0.06,0.9996073778482921,-3.5806872028155623,-10.357210536293787,6.776523333478224,0.02,0.983607737960033,-15.313132418006035,-21.819054830330245,6.50592241232421,0.005,0.9449346145891829,-35.657287017576365,-46.430792035537166,10.773505017960801
15.0,0.045,0.9985250009117189,-7.052898451242491,-10.132187455354515,3.0792890041120238,0.0425,0.9995833870092926,-6.715024219852353,-12.60481374759917,5.889789527746817,0.015,0.9837152937217222,-16.740201860328952,-32.735893014017904,15.995691153688952,0.005,0.9025920309308245,-38.924983725467676,-67.00446665919034,28.079482933722666
16.0,0.0425,0.9984430823421161,-7.508138990990578,-16.280340942574817,8.77220195158424,0.0375,0.9992878556616548,-7.602877319309465,-13.436524218223182,5.833646898913717,0.015,0.981143108210136,-17.89342949329867,-24.58802097189303,6.694591478594361,0.005,0.9367434296479243,-47.00903831122206,-63.280746348127565,16.27170803690551
17.0,0.0425,0.9990466854405495,-7.616063821881298,-31.781127225617126,24.16506340373583,0.035,0.9994885637426714,-8.27730641920412,-16.942977736961396,8.665671317757276,0.0125,0.9888307979581455,-18.488805244574994,-37.13889700634484,18.650091761769847,0.005,0.9700518890669908,-43.93629083270508,-75.85864728970496,31.92235645699988
18.0,0.04,0.9990181653869976,-8.197857010296397,-17.271771715846253,9.073914705549855,0.0375,0.9996107655345361,-7.6873178490286325,-18.670681959246316,10.983364110217684,0.0125,0.9880539092621436,-19.31521203270163,-27.142374641591694,7.827162608890063,0.005,0.9593443804597207,-45.06887896467581,-60.59786136527097,15.528982400595162
