,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.005,0.7439132431523937,-90.24621556200978,-90.24621556200978,0.0,0.005,0.6114731299326167,-98.44125155932488,-107.79905036685321,9.357798807528326,0.005,-0.259191914062263,-98.64161101138188,-98.97504890227148,0.3334378908895985,0.005,0.12566475407197966,-92.13973560236138,-107.37668986559808,15.236954263236697
3.0,0.0775,0.9959378306084876,-2.149540916845692,-3.016191644312271,0.8666507274665793,0.03,0.9999649042610058,-8.55545876351511,-8.55545876351511,0.0,0.05,0.9950812871291044,-5.281731316779568,-50.488666824017415,45.206935507237844,0.01,0.9403809341473869,-21.856905881986858,-31.410404827051185,9.553498945064327
4.0,0.0975,0.9991313096696326,-0.18757231012416847,-3.052919899033875,2.8653475889097066,0.0975,0.9993264695997993,-0.39835951148553955,-5.276286650352768,4.8779271388672285,0.04,0.9970837166129324,-7.493104780131579,-13.186730305735857,5.693625525604278,0.0075,0.9872239473759277,-26.009514152899186,-40.04287228382441,14.033358130925222
5.0,0.0875,0.9993018084441767,-0.8839967016720541,-16.2096769095409,15.325680207868846,0.0675,0.9997361683512662,-3.1764495901157073,-38.31733237888897,35.14088278877326,0.035,0.9985735200795534,-9.019081280739492,-20.06319062713758,11.044109346398088,0.0075,0.9960156750071686,-24.518208706755487,-39.209933626121696,14.691724919366209
6.0,0.045,0.9973080113506221,-7.216366451876828,-25.581215281066697,18.364848829189867,0.0325,0.9980466386146012,-10.334828730485055,-33.65939435445179,23.324565623966734,0.03,0.9988526412588599,-11.176114024431417,-13.556073366171137,2.3799593417397205,0.01,0.9940863367141305,-23.72541967454568,-37.58420198434382,13.85878230979814
7.0,0.0325,0.9984765609806014,-9.288262533816615,-24.374545252348618,15.086282718532003,0.015,0.9939938889183958,-17.12141383915301,-31.407734064409055,14.286320225256045,0.035,0.9991876314350364,-8.758738588927121,-18.050604359406076,9.291865770478955,0.005,0.9952128231938117,-28.379684193650057,-32.39661081789711,4.016926624247056
8.0,0.04,0.9987086409698275,-7.682755012793986,-51.16136532753525,43.47861031474127,0.015,0.9988410889974886,-16.95645174947903,-21.36442207981046,4.40797033033143,0.0325,0.9988054427195182,-10.108907306963628,-12.618603176822257,2.5096958698586285,0.005,0.9958445742382346,-28.54722372338859,-65.31454383069169,36.7673201073031
9.0,0.0375,0.9986860515399647,-9.042082992644943,-39.266150077566266,30.224067084921323,0.015,0.9980915686915828,-18.348325332041927,-20.465457562190842,2.117132230148915,0.03,0.9989994001682678,-9.80598627056979,-27.547562724726493,17.741576454156704,0.005,0.9962565786028432,-27.625217158144043,-56.70376158332883,29.078544425184784
10.0,0.035,0.9986196003998783,-8.370079847108423,-36.09481130635459,27.724731459246172,0.015,0.9991835906151935,-17.235025829306206,-41.426349787634784,24.191323958328578,0.03,0.9984000600600563,-10.582452330999914,-14.361670366186459,3.7792180351865454,0.005,0.9963187842169202,-29.890875665507505,-37.33870659121651,7.4478309257090025
11.0,0.0425,0.9925163640701842,-7.565862385888655,-67.96734835772209,60.40148597183343,0.015,0.998444657039697,-18.853905222937012,-22.553835447069098,3.6999302241320855,0.0375,0.9965283416964954,-8.906779474354861,-34.554783287201516,25.648003812846653,0.01,0.9489639610349,-22.107994106716852,-34.55445255674063,12.446458450023776
12.0,0.03,0.9975516591792765,-10.31335545995704,-20.767721620505984,10.454366160548945,0.01,0.9960263341505852,-20.455454882724947,-21.698315956487292,1.2428610737623451,0.025,0.9984997659774569,-10.60723266685963,-31.057326607978585,20.450093941118954,0.005,0.9568228995322532,-28.19057071253996,-44.07221264771246,15.881641935172503
13.0,0.025,0.9976354938169262,-12.755419221253632,-21.241233474361586,8.485814253107954,0.01,0.9945702608696734,-21.09436123019463,-26.332277006210894,5.237915776016266,0.02,0.9990070797889609,-14.413062344446177,-28.45564634182985,14.042583997383675,0.005,0.981610455307911,-30.472963631372714,-45.868647432955996,15.395683801583282
