,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.005,0.8340190467635014,-64.28839878591474,-66.78717351808073,2.498774732165998,0.005,0.97942678164702,-88.93054933241396,-88.93054933241396,0.0,0.005,0.919769410651807,-72.53229115879651,-86.48207366383653,13.94978250504002,0.005,0.8525581797226524,-75.34522383940585,-102.50319906558931,27.157975226183467
2.0,0.005,0.1762631130505584,-63.074441978842486,-76.32959861247397,13.255156633631486,0.005,0.9978568249663492,-75.94512749841336,-86.50809241664412,10.562964918230762,0.005,-0.057362864745458694,-79.49940114767556,-91.4138415391954,11.914440391519847,0.005,0.031234015286178633,-89.22645351274303,-99.26487851370246,10.038425000959421
3.0,0.0275,0.9998986883478171,-11.410466499470047,-23.757733495448797,12.34726699597875,0.005,0.9999761058793734,-26.786221700302857,-43.84134852402017,17.055126823717313,0.035,0.9999102595779347,-9.737167548207463,-29.055216387335147,19.318048839127684,0.005,0.9995069545451023,-28.9065747334412,-56.481946505119126,27.575371771677926
4.0,0.03,0.9995012745344911,-11.613981205922776,-17.359383235720838,5.745402029798061,0.005,0.9968718577627514,-28.18779565136218,-30.964099788747383,2.7763041373852033,0.03,0.9996110746205786,-10.389308394359896,-29.43942091965388,19.050112525293983,0.005,0.998765082102159,-30.859608188111824,-56.878465325513744,26.01885713740192
5.0,0.025,0.9893632541313895,-12.255889194835838,-32.35645687338553,20.100567678549695,0.01,0.9961895818156059,-25.409833420962453,-30.810040891057277,5.4002074700948235,0.0275,0.9883985841992924,-11.882589981383472,-17.71781535567188,5.8352253742884095,0.005,0.9947023378457963,-33.045609935189674,-60.799107180978986,27.753497245789312
6.0,0.0275,0.9566976171933255,-11.139632331855484,-26.798762431925404,15.65913010006992,0.01,0.9958347727465772,-23.23240296059999,-27.87684338180408,4.644440421204088,0.025,0.9552694130526226,-12.133900264299307,-16.60956613205354,4.475665867754234,0.005,0.9910941855051919,-32.84736634839933,-59.963809224469145,27.11644287606981
7.0,0.03,0.954545409669012,-9.856307900311979,-26.666414418134387,16.81010651782241,0.0075,0.9838155690132521,-24.742167197175682,-26.57242258770779,1.830255390532109,0.025,0.9515840707488654,-12.387293142556992,-38.58421159967146,26.19691845711447,0.005,0.9866761949851452,-32.76420088830036,-51.95924481706993,19.19504392876957
8.0,0.0275,0.9491104220136777,-10.349045971034272,-14.798246003575217,4.449200032540945,0.0075,0.9768525143584285,-24.831896348033084,-35.272643980474655,10.440747632441571,0.025,0.948389662682153,-13.200364771737911,-31.660789655586772,18.46042488384886,0.005,0.9856023628166255,-35.46607205379634,-43.56271784897298,8.096645795176642
9.0,0.03,0.9315251533567906,-11.832724277370563,-15.132274204255191,3.2995499268846284,0.0075,0.9706645110900718,-25.874449057900655,-31.02803152566661,5.153582467765954,0.0275,0.9294916043904927,-11.949376932787551,-34.712152149041955,22.762775216254404,0.005,0.9902690560904476,-35.37477598899146,-46.45132482905315,11.07654884006169
10.0,0.0225,0.9352590207991118,-12.57805623137224,-24.305787960167315,11.727731728795074,0.005,0.9668499969519849,-28.453328878902685,-29.554367856707092,1.1010389778044072,0.0225,0.9326242962050132,-12.877846348391666,-22.1923963865641,9.314550038172433,0.005,0.9888493252172924,-36.47961424228122,-49.930273189400324,13.450658947119102
11.0,0.0225,0.921500709735902,-13.908912563028,-31.690018075843895,17.781105512815895,0.005,0.9659003896753986,-27.130063307608644,-38.82653933945314,11.696476031844497,0.0225,0.9223919427165947,-13.057183723901957,-29.12726221420021,16.070078490298254,0.005,0.9663998168319795,-37.32099767588967,-56.81376344769646,19.492765771806788
12.0,0.0175,0.9358085331029705,-14.448565502274693,-42.9246815509915,28.476116048716808,0.005,0.9733425603613863,-27.94529021415029,-29.00248356241448,1.0571933482641889,0.0175,0.9322166902441639,-14.34457506469246,-46.66439492915189,32.31981986445943,0.005,0.9724227507722869,-37.952058095135904,-51.37963147895789,13.427573383821986
13.0,0.02,0.9372179956080325,-14.334604995494232,-30.422655645801623,16.08805065030739,0.005,0.9623542733598743,-28.831983641665936,-36.29183228940623,7.459848647740294,0.0175,0.9422772635165438,-15.882648357724944,-21.815671714770282,5.933023357045338,0.005,0.9874204195352451,-37.241395336902656,-46.349693832972385,9.108298496069729
14.0,0.0175,0.9040737812849853,-15.173234723831996,-21.608045872395067,6.434811148563071,0.005,0.9686057518709223,-28.71326165862286,-35.38966812223432,6.67640646361146,0.015,0.9072872535763661,-16.546031926528432,-26.123707148989585,9.577675222461153,0.005,0.9937348519293214,-36.96013292892105,-42.35380849776378,5.393675568842731
15.0,0.0775,0.9842999154518715,-1.8716575808199902,-15.779344763497765,13.907687182677774,0.005,0.9624739400960091,-29.28402062511654,-46.551936864505194,17.267916239388654,0.0575,0.9778294737226276,-2.6742475771371326,-5.89796288344094,3.223715306303807,0.06,0.9985795612998016,-4.141473659504093,-20.46503169344692,16.323558033942827
16.0,0.1,0.9973341417827761,-0.0002650763603796191,-26.124061724126882,26.123796647766504,0.01,0.9888731186940748,-20.057430857661114,-25.229728424497566,5.172297566836452,0.0725,0.9974138028369459,-2.8842864027961097,-20.53629123061546,17.65200482781935,0.0625,0.9980908127867661,-3.7518626922491722,-31.38811129150875,27.636248599259577
17.0,0.0575,0.9951729398165566,-5.18282371675568,-12.917324544925881,7.7345008281702015,0.01,0.9878494133990539,-20.418616546604937,-37.21555305897459,16.796936512369655,0.0575,0.9954315272208467,-4.639415131083775,-20.976144899164577,16.3367297680808,0.01,0.9964902312670973,-25.069294968534834,-47.238335193609515,22.16904022507468
18.0,0.05,0.9788014944966108,-6.101558018688566,-11.669676404630906,5.5681183859423395,0.01,0.9943948412354314,-22.912919300789063,-30.731164939100893,7.818245638311829,0.0525,0.9786350901931444,-5.707342981555729,-33.66401123006399,27.95666824850826,0.005,0.9961190232588326,-28.54953680583831,-74.11962017961413,45.570083373775816
19.0,0.0525,0.9300463083361005,-5.955109495086791,-19.88100613688684,13.925896641800048,0.0075,0.9614663645690629,-25.534386635058492,-46.31686259804253,20.78247596298404,0.05,0.9343863205599036,-5.63341726721852,-34.53533560720503,28.90191833998651,0.005,0.991192742207272,-30.9495102700463,-38.13913495906641,7.1896246890201105
20.0,0.045,0.9042216703622669,-6.57382615556208,-23.46054508275023,16.88671892718815,0.01,0.8163219545290048,-25.51802300305276,-27.19384581942714,1.675822816374378,0.0475,0.9018908154012635,-5.939050795920691,-9.02521842568531,3.086167629764619,0.005,0.9939841469877353,-27.79008072248643,-38.02701130432927,10.236930581842842
21.0,0.04,0.8599996597642943,-8.082403965111357,-18.720186756398412,10.637782791287055,0.0075,0.01119721478907179,-25.649330362180752,-40.3502751286935,14.700944766512745,0.04,0.8791256001258134,-8.101826525605178,-35.54836599765157,27.446539472046396,0.005,0.9923635357339485,-29.166874009171817,-44.40834989261704,15.241475883445222
22.0,0.0425,0.9198565095036998,-7.33632872940737,-28.864000746924063,21.527672017516693,0.01,0.7381324658285388,-24.22606059161346,-27.83217054126244,3.606109949648978,0.0425,0.9253579048688305,-7.02879329362879,-17.74220527666309,10.713411983034298,0.005,0.9935251527566605,-29.214915037213075,-43.71051080082634,14.495595763613267
23.0,0.0375,0.9085330331223368,-8.916376646787507,-26.839445830134462,17.923069183346954,0.01,0.8790565051337443,-23.59280662177533,-43.39841308866652,19.80560646689119,0.04,0.9002454501237306,-8.512196959099745,-9.847600905994916,1.3354039468951715,0.005,0.9907403878857385,-32.26001323550709,-33.57648887305846,1.3164756375513704
24.0,0.035,0.8917215261552923,-9.481144996029858,-17.844012891236346,8.362867895206488,0.01,0.9376874308452551,-24.572989844212557,-30.385248711020978,5.8122588668084205,0.0325,0.8952718815274031,-9.209001990541806,-35.78889737693948,26.579895386397673,0.005,0.9840540615676943,-33.130736512806706,-35.67398885587743,2.5432523430707263
25.0,0.04,0.9300451503383901,-7.664445484527005,-18.747681022472527,11.083235537945523,0.005,0.9118699126501016,-27.664512279192838,-36.838860438152416,9.174348158959578,0.035,0.930971601502261,-9.359912583478797,-13.352022726854752,3.992110143375955,0.005,0.9825149457514495,-33.857699594268546,-49.192470538141784,15.334770943873238
26.0,0.0375,0.9308779943661457,-8.315385877009355,-18.042735470085162,9.727349593075807,0.005,0.6749663298999317,-31.549183618214776,-38.750770131811805,7.201586513597029,0.035,0.9369181648831101,-9.453297506584198,-16.55759657880085,7.104299072216653,0.005,0.9830612607597911,-34.39548803314573,-38.66192708848038,4.266439055334651
27.0,0.0325,0.8828328273950959,-10.28384607294974,-27.355472214372384,17.071626141422644,0.005,0.0004337584526597261,-29.892630581001093,-32.203655166234086,2.3110245852329925,0.0325,0.8990765418879898,-9.270276273852737,-19.358653977857955,10.088377704005218,0.005,0.9783342822611215,-38.248141541744886,-63.42043112185629,25.172289580111403
