,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.01,0.397963136184023,-20.90961450919517,-41.06103874121523,20.15142423202006,0.005,0.12591230933196132,-55.779427630020606,-72.37830775154362,16.59888012152301,0.0125,0.3980836766084911,-19.995153576459124,-23.385803932271017,3.390650355811893,0.005,-0.1601987982755975,-36.52941614118908,-47.57909569728572,11.049679556096642
7.0,0.02,-0.17132813963604202,-15.715985332475952,-31.761591438413884,16.04560610593793,0.005,0.056574885869478286,-53.09146120767443,-61.92268938097023,8.831228173295806,0.02,-0.17027400878789253,-15.284251376329351,-27.62846984720497,12.344218470875617,0.005,-0.27156817114843496,-36.244518259367794,-50.001513318304234,13.75699505893644
8.0,0.015,-0.21947198730974884,-17.551202367578547,-33.21073825303724,15.659535885458695,0.005,0.28336159506708386,-54.73162674036945,-62.09801751050367,7.366390770134217,0.015,-0.2330001999609208,-17.1734159609655,-37.263881902227084,20.090465941261584,0.005,0.04960825912024256,-37.3754785530584,-51.776978867593456,14.401500314535056
9.0,0.0125,0.19150303789482187,-19.85229242598376,-25.102799783295957,5.250507357312198,0.005,-0.021759411957867843,-55.10531077487927,-62.57598781019829,7.470677035319021,0.01,0.179188340375916,-20.58723740252958,-24.603799861363452,4.016562458833871,0.005,0.5213189334950067,-33.0669331768664,-42.83039034116925,9.76345716430285
10.0,0.015,-0.058275883568047075,-16.81728665313608,-40.28781345483932,23.470526801703244,0.005,-0.2573113191077944,-55.080768914254264,-59.818967439986885,4.738198525732621,0.015,-0.05244952376723547,-17.64538880595343,-30.75871192621626,13.11332312026283,0.005,0.5313925093331708,-35.19092138758677,-52.821830997811006,17.630909610224236
11.0,0.02,-0.0638222138631377,-15.281876704686486,-31.896098671058603,16.614221966372117,0.005,-0.11410381176927907,-57.74699909900949,-82.44766507305721,24.700665974047716,0.02,-0.05929313538442327,-15.256049019381264,-26.99137552185468,11.735326502473415,0.005,0.09066860386327918,-36.52412692853146,-50.156122343640924,13.631995415109465
12.0,0.0175,0.09050010825175654,-16.121903182506436,-42.7410406802316,26.619137497725163,0.005,0.25897784980257993,-58.121955046628344,-64.03863996013501,5.916684913506671,0.015,0.0838621022799146,-16.99750452575107,-36.552312354990725,19.554807829239657,0.005,-0.17653259297802723,-39.03608947998005,-50.81792725836739,11.781837778387342
13.0,0.015,0.45402291425306474,-17.769879670485413,-27.657401745999618,9.887522075514205,0.005,0.5832644622380955,-48.59558120639185,-49.60187491278495,1.0062937063931017,0.015,0.4707084785859837,-17.581232405667134,-27.345322224892875,9.764089819225742,0.005,-0.17565941795442236,-38.45412000761608,-67.59483186347337,29.14071185585729
14.0,0.0175,0.6459074900564207,-15.32509785480091,-41.84408122045819,26.518983365657284,0.005,0.6333266037167788,-43.84222229502089,-67.87112611716313,24.02890382214224,0.02,0.6383015073015453,-15.728453879096618,-19.651799480362993,3.9233456012663748,0.005,-0.16395567790638926,-36.67380416285797,-70.14266087759314,33.468856714735175
